TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"467,541,724,884","54,484,371,535","56,863,482,684","49,070,606,991",,,,,,,,,,,,,,,,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"467,541,724,884","54,484,371,535","56,863,482,684","49,070,606,991",,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"9,190,000,000","25,190,000,000","12,370,000,000","63,370,000,000",,,,,,,,,,,,,,,,,,,,
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh",,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,,,,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,"9,190,000,000","25,190,000,000","12,370,000,000","63,370,000,000",,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,"26,928,733,965","52,788,895,427","47,848,386,251","70,478,409,601",,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,"26,928,733,965","52,788,895,427","47,848,386,251","70,478,409,601",,,,,,,,,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,"7,068,966,596,016","8,360,864,756,722","7,667,255,002,695","7,802,481,843,767",,,,,,,,,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"4,199,400,502,081","5,357,415,322,215","4,657,596,168,784","4,785,667,664,248",,,,,,,,,,,,,,,,,,,,
I. Nợ ngắn hạn,"2,972,929,440,843","4,252,327,132,751","3,859,525,910,354","4,080,622,699,727",,,,,,,,,,,,,,,,,,,,
1. Phải trả người bán ngắn hạn,"646,356,993,045","907,560,238,061","1,151,140,114,165","1,556,744,302,639",,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,"97,950,353,975","71,342,779,187","70,254,342,888","47,636,715,311",,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,"34,470,469,532","39,077,528,719","45,491,051,488","758,814,883",,,,,,,,,,,,,,,,,,,,
4. Phải trả người lao động,"16,434,625,807","14,014,413,711","15,709,785,628","16,918,142,598",,,,,,,,,,,,,,,,,,,,
5. Chi phí phải trả ngắn hạn,"2,587,686,580","2,133,689,592","2,262,229,297","10,517,706,173",,,,,,,,,,,,,,,,,,,,
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,"86,038,198,275","9,279,600,483","10,986,017,448","9,700,352,173",,,,,,,,,,,,,,,,,,,,
