quarter,P,EPS,D/E,PE
2019Q1,,,1.0682254701346552,
2019Q2,,,1.066697035495759,
2019Q3,,,1.0678118811286295,
2019Q4,,,1.0663917925351216,
2020Q1,,,,
2020Q2,,,,
2020Q3,,,,
2020Q4,6478.945400140225,,,
2021Q1,8299.817722126589,,,
2021Q2,13755.316028225807,,,
2021Q3,14933.64730834961,,,
2021Q4,13749.738716947115,,,
2022Q1,14209.05329713983,,,
2022Q2,9635.5955062374,,,
2022Q3,9228.428331163195,,,
2022Q4,7739.672092848557,,,
2023Q1,10395.672057070975,,,
2023Q2,10438.637474798386,,,
2023Q3,12604.28259858631,,,
2023Q4,12898.445748197115,,,
2024Q1,14681.078792317709,,,
2024Q2,19677.745405353482,,,
2024Q3,26278.895416259766,,,
2024Q4,27993.343231201172,,,
