quarter,P,EPS,D/E,PE
2019Q1,57.560403417368406,,1.063344119130943,
2019Q2,61.93073666284955,,1.0615264965752451,
2019Q3,65.30633652210236,,1.0729616404072928,
2019Q4,70.72601735591888,,1.074593155903193,
2020Q1,64.76708338337559,,,
2020Q2,46.13702622670976,,,
2020Q3,46.03036457300186,,,
2020Q4,58.95779341459274,,,
2021Q1,72.59324671010502,,,
2021Q2,77.24693540542845,,,
2021Q3,65.0920991897583,,,
2021Q4,73.07752275466919,,,
2022Q1,79.70865840296591,,,
2022Q2,72.51277665169009,,,
2022Q3,75.33518350124359,,,
2022Q4,79.05991557287791,,,
2023Q1,73.73661065870716,,,
2023Q2,63.691424339048325,,,
2023Q3,69.30902965485103,,,
2023Q4,71.49751844860259,,,
2024Q1,80.30754614658044,,,
2024Q2,75.98857116699219,,,
2024Q3,90.33562195301056,,,
2024Q4,102.36992548382472,,,
