,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"65,246,191,092","72,584,210,188","91,466,629,372","81,524,230,868","80,187,501,440","94,046,232,160","82,790,769,718","76,541,117,000","53,644,774,680","78,612,704,994","64,047,549,460","77,878,349,186","63,148,218,768","76,280,268,498","36,678,251,914","59,814,049,038","39,382,453,676","51,625,142,200","48,086,502,722","42,244,718,206","33,031,294,370",,"30,658,403,380","39,658,456,548"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"65,246,191,092","72,584,210,188","91,466,629,372","81,524,230,868","80,187,501,440","94,046,232,160","82,790,769,718","76,541,117,000","53,644,774,680","78,612,704,994","64,047,549,460","77,878,349,186","63,148,218,768","76,280,268,498","36,678,251,914","59,814,049,038","39,382,453,676","51,625,142,200","48,086,502,722","42,244,718,206","33,031,294,370",,"30,658,403,380","39,658,456,548"
4. Giá vốn hàng bán,"58,165,814,325","62,638,352,516","78,298,431,043","68,328,745,983","67,365,723,017","80,645,326,359","69,728,109,179","64,138,989,462","46,067,145,630","70,050,009,720","57,357,775,495","69,272,915,132","57,107,314,969","68,559,820,914","32,730,733,935","58,557,486,283","45,954,302,327","61,401,241,400","49,901,401,182","39,262,229,340","38,288,266,442",,"37,227,484,564","39,459,570,020"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"7,080,376,767","9,945,857,672","13,168,198,329","13,195,484,885","12,821,778,423","13,400,905,801","13,062,660,539","12,402,127,538","7,577,629,050","8,562,695,274","6,689,773,965","8,605,434,054","6,040,903,799","7,720,447,584","3,947,517,979","1,256,562,755","-6,571,848,651","-9,776,099,200","-1,814,898,460","2,982,488,866","-5,256,972,072",,"-6,569,081,184","198,886,528"
6. Doanh thu hoạt động tài chính,"7,167,980","69,825,228","11,932,381","128,868,594","9,037,865","53,889,341","4,825,938","179,478,088","71,692,564","18,130,681","3,328,100","83,650,339","14,270,873","72,836,985","3,102,204","92,411,170","14,384,928","104,361,413","5,518,019","119,337,501","18,804,893",,"-44,056,120","27,464,094"
7. Chi phí tài chính,"3,590,814,002","3,869,897,888","4,286,517,337","4,219,247,748","4,551,863,449","4,003,602,676","3,813,611,132","4,156,582,832","4,394,440,071","4,314,212,389","3,904,487,905","3,655,089,294","3,890,344,971","3,852,515,748","4,267,575,068","4,569,746,692","4,800,477,573","4,464,002,538","4,105,918,793","3,985,674,990","3,613,687,992",,"3,115,553,799","2,850,642,608"
- Trong đó: Chi phí lãi vay,"3,590,814,002","3,869,897,888","4,286,517,337","4,219,247,748","4,551,863,449","4,003,602,676","3,813,611,132","4,156,582,852","4,394,440,071","4,314,212,389","3,904,487,905","3,655,089,294","3,890,344,971","3,852,515,748","4,267,575,068","4,569,746,692","4,800,477,573","4,464,002,538","4,105,918,793","3,985,674,990","3,613,687,992",,"3,115,553,799","2,850,642,608"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"394,907,448","453,201,688","539,227,182","-578,454,099","472,103,415","532,006,477","479,598,512","-734,038,221","128,587,849","89,131,625","69,585,270","34,522,330","78,928,848","164,305,816","286,296,132","276,123,348","118,087,001","56,374,437","104,705,036","113,714,204","31,762,238",,"56,736,885","63,887,479"
