quarter,P,EPS,D/E,PE
2019Q1,,0.03538039695015055,1.4171712472600781,
2019Q2,20323.91304347826,0.04434142241150887,1.5338109933791442,458350.497980488
2019Q3,19477.34375,0.03737622869633099,1.754841540437589,521115.811556236
2019Q4,18727.049180327867,0.028954354915579347,1.883456130255946,646778.325227045
2020Q1,17320.16129032258,0.03539786771874651,1.832437527357775,489299.56538455334
2020Q2,17621.428571428572,0.0345793191136389,1.9212926573211817,509594.43456705497
2020Q3,21355.46875,0.04218479815612802,2.069264085443535,506236.12494155724
2020Q4,24438.28125,0.020025092007806403,2.053569162196917,1220382.9695500624
2021Q1,33198.360655737706,0.06183559524924724,1.9446365417714055,536881.0718473976
2021Q2,32322.881355932204,0.07488487980082525,1.5461698546012916,431634.28240658
2021Q3,32592.1875,0.044512980905096464,1.483374204354844,732195.1223506668
2021Q4,45815.625,0.091398394256273,1.6311929695359613,501273.8502991316
2022Q1,52688.88888888889,0.15656471533801716,1.5042273711574417,336531.0553858551
2022Q2,,0.1429631972579458,1.4661260854101263,
2022Q3,,0.04938515019025315,1.603550526245717,
2022Q4,,0.040223667734805395,1.5216794066211132,
2023Q1,,0.04299899122025203,1.5274703669192662,
2023Q2,,0.13247379036846213,1.4362267105461801,
2023Q3,,0.09213834312791346,1.3510937826548475,
2023Q4,,0.0040732531930411505,1.5302990020207614,
2024Q1,,0.045962098651499944,1.3904293173200228,
2024Q2,,,,
2024Q3,,0.04579477642533735,1.434423427472893,
2024Q4,,0.11926156077930189,1.4954210844481153,
