,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"35,449,202,459","42,610,235,472","41,268,319,959","47,683,569,754",,,,,,,,,,,,,,,,,,,,
2. Các khoản giảm trừ doanh thu,"42,339,070","22,884,800",,"7,880,551",,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"35,406,863,389","42,587,350,672","41,268,319,959","47,675,689,203",,,,,,,,,,,,,,,,,,,,
4. Giá vốn hàng bán,"30,510,273,186","35,887,304,186","34,414,416,740","39,747,490,547",,,,,,,,,,,,,,,,,,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"4,896,590,203","6,700,046,486","6,853,903,219","7,928,198,656",,,,,,,,,,,,,,,,,,,,
6. Doanh thu hoạt động tài chính,"3,523,924","44,973,630","3,350,193","5,805,352",,,,,,,,,,,,,,,,,,,,
7. Chi phí tài chính,"607,200,799","524,320,237","413,758,285","533,767,681",,,,,,,,,,,,,,,,,,,,
- Trong đó: Chi phí lãi vay,"601,774,458","486,177,481","401,018,865","509,205,615",,,,,,,,,,,,,,,,,,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","-1,377,595,409","-1,725,937,958","-1,653,076,786","-2,348,495,930",,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"1,233,003,580","1,516,375,591","2,183,790,604","2,261,394,383",,,,,,,,,,,,,,,,,,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"1,682,314,339","2,978,386,330","2,606,627,737","2,790,346,014",,,,,,,,,,,,,,,,,,,,
12. Thu nhập khác,"800,000","13,200,000","5,474,000","4,000,000",,,,,,,,,,,,,,,,,,,,
13. Chi phí khác,,"251,025,188",,"23,066,148",,,,,,,,,,,,,,,,,,,,
14. Lợi nhuận khác(40=31-32),"800,000","-237,825,188","5,474,000","-19,066,148",,,,,,,,,,,,,,,,,,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"1,683,114,339","2,740,561,142","2,612,101,737","2,771,279,866",,,,,,,,,,,,,,,,,,,,
16. Chi phí thuế TNDN hiện hành,"379,050,671","548,112,227","522,420,348","554,255,974",,,,,,,,,,,,,,,,,,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"1,304,063,668","2,192,448,915","2,089,681,389","2,217,023,892",,,,,,,,,,,,,,,,,,,,
19. Lợi nhuận sau thuế công ty mẹ,"1,304,063,668","2,192,448,915","2,089,681,389","2,217,023,892",,,,,,,,,,,,,,,,,,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),160,269,256,272,,,,,,,,,,,,,,,,,,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
