,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"48,164,162,700","31,379,256,053","180,532,045,830","393,398,973,852","114,072,062,632","55,783,219,338","146,186,326,962","112,714,318,156","24,577,083,869","52,533,452,273","26,908,414,089","36,828,823,656","15,911,335,982","113,828,345,164","18,684,321,955","111,598,551,308","18,224,261,799","12,541,090,358","25,788,880,135","111,598,551,308","40,822,906,693","41,484,513,960","67,251,720,846","87,038,580,509"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,"10,000,000",,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"48,164,162,700","31,379,256,053","180,532,045,830","393,398,973,852","114,072,062,632","55,783,219,338","146,186,326,962","112,714,318,156","24,577,083,869","52,533,452,273","26,898,414,089","36,828,823,656","15,911,335,982","113,828,345,164","18,684,321,955","111,598,551,308","18,224,261,799","12,541,090,358","25,788,880,135","111,598,551,308","40,822,906,693","41,484,513,960","67,251,720,846","87,038,580,509"
4. Giá vốn hàng bán,"40,513,465,804","29,002,987,058","159,645,094,031","361,084,666,683","101,267,959,189","46,085,958,085","134,094,822,023","88,762,152,741","17,820,623,063","43,338,434,670","25,672,607,159","27,641,681,795","11,363,868,256","96,113,823,656","11,666,831,435","93,704,895,446","13,409,262,578","6,386,332,571","19,030,640,123","93,704,895,446","34,517,073,742","32,921,011,447","58,542,972,722","62,055,100,203"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"7,650,696,896","2,376,268,995","20,886,951,799","32,314,307,169","12,804,103,443","9,697,261,253","12,091,504,939","23,952,165,415","6,756,460,806","9,195,017,603","1,225,806,930","9,187,141,861","4,547,467,726","17,714,521,508","7,017,490,520","17,893,655,862","4,814,999,221","6,154,757,787","6,758,240,012","17,893,655,862","6,305,832,951","8,563,502,513","8,708,748,124","24,983,480,306"
6. Doanh thu hoạt động tài chính,"671,937,680","656,177,022","477,001,784","1,409,315,953","318,000,575","315,430,206","373,436,097","1,269,098,260","392,673,753","636,661,869","485,319,965","559,418,039","122,300,800","205,753,677","241,946,056","-41,979,197","78,383,467","353,004,008","39,809,137","-41,979,197","33,167,196","121,940,371","85,231,619","22,902,968"
7. Chi phí tài chính,"2,735,565,409","3,750,429,466","2,914,872,929","2,271,927,327","2,458,522,708","3,819,702,819","2,295,869,698","1,573,560,813","1,407,963,901","1,497,797,881","1,282,341,653","1,679,106,999","1,491,515,870","3,268,724,846","1,551,467,801","3,379,901,393","1,919,744,301","2,781,536,664","2,462,643,917","3,379,901,393","3,011,494,822","4,770,238,460","2,793,163,320","2,229,194,977"
- Trong đó: Chi phí lãi vay,"2,735,526,529","3,077,386,624",,"2,240,576,705","2,455,407,708","3,486,378,055","2,292,121,558",,"1,381,984,316","1,493,582,983","1,256,469,338","1,581,275,163","1,491,501,196","246,966,702","1,551,467,801","2,626,370,548","2,110,896,221","2,781,536,664","2,781,363,088","2,626,370,548","3,010,201,297","3,337,712,650","2,791,940,990","2,141,372,741"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"6,298,702,821","5,361,335,355","4,079,888,816","7,061,487,291","5,436,603,643","4,367,553,003","4,259,101,251","8,268,789,832","4,350,025,699","3,149,631,736","2,291,681,366","3,103,416,429","3,326,131,999","3,924,375,138","3,455,251,775","4,122,154,830","3,526,415,096","3,034,910,060","2,909,197,396","4,122,154,830","4,056,065,933","3,557,651,879","3,463,114,064","1,053,638,523"
