quarter,P,EPS,D/E,PE
2019Q1,14.88755573210169,0.16023130709000727,0.32437700430552907,92.9129019944826
2019Q2,15.255604441203769,0.1664327236234468,0.388914919594967,91.6622891764933
2019Q3,14.743076235055923,0.15445893277234446,0.44040761198295153,95.44981290778179
2019Q4,14.931963190436363,0.12640128480460677,0.5034640508374124,118.13141941965576
2020Q1,13.064388413583078,,0.4287860626158999,
2020Q2,12.053074458288767,,0.5328616258359256,
2020Q3,13.515189856290817,0.14723475563298433,0.5902189345627492,91.79347497258365
2020Q4,14.758651554584503,,0.439424160640475,
2021Q1,16.720648828099986,,0.503100345442368,
2021Q2,18.14058512733096,,0.5431590748835611,
2021Q3,18.386097580194473,,0.5370593550728308,
2021Q4,19.030675917863846,,0.4876494693217161,
2022Q1,18.501691141436176,,0.5151444581992901,
2022Q2,15.388154722029164,0.09966629341933173,0.46228726032566425,154.39677943360144
2022Q3,13.880954757332802,,0.5128034633993951,
2022Q4,11.277477324955047,0.08943375209671037,0.47738598323022563,126.09867148098627
2023Q1,11.495643692631875,,,
2023Q2,11.903759479522705,,,
2023Q3,13.807935442243304,,,
2023Q4,12.453303549024794,,,
2024Q1,13.197541002367364,,,
2024Q2,12.684761895073784,,,
2024Q3,12.283593714237213,,,
2024Q4,11.936507936507937,,,
