TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Thuế GTGT được khấu trừ,,,,,,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản khác phải thu Nhà nước,,,,,,,,,,,,,,,,,,,,,,,,
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,,,,,,,,,,,,,,,,,,,,,,,,
I. Các khoản phải thu dài hạn,"2,505,232,000,000","2,480,250,000,000","2,500,312,000,000","2,464,493,000,000","2,487,109,000,000","2,238,788,000,000","2,347,260,000,000","2,235,538,000,000","2,261,397,000,000","2,281,134,000,000","2,391,940,000,000","2,346,176,000,000","2,366,013,000,000","2,380,804,000,000","2,217,065,000,000","2,193,516,000,000","2,221,085,000,000","2,248,021,000,000","2,205,920,000,000","2,224,945,000,000","2,256,391,000,000",,"2,119,005,000,000","2,228,098,000,000"
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,"925,202,000,000","946,600,000,000","970,251,000,000",,"962,384,000,000","712,707,000,000","734,715,000,000","711,467,000,000","736,278,000,000","754,888,000,000","781,363,000,000","748,895,000,000","769,437,000,000","788,086,000,000","753,246,000,000","771,057,000,000","797,275,000,000",,"784,690,000,000","826,152,000,000","856,112,000,000",,"722,067,000,000","763,736,000,000"
3. Vốn kinh doanh ở đơn vị trực thuộc,"11,610,000,000","12,825,000,000","9,236,000,000","940,807,000,000","11,902,000,000","13,258,000,000","9,419,000,000","11,248,000,000","12,296,000,000","13,423,000,000","14,252,000,000","10,820,000,000","11,979,000,000","8,121,000,000","9,674,000,000","11,313,000,000","12,664,000,000","14,196,000,000","10,084,000,000","12,073,000,000","13,559,000,000",,"10,441,000,000","10,440,000,000"
4. Phải thu nội bộ dài hạn,"1,635,418,000,000","1,587,823,000,000","1,587,823,000,000","1,587,823,000,000","1,587,823,000,000","1,587,823,000,000","1,678,126,000,000","1,587,823,000,000","1,587,823,000,000","1,587,823,000,000","1,671,325,000,000","1,661,461,000,000","1,659,597,000,000","1,659,597,000,000","1,529,145,000,000","1,529,145,000,000","1,529,145,000,000","1,529,145,000,000","1,529,145,000,000","1,529,145,000,000","1,529,145,000,000",,"1,528,922,000,000","1,528,922,000,000"
