TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
II.Tài sản cố định,"358,191,000,000","332,138,000,000","411,839,000,000","570,994,000,000","626,871,000,000","602,256,000,000","566,225,000,000","708,842,000,000","779,732,000,000","761,898,000,000","778,305,000,000","788,613,000,000","741,418,000,000","810,544,000,000","1,086,505,000,000","1,205,386,000,000","1,134,970,000,000","1,067,824,000,000","1,102,629,000,000","1,058,906,000,000","998,703,000,000",,"1,091,450,000,000","1,221,874,000,000"
1. Tài sản cố định hữu hình,"256,006,000,000","238,804,000,000","272,291,000,000","368,965,000,000","404,752,000,000","387,327,000,000","360,898,000,000","475,619,000,000","538,341,000,000","519,066,000,000","517,028,000,000","512,870,000,000","478,960,000,000","509,973,000,000","801,682,000,000","903,413,000,000","856,026,000,000","804,587,000,000","768,619,000,000","729,429,000,000","685,595,000,000",,"720,716,000,000","856,699,000,000"
- Nguyên giá,"517,111,000,000","518,953,000,000","576,943,000,000","698,012,000,000","763,234,000,000","774,312,000,000","780,648,000,000","934,334,000,000","1,036,483,000,000","1,056,933,000,000","1,097,402,000,000","1,133,034,000,000","1,138,997,000,000","1,216,772,000,000","1,570,939,000,000","1,725,795,000,000","1,738,191,000,000","1,747,253,000,000","1,770,829,000,000","1,785,660,000,000","1,796,194,000,000",,"1,949,597,000,000","2,134,077,000,000"
- Giá trị hao mòn lũy kế,"-261,105,000,000","-280,149,000,000","-304,652,000,000","-329,047,000,000","-358,482,000,000","-386,985,000,000","-419,750,000,000","-458,715,000,000","-498,142,000,000","-537,867,000,000","-580,374,000,000","-620,164,000,000","-660,037,000,000","-706,799,000,000","-769,257,000,000","-822,382,000,000","-882,165,000,000","-942,666,000,000","-1,002,210,000,000","-1,056,231,000,000","-1,110,599,000,000",,"-1,228,881,000,000","-1,277,378,000,000"
2. Tài sản cố định thuê tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"102,185,000,000","93,334,000,000","139,548,000,000","202,029,000,000","222,119,000,000","214,929,000,000","205,327,000,000","233,223,000,000","241,391,000,000","242,832,000,000","261,277,000,000","275,743,000,000","262,458,000,000","300,571,000,000","284,823,000,000","301,973,000,000","278,944,000,000","263,237,000,000","334,010,000,000","329,477,000,000","313,108,000,000",,"370,734,000,000","365,175,000,000"
- Nguyên giá,"230,057,000,000","230,282,000,000","291,365,000,000","370,895,000,000","412,226,000,000","419,322,000,000","435,441,000,000","483,915,000,000","513,265,000,000","536,952,000,000","580,176,000,000","620,296,000,000","631,859,000,000","696,269,000,000","708,465,000,000","750,811,000,000","754,213,000,000","765,438,000,000","863,108,000,000","886,455,000,000","895,216,000,000",,"1,005,166,000,000","1,027,747,000,000"
- Giá trị hao mòn lũy kế,"-127,872,000,000","-136,948,000,000","-151,817,000,000","-168,866,000,000","-190,107,000,000","-204,393,000,000","-230,114,000,000","-250,692,000,000","-271,874,000,000","-294,120,000,000","-318,899,000,000","-344,553,000,000","-369,401,000,000","-395,698,000,000","-423,642,000,000","-448,838,000,000","-475,269,000,000","-502,201,000,000","-529,098,000,000","-556,978,000,000","-582,108,000,000",,"-634,432,000,000","-662,572,000,000"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,,,,,,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"8,376,673,000,000","7,932,336,000,000","11,784,336,000,000","12,018,572,000,000","9,249,848,000,000","9,926,236,000,000","10,903,327,000,000","14,284,297,000,000","15,592,956,000,000","17,684,384,000,000","20,884,417,000,000","19,864,752,000,000","22,220,267,000,000","26,908,952,000,000","27,077,360,000,000","25,737,368,000,000","23,962,072,000,000","25,370,259,000,000","26,429,114,000,000","23,661,609,000,000","24,168,443,000,000",,"18,602,021,000,000","14,807,073,000,000"
1. Đầu tư vào công ty con,"4,670,375,000,000","4,888,376,000,000","7,500,341,000,000","9,222,733,000,000","6,091,296,000,000","684,496,000,000","7,584,408,000,000","11,088,232,000,000","12,427,850,000,000","14,328,243,000,000","17,218,632,000,000","16,282,628,000,000","18,293,250,000,000","22,707,328,000,000","22,338,502,000,000","17,545,725,000,000","15,153,768,000,000","17,078,069,000,000","18,128,442,000,000","15,202,088,000,000","16,107,004,000,000",,"10,373,665,000,000","7,033,567,000,000"
