TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
4. Phải thu nội bộ dài hạn,"117,280,000,000","117,280,000,000","117,280,000,000","115,280,000,000","115,280,000,000","115,280,000,000",,"115,280,000,000","115,280,000,000","115,280,000,000","115,280,000,000","115,280,000,000","125,800,000,000","125,800,000,000","125,800,000,000","85,320,000,000","85,320,000,000","85,320,000,000","85,320,000,000","85,320,280,000","227,517,560,000",,"226,114,860,000","224,010,800,000"
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu dài hạn khó đòi,"-3,135,000,000","-3,038,984,580","-3,038,984,580","-5,060,000,000","-5,060,000,000","-2,698,559,720",,"-932,000,000","-932,000,000",,,,,,,,,,,,,,,"-81,252,180,864"
II.Tài sản cố định,"827,866,000,000","842,097,532,792","840,305,044,776","882,577,448,505","871,007,690,289","875,160,139,540",,"1,001,748,000,000","981,224,000,000","973,031,000,000","948,781,000,000","981,992,000,000","960,974,000,000","1,001,639,000,000","1,008,038,000,000","1,042,529,000,000","1,561,681,000,000","1,561,490,000,000","155,728,000,000","1,586,996,020,539","1,564,971,448,457",,"1,519,018,699,006","2,188,108,858,680"
1. Tài sản cố định hữu hình,"377,051,000,000","397,898,688,082","403,122,132,985","449,363,857,330","440,555,491,368","429,371,214,812",,"516,217,000,000","501,008,000,000","488,865,000,000","472,468,000,000","507,454,000,000","488,052,000,000","523,871,000,000","510,772,000,000","518,209,000,000","876,061,000,000","884,380,000,000","879,455,000,000","901,068,551,711","888,761,710,019",,"857,279,368,716","1,528,846,135,314"
- Nguyên giá,"699,808,000,000","727,394,355,921","747,768,209,943","810,011,785,601","819,332,553,351","828,083,709,281",,"947,469,000,000","951,595,000,000","959,434,000,000","962,390,000,000","1,024,684,000,000","1,024,181,000,000","1,079,250,000,000","1,081,957,000,000","1,105,795,000,000","1,485,072,000,000","1,520,197,000,000","1,543,855,000,000","1,554,013,601,516","1,564,647,297,432",,"1,595,384,748,514","2,307,180,881,972"
- Giá trị hao mòn lũy kế,"-322,757,000,000","-329,495,667,839","-344,646,076,958","-360,647,928,271","-378,777,061,983","-398,712,494,469",,"-431,252,000,000","-450,587,000,000","-470,569,000,000","-489,922,000,000","-517,230,000,000","-536,129,000,000","-555,379,000,000","-571,185,000,000","-587,586,000,000","-609,011,000,000","-635,817,000,000","-664,400,000,000","-652,945,049,805","-675,885,587,413",,"-738,105,379,798","-778,334,746,658"
2. Tài sản cố định thuê tài chính,"37,190,000,000","34,038,133,171","30,486,508,126","33,140,879,385","33,843,795,005","39,939,490,144",,"53,656,000,000","52,407,000,000","60,424,000,000","56,637,000,000","58,928,000,000","61,379,000,000","69,946,000,000","72,191,000,000","100,696,000,000","103,491,000,000","97,677,000,000","99,524,000,000","104,335,622,276","97,714,126,992",,"84,579,151,516","79,745,011,322"
- Nguyên giá,"75,644,000,000","75,644,012,997","72,445,740,270","72,224,385,722","72,068,040,267","75,368,622,086",,"82,504,000,000","84,062,000,000","90,882,000,000","90,882,000,000","81,614,000,000","86,826,000,000","99,169,000,000","104,700,000,000","134,573,000,000","139,550,000,000","139,550,000,000","147,636,000,000","158,912,708,472","158,912,708,472",,"157,680,288,472","159,316,615,744"
- Giá trị hao mòn lũy kế,"-38,454,000,000","-41,605,879,826","-41,959,232,144","-39,083,506,337","-38,224,245,262","-35,429,131,942",,"-28,848,000,000","-31,655,000,000","-30,458,000,000","-34,245,000,000","-22,686,000,000","-25,447,000,000","-29,223,000,000","-32,509,000,000","-33,877,000,000","-36,059,000,000","-41,873,000,000","-48,112,000,000","-54,577,086,196","-61,198,581,480",,"-73,101,136,956","-79,571,604,422"
3. Tài sản cố định vô hình,"413,625,000,000","410,160,711,539","406,696,403,665","400,072,711,790","396,608,403,916","405,849,434,584",,"431,875,000,000","427,809,000,000","423,742,000,000","419,676,000,000","415,610,000,000","411,543,000,000","407,822,000,000","425,075,000,000","423,624,000,000","582,129,000,000","579,433,000,000","576,749,000,000","581,591,846,552","578,495,611,446",,"577,160,178,774","579,517,712,044"
- Nguyên giá,"512,701,000,000","512,700,707,491","512,700,707,491","509,541,323,491","509,541,323,491","522,348,323,491",,"556,094,000,000","556,094,000,000","556,094,000,000","556,094,000,000","556,094,000,000","556,094,000,000","556,094,000,000","575,554,000,000","575,554,000,000","736,353,000,000","736,353,000,000","736,353,000,000","744,438,945,391","744,438,945,391",,"749,714,168,571","755,607,424,479"
- Giá trị hao mòn lũy kế,"-99,076,000,000","-102,539,995,952","-106,004,303,826","-109,468,611,701","-112,932,919,575","-116,498,888,907",,"-124,219,000,000","-128,285,000,000","-132,352,000,000","-136,418,000,000","-140,484,000,000","-144,551,000,000","-148,272,000,000","-150,479,000,000","-151,930,000,000","-154,224,000,000","-156,920,000,000","-159,604,000,000","-162,847,098,839","-165,943,333,945",,"-172,553,989,797","-176,089,712,435"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"15,880,000,000","41,309,633,328","57,513,083,328","57,513,083,328","41,471,153,328","41,471,153,328",,"33,936,000,000","33,936,000,000","24,615,000,000","24,615,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,453,328","8,885,160,000",,"30,439,341,900","30,439,341,900"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","15,880,000,000","41,309,633,328","57,513,083,328","57,513,083,328","41,471,153,328","41,471,153,328",,"33,936,000,000","33,936,000,000","24,615,000,000","24,615,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,000,000","15,971,453,328","8,885,160,000",,"30,439,341,900","30,439,341,900"
2. Chi phí xây dựng cơ bản dở dang,,,,,,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"2,248,596,000,000","2,344,868,797,619","2,737,357,836,096","3,536,231,179,135","4,021,243,074,821","5,864,201,688,139",,"7,123,032,000,000","9,212,794,000,000","6,246,569,000,000","4,375,467,000,000","3,853,720,000,000","4,497,782,000,000","6,231,253,000,000","6,002,216,000,000","5,433,507,000,000","5,453,944,000,000","6,207,434,000,000","7,129,174,000,000","4,212,758,438,247","5,185,147,331,785",,"5,279,814,870,214","4,661,725,620,202"
1. Đầu tư vào công ty con,"556,093,000,000","549,766,386,019","396,027,680,557","1,885,795,615,772","1,892,546,606,430","3,930,508,324,947",,"4,196,219,000,000","5,647,453,000,000","2,731,695,000,000","675,237,000,000","687,321,000,000","1,144,018,000,000","2,158,666,000,000","1,885,185,000,000","2,260,617,000,000","1,866,547,000,000","2,324,923,000,000","2,854,525,000,000","1,466,710,414,073","1,128,976,442,276",,"1,181,995,060,458","919,497,403,991"
"2. Đầu tư vào công ty liên kết, liên doanh","1,531,736,000,000","1,588,340,726,425","2,087,680,432,020","1,315,261,480,332","1,801,778,949,786","1,812,236,928,436",,"2,631,737,000,000","3,284,533,000,000","3,211,912,000,000","3,410,144,000,000","2,811,443,000,000","3,013,705,000,000","3,764,938,000,000","3,791,106,000,000","2,727,847,000,000","3,118,569,000,000","3,210,741,000,000","3,676,094,000,000","2,076,285,168,319","3,369,102,292,910",,"3,516,038,510,313","3,001,115,519,488"
3. Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,,,,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn,"191,607,000,000","232,424,840,675","279,312,879,019","382,630,868,531","374,374,304,105","346,994,819,631",,"342,197,000,000","327,929,000,000","349,560,000,000","329,804,000,000","371,500,000,000","356,603,000,000","339,522,000,000","385,473,000,000","471,666,000,000","495,451,000,000","697,366,000,000","3,676,094,000,000","702,785,711,153","719,818,342,099",,"610,455,494,943","780,288,712,223"
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,,,,,,,,,,,,,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
