TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,,,,,,,,,,
I. Tiền và các khoản tương đương tiền,"2,199,200,000,000","2,284,155,000,000","2,986,683,000,000","1,213,646,000,000","1,599,644,000,000","2,281,820,000,000","2,232,006,000,000","3,499,270,000,000","1,859,621,000,000","2,348,534,000,000","1,668,953,000,000","2,751,278,000,000","2,173,387,000,000","3,016,854,000,000","2,183,066,000,000","2,983,877,000,000","2,524,365,000,000","2,014,854,000,000","2,287,117,000,000","2,382,762,000,000","2,233,613,000,000",,"1,769,880,000,000","1,162,384,000,000"
1. Tiền,,,,,,,,,,,,,,,,,,,,,,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,,,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,"5,869,802,000,000","4,196,907,000,000","4,570,248,000,000","6,621,943,000,000","3,352,900,000,000","1,880,621,000,000","1,937,133,000,000","6,758,980,000,000","1,984,284,000,000","3,725,024,000,000","2,755,885,000,000","9,867,646,000,000","10,515,268,000,000","4,834,479,000,000","5,110,792,000,000","10,323,700,000,000","4,043,470,000,000","7,086,938,000,000","7,932,859,000,000","14,578,444,000,000","11,256,898,000,000",,"7,490,028,000,000","14,369,534,000,000"
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,"6,379,748,000,000","13,222,004,000,000","10,786,992,000,000","11,663,649,000,000","9,064,436,000,000","10,816,676,000,000","3,124,010,000,000","13,959,435,000,000","18,116,079,000,000","16,434,543,000,000","11,034,155,000,000","22,438,493,000,000","17,308,765,000,000","19,220,966,000,000","27,328,032,000,000","31,967,998,000,000","31,948,513,000,000","30,454,260,000,000","35,009,513,000,000","35,527,676,000,000","42,276,056,000,000",,"63,644,983,000,000","96,455,319,000,000"
1. Phải thu ngắn hạn của khách hàng,"5,229,748,000,000","10,512,244,000,000","8,132,592,000,000","9,262,526,000,000","7,664,436,000,000","9,916,676,000,000","2,624,010,000,000","13,543,185,000,000","15,741,266,000,000","15,068,592,000,000","10,731,379,000,000","21,287,760,000,000","16,463,583,000,000","18,868,236,000,000","26,875,302,000,000","31,367,998,000,000","31,748,513,000,000","30,354,260,000,000","34,909,513,000,000","35,059,076,000,000","42,176,056,000,000",,"63,544,983,000,000","89,027,361,000,000"
