Date,Open,High,Low,Close,Adj Close,Volume
2023-07-16,6660.0,7110.0,6660.0,6950.0,,15092200.0
2023-07-18,6850.0,6900.0,6530.0,6530.0,,10722900.0
2023-07-19,6460.0,6700.0,6420.0,6700.0,,7752000.0
2023-07-20,6700.0,6850.0,6660.0,6850.0,,7173300.0
2023-07-23,6880.0,7000.0,6780.0,6950.0,,9776000.0
2023-07-25,6750.0,6890.0,6670.0,6880.0,,6401400.0
2023-07-27,7350.0,7360.0,7130.0,7290.0,,9416000.0
2023-08-02,7260.0,7440.0,7240.0,7380.0,,7422200.0
2023-08-03,7500.0,7800.0,7390.0,7740.0,,13078100.0
2023-08-06,7800.0,7800.0,7550.0,7790.0,,8237600.0
2023-08-07,7880.0,7900.0,7660.0,7710.0,,9147900.0
2023-08-08,7700.0,7800.0,7580.0,7720.0,,7742700.0
2023-08-09,7700.0,7880.0,7650.0,7780.0,,7404500.0
2023-08-10,7760.0,7820.0,7600.0,7800.0,,6586500.0
2023-08-13,8150.0,8200.0,8000.0,8160.0,,9360300.0
2023-08-14,8160.0,8170.0,8010.0,8150.0,,5488300.0
2023-08-15,8150.0,8150.0,7990.0,8140.0,,6029800.0
2023-08-16,8100.0,8120.0,8000.0,8000.0,,7476500.0
2023-08-17,7820.0,7890.0,7440.0,7440.0,,14967700.0
2023-08-20,7060.0,7300.0,6920.0,7090.0,,11482800.0
2023-08-21,7180.0,7180.0,6660.0,7150.0,,7649900.0
2023-08-22,7200.0,7220.0,7000.0,7130.0,,4739300.0
2023-08-23,7070.0,7350.0,6990.0,7350.0,,7564500.0
2023-08-24,7310.0,7380.0,7200.0,7340.0,,6094200.0
2023-08-27,7340.0,7400.0,7230.0,7400.0,,5652300.0
2023-08-28,7430.0,7620.0,7360.0,7520.0,,6646800.0
2023-08-29,7670.0,7750.0,7550.0,7680.0,,6115500.0
2023-08-30,7700.0,7830.0,7660.0,7690.0,,6205100.0
2023-09-04,7740.0,7860.0,7640.0,7720.0,,9720200.0
2023-09-05,7700.0,7750.0,7510.0,7700.0,,10040200.0
2023-09-06,7730.0,8100.0,7720.0,7980.0,,13505600.0
2023-09-07,7990.0,8020.0,7820.0,7850.0,,7586200.0
2023-09-10,7850.0,7920.0,7400.0,7470.0,,10872800.0
2023-09-11,7400.0,7680.0,7300.0,7660.0,,5694600.0
2023-09-12,7670.0,7670.0,7400.0,7550.0,,7185700.0
2023-09-13,7520.0,7520.0,7100.0,7150.0,,8864400.0
2023-09-14,7160.0,7230.0,7000.0,7130.0,,5945600.0
2023-09-17,7130.0,7130.0,7000.0,7090.0,,5109700.0
2023-09-18,7070.0,7200.0,6930.0,7070.0,,4908300.0
2023-09-19,7050.0,7420.0,7010.0,7420.0,,5189700.0
2023-09-20,7400.0,7400.0,7250.0,7300.0,,3483000.0
2023-09-21,7060.0,7200.0,6790.0,6800.0,,7376600.0
2023-09-24,6720.0,6830.0,6330.0,6330.0,,6541500.0
2023-09-25,6060.0,6330.0,5900.0,5900.0,,6837400.0
2023-09-26,5900.0,6280.0,5700.0,6280.0,,5622000.0
2023-09-27,6200.0,6270.0,6000.0,6190.0,,3011100.0
2023-09-28,6200.0,6270.0,6130.0,6250.0,,3553100.0
2023-10-01,6300.0,6330.0,6150.0,6300.0,,2417000.0
2023-10-02,6100.0,6200.0,5860.0,5880.0,,5123400.0
2023-10-03,5780.0,6140.0,5720.0,6140.0,,4519000.0
2023-10-04,6100.0,6190.0,5910.0,6090.0,,2603000.0
2023-10-05,6000.0,6170.0,5970.0,6170.0,,3615300.0
2023-10-08,6170.0,6280.0,6120.0,6280.0,,3256300.0
2023-10-09,6330.0,6380.0,6280.0,6320.0,,3597500.0
2023-10-10,6300.0,6320.0,6150.0,6300.0,,2966500.0
2023-10-11,6360.0,6420.0,6280.0,6380.0,,4163100.0
2023-10-12,6250.0,6380.0,6150.0,6360.0,,3086800.0
2023-10-15,6350.0,6350.0,6120.0,6190.0,,3480900.0
2023-10-16,6160.0,6210.0,5980.0,5980.0,,2997400.0
2023-10-17,6000.0,6020.0,5570.0,5800.0,,5794400.0
2023-10-18,5750.0,5760.0,5560.0,5600.0,,3091700.0
2023-10-19,5600.0,5770.0,5400.0,5770.0,,4419400.0
2023-10-22,5790.0,5790.0,5650.0,5760.0,,2800500.0
2023-10-23,5780.0,5850.0,5660.0,5850.0,,3005800.0
2023-10-24,5870.0,5920.0,5770.0,5850.0,,2456700.0
2023-10-25,5680.0,5700.0,5450.0,5450.0,,6296700.0
2023-10-26,5460.0,5490.0,5100.0,5470.0,,3439200.0
2023-10-29,5400.0,5470.0,5260.0,5260.0,,1831500.0
2023-10-30,5450.0,5450.0,5050.0,5150.0,,3187300.0
2023-10-31,5150.0,5180.0,5000.0,5160.0,,2996700.0
2023-11-01,5200.0,5520.0,5150.0,5520.0,,6390100.0
2023-11-02,5550.0,5600.0,5400.0,5540.0,,3230100.0
2023-11-05,5540.0,5650.0,5410.0,5580.0,,2446000.0
2023-11-06,5550.0,5570.0,5430.0,5490.0,,1964100.0
2023-11-07,5460.0,5870.0,5450.0,5870.0,,5564600.0
2023-11-08,5870.0,6250.0,5820.0,6100.0,,8977900.0
2023-11-09,6000.0,6230.0,6000.0,6110.0,,7123700.0
2023-11-12,6120.0,6160.0,5930.0,6030.0,,5280600.0
2023-11-13,6030.0,6110.0,5950.0,6030.0,,4445000.0
2023-11-14,6150.0,6210.0,6000.0,6000.0,,5196000.0
2023-11-15,6000.0,6150.0,5940.0,6150.0,,3842800.0
2023-11-16,6160.0,6410.0,6100.0,6190.0,,12543800.0
2023-11-19,6000.0,6210.0,6000.0,6150.0,,4285400.0
2023-11-20,6280.0,6300.0,6110.0,6200.0,,4415000.0
2023-11-21,6180.0,6340.0,6140.0,6300.0,,5828000.0
2023-11-22,6310.0,6490.0,6000.0,6000.0,,9285300.0
2023-11-23,6100.0,6150.0,5800.0,6150.0,,6523600.0
2023-11-26,6140.0,6150.0,6010.0,6120.0,,2524300.0
2023-11-27,6090.0,6120.0,5930.0,6120.0,,4064200.0
2023-11-28,6120.0,6200.0,6070.0,6160.0,,3326200.0
2023-11-29,6200.0,6350.0,6150.0,6260.0,,6079700.0
2023-11-30,6280.0,6280.0,6050.0,6240.0,,3444800.0
2023-12-03,6280.0,6450.0,6240.0,6450.0,,8610500.0
2023-12-04,6500.0,6500.0,6350.0,6440.0,,5941400.0
2023-12-05,6450.0,6700.0,6410.0,6650.0,,6335400.0
2023-12-06,6720.0,6720.0,6300.0,6580.0,,7973400.0
2023-12-07,6520.0,6600.0,6350.0,6370.0,,4814400.0
