Date,Open,High,Low,Close,Adj Close,Volume
2023-07-16,6100.0,6290.0,6100.0,6180.0,,5789300.0
2023-07-18,6090.0,6100.0,5910.0,5920.0,,3974000.0
2023-07-19,5920.0,6020.0,5900.0,6020.0,,1946900.0
2023-07-20,6100.0,6120.0,6020.0,6060.0,,1799900.0
2023-07-23,6100.0,6480.0,6070.0,6440.0,,8546400.0
2023-07-25,6330.0,6530.0,6300.0,6410.0,,6985100.0
2023-07-27,6380.0,6580.0,6360.0,6480.0,,6183700.0
2023-07-30,6620.0,6800.0,6500.0,6700.0,,9131600.0
2023-08-02,6380.0,6420.0,6210.0,6260.0,,4076000.0
2023-08-03,6320.0,6470.0,6270.0,6450.0,,4200300.0
2023-08-06,6600.0,6700.0,6500.0,6560.0,,5646700.0
2023-08-07,6630.0,6750.0,6540.0,6560.0,,5840800.0
2023-08-08,6600.0,7000.0,6510.0,6830.0,,9883600.0
2023-08-09,6850.0,6880.0,6550.0,6600.0,,4779000.0
2023-08-10,6680.0,6680.0,6360.0,6560.0,,4416100.0
2023-08-13,6580.0,6740.0,6540.0,6630.0,,3221800.0
2023-08-14,6650.0,6850.0,6650.0,6720.0,,4751400.0
2023-08-15,6720.0,6750.0,6620.0,6630.0,,3047500.0
2023-08-16,6630.0,6690.0,6400.0,6400.0,,4359000.0
2023-08-17,6380.0,6390.0,5960.0,5960.0,,7131400.0
2023-08-20,5800.0,5950.0,5550.0,5560.0,,13036100.0
2023-08-21,5600.0,5730.0,5300.0,5710.0,,3408500.0
2023-08-22,5810.0,5870.0,5660.0,5750.0,,2377912.0
2023-08-23,5770.0,5780.0,5640.0,5780.0,,3048806.0
2023-08-24,5780.0,5810.0,5700.0,5700.0,,3512107.0
2023-08-27,5770.0,5820.0,5710.0,5750.0,,3188800.0
2023-08-28,5790.0,5890.0,5730.0,5740.0,,5773400.0
2023-08-29,5800.0,5850.0,5750.0,5830.0,,2875900.0
2023-08-30,5830.0,5900.0,5800.0,5850.0,,4054101.0
2023-09-04,5870.0,6080.0,5860.0,6050.0,,4650501.0
2023-09-05,6070.0,6250.0,5980.0,6160.0,,5152501.0
2023-09-06,6240.0,6240.0,6050.0,6090.0,,5747503.0
2023-09-07,6120.0,6250.0,6060.0,6090.0,,3395506.0
2023-09-10,6350.0,6350.0,6010.0,6020.0,,5725581.0
2023-09-11,6020.0,6110.0,5980.0,6100.0,,2815900.0
2023-09-12,6120.0,6180.0,5980.0,6040.0,,4532600.0
2023-09-13,6020.0,6090.0,5800.0,5800.0,,4173000.0
2023-09-14,5810.0,5990.0,5800.0,5820.0,,1681700.0
2023-09-17,5820.0,5840.0,5720.0,5720.0,,1833800.0
2023-09-18,5740.0,5790.0,5600.0,5600.0,,2246200.0
2023-09-19,5610.0,5800.0,5610.0,5800.0,,1237800.0
2023-09-20,5880.0,5880.0,5800.0,5850.0,,1500700.0
2023-09-21,5900.0,5950.0,5650.0,5750.0,,4117000.0
2023-09-24,5800.0,5810.0,5350.0,5350.0,,2021000.0
2023-09-25,5300.0,5480.0,5060.0,5090.0,,2703300.0
2023-09-26,5030.0,5150.0,4860.0,5100.0,,2677900.0
2023-09-27,5110.0,5120.0,4990.0,5060.0,,1729900.0
2023-09-28,5100.0,5160.0,5080.0,5100.0,,1146300.0
2023-10-01,5170.0,5190.0,5100.0,5140.0,,935100.0
2023-10-02,5130.0,5130.0,4800.0,4800.0,,2033500.0
2023-10-03,4680.0,4930.0,4610.0,4900.0,,1212400.0
2023-10-04,4970.0,4970.0,4820.0,4860.0,,571500.0
2023-10-05,4860.0,4940.0,4820.0,4930.0,,631900.0
2023-10-08,4910.0,5040.0,4910.0,4960.0,,1044000.0
2023-10-09,5020.0,5070.0,4960.0,5000.0,,2966800.0
2023-10-10,5000.0,5050.0,4970.0,5020.0,,786100.0
2023-10-11,5050.0,5100.0,5010.0,5020.0,,1158400.0
2023-10-12,5000.0,5030.0,4940.0,4980.0,,1189300.0
2023-10-15,5010.0,5030.0,4960.0,4960.0,,921900.0
2023-10-16,4960.0,5020.0,4900.0,4900.0,,810400.0
2023-10-17,4900.0,4960.0,4560.0,4570.0,,1572000.0
2023-10-18,4570.0,4650.0,4480.0,4560.0,,1350700.0
2023-10-19,4520.0,4700.0,4480.0,4690.0,,1073300.0
2023-10-22,4710.0,4710.0,4600.0,4640.0,,599100.0
2023-10-23,4640.0,4710.0,4590.0,4650.0,,642500.0
2023-10-24,4660.0,4760.0,4660.0,4720.0,,904000.0
2023-10-25,4650.0,4650.0,4390.0,4390.0,,2399700.0
