Date,Open,High,Low,Close,Adj Close,Volume
2023-11-30,18000.0,18000.0,18000.0,18000.0,,1000.0
2023-12-03,19250.0,19250.0,19250.0,19250.0,,1597400.0
2023-12-04,19200.0,19250.0,18800.0,18800.0,,359400.0
2023-12-05,18550.0,19500.0,18000.0,18350.0,,371400.0
2023-12-06,18400.0,18400.0,17150.0,17250.0,,410100.0
2023-12-07,17100.0,17250.0,16050.0,17250.0,,307300.0
2023-12-10,17500.0,17500.0,16500.0,17000.0,,207800.0
2023-12-11,16500.0,17000.0,16500.0,16500.0,,66700.0
2023-12-12,16500.0,16800.0,16200.0,16500.0,,44400.0
2023-12-13,16500.0,16900.0,16300.0,16900.0,,398200.0
2023-12-14,16800.0,16800.0,16400.0,16800.0,,160800.0
2023-12-17,16250.0,16500.0,16250.0,16500.0,,97800.0
2023-12-18,16400.0,16600.0,15900.0,16400.0,,482500.0
2023-12-19,16300.0,16400.0,15950.0,16200.0,,194300.0
2023-12-20,16000.0,16350.0,15800.0,16350.0,,178800.0
2023-12-21,16250.0,16350.0,16000.0,16200.0,,166400.0
2023-12-24,16000.0,16200.0,15900.0,16200.0,,119600.0
2023-12-25,15950.0,16150.0,15850.0,16150.0,,187400.0
2023-12-26,16150.0,16150.0,15700.0,16100.0,,195600.0
2023-12-27,16000.0,16000.0,15700.0,16000.0,,133500.0
2023-12-28,15850.0,15900.0,15600.0,15700.0,,172500.0
2023-12-31,15700.0,15700.0,15700.0,15700.0,,0.0
2024-01-01,15700.0,15800.0,15450.0,15500.0,,146300.0
2024-01-02,15300.0,15950.0,15300.0,15850.0,,239700.0
2024-01-03,15850.0,15900.0,15500.0,15800.0,,137500.0
2024-01-04,15700.0,15800.0,15200.0,15400.0,,148500.0
2024-01-07,15200.0,15500.0,15200.0,15200.0,,128800.0
2024-01-08,15050.0,15550.0,15050.0,15550.0,,262900.0
2024-01-09,15450.0,15600.0,15450.0,15450.0,,217800.0
2024-01-10,15300.0,15700.0,15300.0,15700.0,,254500.0
2024-01-11,15700.0,16000.0,15350.0,16000.0,,329300.0
2024-01-14,16000.0,16200.0,15800.0,16000.0,,103000.0
2024-01-15,16150.0,16150.0,15300.0,15800.0,,151400.0
2024-01-16,15700.0,15800.0,15500.0,15700.0,,124600.0
2024-01-17,15500.0,15700.0,15400.0,15700.0,,68800.0
2024-01-18,15700.0,15800.0,15550.0,15550.0,,108100.0
2024-01-21,15550.0,15650.0,15450.0,15550.0,,115400.0
2024-01-22,15500.0,16000.0,15500.0,16000.0,,305900.0
2024-01-23,15900.0,16200.0,15800.0,16200.0,,288400.0
2024-01-24,16200.0,16200.0,16200.0,16200.0,,0.0
2024-01-25,16150.0,16300.0,15800.0,16000.0,,123400.0
2024-01-28,16000.0,16000.0,15700.0,16000.0,,111200.0
2024-01-29,16050.0,16050.0,15700.0,15700.0,,127900.0
2024-01-30,15600.0,15650.0,15500.0,15600.0,,97500.0
2024-01-31,15500.0,15800.0,15500.0,15800.0,,254200.0
2024-02-01,15800.0,15800.0,15800.0,15800.0,,0.0
2024-02-04,15600.0,15900.0,15600.0,15800.0,,145800.0
2024-02-05,15800.0,15850.0,15650.0,15850.0,,170100.0
2024-02-06,15850.0,16000.0,15700.0,16000.0,,162400.0
2024-02-07,16000.0,16000.0,16000.0,16000.0,,0.0
2024-02-08,16000.0,16000.0,16000.0,16000.0,,0.0
2024-02-14,16000.0,16050.0,15950.0,16000.0,,136800.0
2024-02-15,16000.0,16250.0,15900.0,16200.0,,165200.0
2024-02-18,16100.0,16150.0,15950.0,16050.0,,113600.0
2024-02-19,15950.0,16000.0,15850.0,15950.0,,110600.0
