Date,Open,High,Low,Close,Volume
2016-09-01,6363.64013671875,9545.4501953125,6363.64013671875,9545.4501953125,201960
2016-09-02,9545.4501953125,9545.4501953125,9545.4501953125,9545.4501953125,0
2016-09-06,10833.2998046875,10833.2998046875,10757.599609375,10833.2998046875,1142988
2016-09-07,11590.900390625,11590.900390625,11590.900390625,11590.900390625,972444
2016-09-08,12348.5,12348.5,12348.5,12348.5,2025289
2016-09-09,13181.7998046875,13181.7998046875,13181.7998046875,13181.7998046875,1705849
2016-09-12,14090.900390625,14090.900390625,14090.900390625,14090.900390625,1340922
2016-09-13,15075.7998046875,15075.7998046875,15000.0,15075.7998046875,1570496
2016-09-14,16098.5,16098.5,16060.599609375,16098.5,1089844
2016-09-15,17197.0,17197.0,16590.900390625,17197.0,2146597
2016-09-16,18371.19921875,18371.19921875,18333.30078125,18371.19921875,888030
2016-09-19,19621.19921875,19621.19921875,19583.30078125,19621.19921875,1063629
2016-09-20,19621.19921875,20454.5,18257.599609375,19621.19921875,1810353
2016-09-21,19621.19921875,19697.0,18257.599609375,19621.19921875,980218
2016-09-22,18636.400390625,19621.19921875,18447.0,18636.400390625,1145073
2016-09-23,17500.0,19924.19921875,17500.0,18939.400390625,785782
2016-09-26,19697.0,19924.19921875,18939.400390625,19772.69921875,1039354
2016-09-27,19772.69921875,21136.400390625,19772.69921875,21136.400390625,760478
2016-09-28,22613.599609375,22613.599609375,22575.80078125,22613.599609375,885997
2016-09-29,22916.69921875,24166.69921875,22916.69921875,24166.69921875,1514871
2016-09-30,25833.30078125,25833.30078125,25757.599609375,25833.30078125,621812
2016-10-03,27613.599609375,27613.599609375,27575.80078125,27613.599609375,931603
2016-10-04,29545.5,29545.5,29507.599609375,29545.5,1029098
2016-10-05,31553.0,31590.900390625,29924.19921875,31590.900390625,1576080
2016-10-06,31590.900390625,33787.8984375,29507.599609375,33787.8984375,1398276
2016-10-07,33409.1015625,34848.5,31553.0,33674.19921875,1663635
2016-10-10,31893.900390625,34242.3984375,31666.69921875,34242.3984375,1778026
2016-10-11,36590.8984375,36628.80078125,36590.8984375,36628.80078125,1432173
2016-10-12,39090.8984375,39166.69921875,38181.80078125,39166.69921875,965487
2016-10-13,39166.69921875,39242.3984375,36439.3984375,37954.5,2047095
2016-10-14,37954.5,40606.1015625,37954.5,40606.1015625,1236285
2016-10-17,40606.1015625,43409.1015625,40530.30078125,43409.1015625,879304
2016-10-18,43181.80078125,43181.80078125,40757.6015625,42045.5,1150155
2016-10-19,43181.80078125,44924.19921875,41666.69921875,44924.19921875,1757118
2016-10-20,44924.19921875,48030.30078125,44924.19921875,48030.30078125,1149627
2016-10-21,47727.30078125,51363.6015625,45000.0,51363.6015625,1478611
2016-10-24,49166.69921875,54545.5,48787.8984375,51136.3984375,2239630
2016-10-25,51515.19921875,54697.0,51515.19921875,54697.0,1256666
2016-10-26,54545.5,56136.3984375,52500.0,56060.6015625,2028378
2016-10-27,55303.0,59924.19921875,52197.0,59924.19921875,4125145
2016-10-28,60681.80078125,64090.8984375,60681.80078125,64090.8984375,1600909
2016-10-31,65151.5,67954.5,61363.6015625,65378.80078125,2495618
2016-11-01,63636.3984375,65909.1015625,60833.30078125,64393.8984375,2793582
2016-11-02,65454.5,68863.6015625,65151.5,68863.6015625,2329390
2016-11-03,68939.3984375,71363.6015625,64848.5,71363.6015625,2093388
2016-11-04,68939.3984375,71212.1015625,66439.3984375,68181.796875,2916922
2016-11-07,69697.0,72954.5,69697.0,72878.796875,2173459
2016-11-08,74166.703125,77272.703125,71287.8984375,75833.296875,2147904
2016-11-09,75909.1015625,75984.8984375,70530.296875,71969.703125,2871884
2016-11-10,73863.6015625,76969.703125,72727.296875,76969.703125,2238152
2016-11-11,77651.5,82348.5,73484.8984375,82348.5,3069752
2016-11-14,80303.0,88106.1015625,79545.5,88030.296875,3605791
2016-11-15,88030.296875,90909.1015625,81893.8984375,90909.1015625,3640335
2016-11-16,89393.8984375,90454.5,84545.5,85606.1015625,3450955
2016-11-17,84242.3984375,91590.8984375,84242.3984375,91590.8984375,2553698
2016-11-18,90151.5,93939.3984375,85227.296875,93939.3984375,4290580
2016-11-21,87878.796875,93939.3984375,87424.203125,89393.8984375,3738094
2016-11-22,89469.703125,95454.5,89469.703125,94848.5,3181371
2016-11-23,92348.5,95833.296875,88257.6015625,95757.6015625,5209723
2016-11-25,89469.703125,95454.5,83181.796875,95454.5,5467110
2016-11-28,90984.8984375,96212.1015625,88787.8984375,96212.1015625,5026401
2016-11-29,92500.0,95454.5,89545.5,89772.703125,4468754
2016-11-30,90151.5,94697.0,90151.5,94697.0,2834673
2016-12-01,92575.796875,93181.796875,88106.1015625,91666.703125,4726774
2016-12-02,91742.3984375,94697.0,85303.0,94015.1015625,5886870
2016-12-05,88636.3984375,91666.703125,87500.0,90000.0,3362409
2016-12-06,90151.5,90227.296875,83712.1015625,84166.703125,4238731
2016-12-07,84090.8984375,89924.203125,78636.3984375,88560.6015625,3273256
2016-12-08,88560.6015625,88636.3984375,82424.203125,84242.3984375,2960509
2016-12-09,84242.3984375,86136.3984375,78484.8984375,84242.3984375,3487136
2016-12-12,84166.703125,84545.5,78409.1015625,81818.203125,4222996
2016-12-13,76515.1015625,81818.203125,76136.3984375,76363.6015625,4050195
2016-12-14,75909.1015625,78484.8984375,75909.1015625,78181.796875,2869072
2016-12-15,78181.796875,79545.5,78030.296875,78787.8984375,3041016
2016-12-16,78787.8984375,79697.0,78636.3984375,79621.203125,2982170
2016-12-19,79621.203125,80909.1015625,79621.203125,80757.6015625,2965617
2016-12-20,80984.8984375,81515.1015625,80909.1015625,81439.3984375,3489156
2016-12-21,81818.203125,82348.5,81439.3984375,82272.703125,3547711
2016-12-22,82575.796875,82954.5,82272.703125,82878.796875,3091440
2016-12-23,83181.796875,83560.6015625,82878.796875,83484.8984375,3604972
2016-12-27,84090.8984375,84772.703125,84090.8984375,84697.0,2169789
2016-12-28,84772.703125,85454.5,84697.0,85378.796875,1871350
2016-12-29,85681.796875,86136.3984375,85454.5,86060.6015625,2110270
2016-12-30,86136.3984375,86969.703125,86136.3984375,86893.8984375,2872135
2017-01-03,87500.0,87803.0,86969.703125,87727.296875,2294463
2017-01-04,87954.5,88333.296875,87651.5,88257.6015625,2483197
2017-01-05,88484.8984375,89015.1015625,88257.6015625,88939.3984375,2081679
2017-01-06,89015.1015625,89697.0,89015.1015625,89621.203125,2114455
2017-01-09,89621.203125,89697.0,89242.3984375,89621.203125,3133825
2017-01-10,89621.203125,90227.296875,89621.203125,90151.5,2113887
2017-01-11,90227.296875,90984.8984375,90151.5,90909.1015625,2285646
