,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"765,218,348,044","878,924,095,684","1,119,580,823,187","966,367,981,716","713,713,927,607","879,741,773,400","1,620,324,064,116","1,219,454,131,622","968,594,987,409","1,165,406,477,823","1,625,322,128,960","1,445,051,655,378","1,330,989,018,360","1,413,240,215,417","1,752,532,712,072","1,210,834,623,889","1,010,054,319,161","1,032,765,420,759","1,793,486,043,876","1,252,775,223,898","1,461,423,069,660",,"2,846,767,455,352","1,365,852,955,898"
2. Các khoản giảm trừ doanh thu,"7,980,139,815","7,450,149,255",,"5,069,827,784","1,275,106,560","6,702,723,010",,"10,038,878,440",,"4,627,069,200",,"643,326,380","3,449,572,000","2,146,536,000","42,803,412",,"1,611,783,779",,"76,224,000",,"707,990,400",,"1,688,483,560","1,822,182,450"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"757,238,208,229","871,473,946,429","1,119,580,823,187","961,298,153,932","712,438,821,047","873,039,050,390","1,620,324,064,116","1,209,415,253,182","968,594,987,409","1,160,779,408,623","1,625,322,128,960","1,444,408,328,998","1,327,539,446,360","1,411,093,679,417","1,752,489,908,660","1,210,834,623,889","1,008,442,535,382","1,032,765,420,759","1,793,409,819,876","1,252,775,223,898","1,460,715,079,260",,"2,845,078,971,792","1,364,030,773,448"
4. Giá vốn hàng bán,"681,376,319,533","765,204,230,658","999,313,969,340","838,976,613,954","641,836,707,875","797,819,635,602","1,491,916,714,587","1,053,965,042,661","893,993,417,613","1,058,588,746,653","1,474,602,183,587","1,242,636,911,488","1,210,268,286,929","1,245,894,744,174","1,561,628,996,319","1,056,308,674,676","927,946,760,091","945,202,176,494","1,609,394,186,074","1,112,908,285,030","1,364,361,233,218",,"2,537,380,747,669","1,156,950,987,430"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"75,861,888,696","106,269,715,771","120,266,853,847","122,321,539,978","70,602,113,172","75,219,414,788","128,407,349,529","155,450,210,521","74,601,569,796","102,190,661,970","150,719,945,373","201,771,417,510","117,271,159,431","165,198,935,243","190,860,912,341","154,525,949,213","80,495,775,291","87,563,244,265","184,015,633,802","139,866,938,868","96,353,846,042",,"307,698,224,123","207,079,786,018"
6. Doanh thu hoạt động tài chính,"2,983,363,340","5,177,507,497","6,604,978,237","6,030,253,841","5,258,373,266","11,143,627,128","7,942,040,286","8,992,458,833","8,766,308,688","12,506,508,923","16,523,608,837","16,409,863,558","16,145,349,316","18,985,834,976","20,701,319,013","35,592,637,412","17,844,738,644","13,383,020,174","21,081,098,517","19,229,207,875","16,927,316,284",,"8,960,538,897","60,113,032,142"
7. Chi phí tài chính,"4,860,699,182","9,504,937,748","5,905,836,976","3,744,265,214","3,584,069,283","8,273,809,577","5,296,187,228","5,487,515,686","5,925,927,687","8,525,159,061","11,233,605,407","7,677,770,947","6,085,752,036","17,105,889,796","13,133,732,600","38,151,574,139","8,643,514,498","11,892,239,367","31,699,880,832","7,361,702,208","6,212,339,064",,"35,849,957,365","7,344,613,796"
- Trong đó: Chi phí lãi vay,"4,752,749,640","5,056,007,342","3,702,199,011","3,204,882,488","2,035,574,920","3,737,233,170","4,684,376,996","3,471,599,576","3,663,383,842","4,798,449,851","3,567,475,016","2,971,885,138","1,886,750,086","4,651,818,001","5,221,977,864","5,494,006,449","2,965,808,280","6,297,755,998","10,574,322,374","7,919,235,569","4,142,799,149",,"7,326,114,390","6,824,824,817"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,"20,522,152,307","26,844,734,679","32,076,954,687","38,632,374,993","19,039,821,861","8,253,749,808","42,938,937,716","76,311,844,612","28,592,514,806","6,567,618,516","84,844,167,846","77,170,769,916","69,620,489,842","28,421,987,849","92,113,500,764","36,037,573,552","23,801,174,933","-9,533,476,392","67,423,957,382","39,559,468,350","30,129,015,152",,"168,613,483,060","40,364,874,346"
