,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"3,400,122,340,208","4,154,439,668,882","5,237,080,331,714","4,228,795,685,964","2,854,329,797,439","2,747,113,648,193","4,416,407,138,239","4,364,106,823,378","2,813,716,199,484","3,305,821,676,899","2,788,982,858,292","4,701,492,291,105","4,244,570,081,562","4,511,710,886,402","5,154,839,978,593","2,572,171,582,740","2,199,795,338,558","2,366,811,066,602","3,030,321,614,061","3,238,173,802,726","2,787,268,338,263","3,716,381,793,959","4,347,683,261,702","3,916,023,213,201"
2. Các khoản giảm trừ doanh thu,"37,237,194,385","818,001,358","24,012,581,910","23,260,575,178","10,539,670,019","10,784,562,811","14,845,872,577","11,559,942,399","3,826,480,437","13,908,128,138","4,171,588,681","12,608,933,067","5,547,849,725","20,724,452,018","13,569,974,924","18,606,551,789","77,221,280,978","16,893,170,940","37,040,064,374","15,146,381,909","36,699,451,245","-21,322,281,249","3,452,189,476","17,461,758,551"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"3,362,885,145,823","4,153,621,667,524","5,213,067,749,804","4,205,535,110,786","2,843,790,127,420","2,736,329,085,382","4,401,561,265,662","4,352,546,880,979","2,809,889,719,047","3,291,913,548,761","2,784,811,269,611","4,688,883,358,038","4,239,022,231,837","4,490,986,434,384","5,141,270,003,669","2,553,565,030,951","2,122,574,057,580","2,349,917,895,662","2,993,281,549,687","3,223,027,420,817","2,750,568,887,018","3,737,704,075,208","4,344,231,072,226","3,898,561,454,650"
4. Giá vốn hàng bán,"3,018,840,765,157","3,700,798,125,536","4,607,943,170,377","3,930,080,268,383","2,602,910,705,949","2,398,287,542,179","3,869,974,374,948","3,986,213,761,828","2,563,235,333,220","2,728,813,806,428","2,010,428,001,803","4,327,897,305,884","3,747,237,245,265","3,598,318,165,679","4,343,030,540,769","1,978,304,214,217","1,999,720,466,999","2,019,107,900,285","2,671,324,735,766","2,933,095,882,611","2,504,076,735,834","3,344,865,241,156","3,959,794,669,683","3,797,489,442,295"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"344,044,380,666","452,823,541,988","605,124,579,427","275,454,842,403","240,879,421,471","338,041,543,203","531,586,890,714","366,333,119,151","246,654,385,827","563,099,742,333","774,383,267,808","360,986,052,154","491,784,986,572","892,668,268,705","798,239,462,900","575,260,816,734","122,853,590,581","330,809,995,377","321,956,813,921","289,931,538,206","246,492,151,184","392,838,834,052","384,436,402,543","101,072,012,355"
6. Doanh thu hoạt động tài chính,"16,665,033,027","44,836,119,369","32,973,097,934","40,013,235,653","44,634,223,121","73,468,305,533","41,166,992,151","43,382,131,638","30,433,139,663","24,045,403,625","34,799,572,811","16,902,128,251","19,215,632,325","15,280,106,995","34,421,054,973","152,023,098,855","37,688,815,924","12,397,684,142","21,014,121,666","26,827,326,101","16,305,433,286","32,457,628,539","8,596,391,464","36,191,253,636"
7. Chi phí tài chính,"51,438,502,545","83,722,242,059","73,000,290,610","53,726,694,524","42,913,783,063","30,863,161,308","30,016,389,652","25,460,748,879","26,340,766,549","12,493,864,455","22,815,931,363","25,182,144,740","32,074,398,903","85,725,632,674","88,499,483,883","154,269,923,723","53,879,535,711","50,154,575,624","76,791,366,435","68,112,119,628","48,330,945,053","70,191,096,975","72,304,739,702","48,134,017,524"
- Trong đó: Chi phí lãi vay,"48,360,828,524","47,444,334,514","34,358,142,175","20,983,906,085","18,271,319,892","23,508,457,009","27,897,190,170","18,925,688,580","5,432,349,794","11,985,553,233","15,588,488,885","15,666,009,463","12,692,383,452","16,308,423,391","24,126,244,144","32,294,867,598","32,843,476,941","30,598,657,242","39,467,970,917","37,735,611,052","29,558,008,492","37,438,065,312","40,551,040,114","35,534,183,646"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,"1,200,471,269",,"12,838,764,619","8,516,848,913","10,589,382,812",,"17,442,109,171","7,312,606,832","8,923,092,310",,"15,029,443,700","3,407,381,219","4,951,173,206",,"23,442,257,402",,"21,701,860,276",,"15,936,472,788","37,638,333,064","-26,519,868,940",,"7,070,790,218"
9. Chi phí bán hàng,"178,601,981,525","269,625,252,084","245,618,712,255","163,054,423,003","129,619,467,983","141,203,224,409","214,726,693,739","182,048,507,913","174,514,432,414","186,982,674,612","364,397,998,119","179,728,277,699","314,659,327,619","467,313,889,905","316,961,321,312","252,670,046,336","133,536,347,703","181,571,044,423","204,007,317,430","218,600,854,111","168,120,840,717","188,571,762,767","312,153,559,337","152,220,466,003"
