,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"64,218,625,274","87,667,582,094","89,460,247,916","104,287,522,518","82,433,676,129","88,928,037,608","106,680,822,897","124,932,584,707","100,692,069,988","115,084,468,257","32,635,111,178","91,733,977,353","108,339,632,622","130,640,253,575","63,866,124,110","97,710,224,442","63,640,516,843","90,114,681,851","70,417,862,366","88,480,715,165","68,950,102,259","88,466,288,929","92,008,470,625","86,880,088,678"
2. Các khoản giảm trừ doanh thu,"451,243,189","751,659,304","1,055,490,032","1,529,650,889","545,635,150","702,496,585","472,646,272","849,518,190","571,019,999","571,970,383","81,946,577","291,307,119","164,514,917","656,777,110","-568,701,941","542,460,412","605,256,828","710,308,046","665,501,974","890,341,409","267,631,537","407,555,865","306,147,149","171,642,063"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"63,767,382,085","86,915,922,790","88,404,757,884","102,757,871,629","81,888,040,979","88,225,541,023","106,208,176,625","124,083,066,517","100,121,049,989","114,512,497,874","32,553,164,601","91,442,670,234","108,175,117,705","129,983,476,465","64,434,826,051","97,167,764,030","63,035,260,015","89,404,373,805","69,752,360,392","87,590,373,756","68,682,470,722","88,058,733,064","91,702,323,476","86,708,446,615"
4. Giá vốn hàng bán,"43,848,749,772","55,294,715,877","60,000,978,062","70,781,292,485","58,017,591,486","61,109,599,868","71,844,565,699","84,441,275,618","66,875,555,614","81,398,157,853","23,692,203,745","64,684,537,921","73,097,004,661","82,168,955,598","41,789,036,230","68,085,457,193","46,254,182,726","63,691,803,183","48,393,612,867","63,579,904,864","46,272,138,844","52,591,059,284","52,751,567,497","45,580,852,779"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"19,918,632,313","31,621,206,913","28,403,779,822","31,976,579,144","23,870,449,493","27,115,941,155","34,363,610,926","39,641,790,899","33,245,494,375","33,114,340,021","8,860,960,856","26,758,132,313","35,078,113,044","47,814,520,867","22,645,789,821","29,082,306,837","16,781,077,289","25,712,570,622","21,358,747,525","24,010,468,892","22,410,331,878","35,467,673,780","38,950,755,979","41,127,593,836"
6. Doanh thu hoạt động tài chính,"3,052,165,205","3,614,811,713","3,892,153,993","3,664,789,616","4,374,748,501","4,772,845,242","4,166,067,155","4,036,010,512","3,473,428,252","4,136,465,634","4,655,719,825","4,294,856,398","4,479,891,646","4,467,490,708","3,462,779,279","3,315,675,652","2,342,541,197","2,727,509,062","2,817,922,790","2,559,849,246","2,360,486,507","2,109,733,672","1,880,013,342","2,724,763,238"
7. Chi phí tài chính,"313,335,973","745,918,885","503,330,439","-175,508,483","1,273,931,462","1,129,773,247","785,821,936","1,172,382,871","1,071,382,457","953,414,456","630,041,573","864,166,681","1,410,493,192","2,093,625,554","2,224,684,950","4,448,175,652","3,544,866,296","3,381,015,307","1,745,545,188","1,445,089,520","1,539,110,543","2,178,556,799","3,557,697,276","2,967,033,070"
- Trong đó: Chi phí lãi vay,"103,980,293","153,049,136","173,262,033","202,255,740","187,325,374","168,589,623","186,549,834","221,794,697","225,050,711","231,863,280","235,036,466","258,785,493","419,078,905","387,842,953","515,363,139","424,166,342","712,245,821","977,394,129","758,255,355","724,214,922","818,238,993","1,201,862,107","2,075,770,301","1,915,968,855"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết","-3,235,389,537","-4,246,102,283","-4,543,990,158","-4,950,006,447",,,"-4,933,348,173","-4,849,919,469","-4,721,735,266","-5,032,525,697","-1,276,937,615","-3,869,692,665","-4,645,127,993","-5,120,155,313",,"4,829,864,912","-3,724,762,170",,,,,,,
9. Chi phí bán hàng,"4,320,999,640","4,252,495,339","3,824,405,086","3,128,026,219","4,189,200,735","4,436,906,304","5,782,125,722","2,711,145,828","8,504,697,850","6,997,901,186","2,687,152,845","5,420,229,413","7,724,713,653","15,689,180,751","3,717,371,725","4,926,447,175","2,471,204,069","5,106,894,326","4,183,843,066","4,587,730,897","4,650,301,820","4,363,120,729","3,770,586,761","4,393,840,105"
10. Chi phí quản lý doanh nghiệp,,,,,"4,753,836,475","6,756,255,462",,,,,,,,,"7,010,099,885",,,"10,110,199,753","7,767,906,448","5,073,899,419","6,817,926,708","11,377,435,528","14,159,203,276","15,050,495,714"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},"15,101,072,368","25,991,502,119","23,424,208,132","27,738,844,577","18,028,229,322","19,565,851,384","27,028,382,250","34,944,353,243","22,421,107,054","24,266,964,316","8,922,548,648","20,898,899,952","25,777,669,852","29,379,049,957","13,156,412,540","18,193,494,750","9,382,785,951","9,841,970,298","10,479,375,613","15,463,598,302","11,763,479,314","19,658,294,396","19,343,282,008","21,440,988,185"
12. Thu nhập khác,"55,349,019","157,199,168","160,787,351","190,819,557","51,610,712","50,488,443","227,287,080","215,343,675","48,764,880","40,339,573","1,803,586,637","34,267,728","49,123,285","188,711,131","67,816,011","64,030,295","45,089,166","49,876,174","1,899,162,191","931,647,657","134,954,478","664,186,261","318,203,448","198,355,556"
13. Chi phí khác,"17,108,802","37,309,481","38,080,709","75,540,770","884,486","8,435,361","8,235,544","19,352,700","8,336,170","3,204,894","3,600,528,111","-1,495,582,600","383,516,358","383,395,576","390,222,568","378,002,614","2,671,794","4,148,700","2,134,336,906","1,057,673","143,993","429,264,517","-59,256,750","30,331,059"
14. Lợi nhuận khác(40=31-32),"38,240,217","119,889,687","122,706,642","115,278,787","50,726,226","42,053,082","219,051,536","195,990,975","40,428,710","37,134,679","-1,796,941,474","1,529,850,328","-334,393,073","-194,684,445","-322,406,557","-313,972,319","42,417,372","45,727,474","-235,174,715","930,589,984","134,810,485","234,921,744","377,460,198","168,024,497"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),"15,139,312,585","26,111,391,806","23,546,914,774","27,854,123,364","18,078,955,548","19,607,904,466","27,247,433,786","35,140,344,218","22,461,535,764","24,304,098,995","7,125,607,174","22,428,750,280","25,443,276,779","29,184,365,512","12,834,005,983","17,879,522,431","9,425,203,323","9,887,697,772","10,244,200,898","16,394,188,286","11,898,289,799","19,893,216,140","19,720,742,206","21,609,012,682"
16. Chi phí thuế TNDN hiện hành,"3,027,862,511","5,243,222,345","4,709,383,016","5,582,378,178","3,615,791,110","3,948,188,305","5,449,486,757","7,043,936,423","4,492,307,153","5,070,737,296","1,425,121,435","4,537,093,507","5,088,655,356","5,984,781,745","2,566,801,197","3,595,347,275","1,885,040,665","2,009,522,367","2,048,840,181","3,301,581,458","2,379,657,903","4,425,765,831","3,910,869,197","4,800,883,132"
17. Chi phí thuế TNDN hoãn lại,,"19,902,928",,"-16,484,869",,"47,853,879",,"879,655",,"913,493",,"24,257,942",,"44,656,275",,,,,,,,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),"12,111,450,074","20,848,266,533","18,837,531,758","22,288,230,055","14,463,164,438","15,611,862,282","21,797,947,029","28,095,528,140","17,969,228,611","19,232,448,206","5,700,485,739","17,867,398,831","20,354,621,423","23,154,927,492","10,267,204,786","14,284,175,156","7,540,162,658","7,878,175,405","8,195,360,717","13,092,606,828","9,518,631,896","15,467,450,309","15,809,873,009","16,808,129,550"
19. Lợi nhuận sau thuế công ty mẹ,"12,111,450,074","20,848,266,533","18,837,531,758","22,288,230,055","14,463,164,438","15,611,862,282","21,797,947,029","28,095,528,140","17,969,228,611","19,232,448,206","5,700,485,739","17,867,398,831","20,354,621,423","23,154,927,492","10,267,204,786","14,284,175,156","7,540,162,658","7,878,175,405","8,195,360,717","13,092,606,828","9,518,631,896","15,467,450,309","15,809,873,009","16,808,129,550"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,
21. Lãi cơ bản trên cổ phiếu(*),697,"1,200","1,106","1,310",836,894,"1,261","1,610","1,012","1,083",318,987,"1,066","1,185",522,649,357,361,370,587,416,684,700,736
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,
