,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,769,371,270,550","1,668,779,325,749","1,884,998,853,394","2,165,805,480,814","2,467,280,153,095","2,290,438,069,824","2,646,542,821,623","2,969,456,849,809","2,572,254,991,101","2,708,167,748,717","2,790,829,093,482","3,100,496,167,257","2,920,854,639,559","3,050,860,636,445","3,665,262,844,954","3,041,302,847,683","2,402,074,011,852","3,539,240,321,166","2,827,151,372,627","2,758,124,216,034","3,343,303,138,932","3,331,030,798,997","3,678,764,928,158","3,779,309,678,858"
2. Các khoản giảm trừ doanh thu,"78,301,063,052","68,698,042,712","74,245,325,337","80,953,325,657","80,522,491,053","72,195,795,212","96,998,018,398","102,418,084,005","98,542,326,298","111,754,875,001","108,880,181,557","39,776,024,560","115,040,656,773","84,487,905,014","98,313,958,482","111,393,725,782","88,376,086,657","66,170,101,701","117,900,497,321","144,142,479,188","90,711,455,677","146,361,579,538","153,736,747,454","168,075,530,378"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"1,691,070,207,498","1,600,081,283,037","1,810,753,528,057","2,084,852,155,157","2,386,757,662,042","2,218,242,274,612","2,549,544,803,225","2,867,038,765,804","2,473,712,664,803","2,596,412,873,716","2,681,948,911,925","3,060,720,142,697","2,805,813,982,786","2,966,372,731,431","3,566,948,886,472","2,929,909,121,901","2,313,697,925,195","3,473,070,219,465","2,709,250,875,306","2,613,981,736,846","3,252,591,683,255","3,184,669,219,459","3,525,028,180,704","3,611,234,148,480"
4. Giá vốn hàng bán,"1,462,796,137,234","1,391,146,141,134","1,562,765,921,812","1,595,648,954,936","1,766,957,563,468","1,548,426,171,546","1,870,199,971,818","2,278,314,126,307","1,845,196,130,652","2,126,048,145,118","2,297,706,723,628","2,690,884,564,317","2,551,558,241,554","2,681,532,365,510","3,081,344,894,240","2,780,098,117,045","2,384,166,823,718","2,810,865,275,838","2,428,437,913,374","2,372,289,521,031","2,903,749,937,421","2,754,155,131,685","2,901,413,800,939","3,081,995,068,144"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"228,274,070,264","208,935,141,903","247,987,606,245","489,203,200,221","619,800,098,574","669,816,103,066","679,344,831,407","588,724,639,497","628,516,534,151","470,364,728,598","384,242,188,297","369,835,578,380","254,255,741,232","284,840,365,921","485,603,992,232","149,811,004,856","-70,468,898,523","662,204,943,627","280,812,961,932","241,692,215,815","348,841,745,834","430,514,087,774","623,614,379,765","529,239,080,336"
6. Doanh thu hoạt động tài chính,"4,106,071,873","9,035,199,154","5,007,748,553","9,331,265,420","4,943,677,978","10,155,012,128","5,772,736,902","9,063,763,647","6,258,636,642","7,988,600,705","4,505,780,168","8,260,134,174","6,548,832,994","7,749,517,886","4,554,313,545","9,945,040,909","8,024,309,308","11,812,892,676","6,840,884,311","11,098,650,074","7,138,748,355","4,720,626,723","6,818,699,242","20,535,307,436"
7. Chi phí tài chính,"71,476,188,275","76,423,919,629","80,896,140,551","73,927,539,593","84,633,353,908","91,455,409,870","81,338,101,540","62,184,426,393","50,017,362,764","52,136,509,605","46,063,994,264","50,792,026,381","52,100,286,875","56,075,123,095","43,339,965,858","49,218,248,870","69,637,673,799","71,152,998,548","69,508,394,011","70,436,345,233","50,852,845,689","80,206,799,362","72,903,837,760","70,681,624,773"
- Trong đó: Chi phí lãi vay,"69,986,494,233","72,926,636,535","77,003,011,132","73,924,939,485","82,934,540,865","91,827,442,016","71,174,981,967","61,447,457,261","47,724,311,307","-18,677,057,393","40,158,261,533","45,720,646,033","46,314,181,169","48,189,854,549","39,941,106,649","88,292,623,860","68,667,449,438","69,626,709,851","60,983,930,991","63,180,179,999","43,531,561,314","79,048,417,540","71,991,440,880","69,600,428,113"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,"850,599,000",,"399,166,000",,,,"929,362,507",,,,"2,904,603,405",,"-1,089,531,074",,"1,098,352,375",,"-3,057,285,223",,"-1,708,165,443",,"-322,456,070",,"-1,107,920,930"
9. Chi phí bán hàng,"65,745,630,903","66,221,884,220","63,199,876,405","72,378,948,183","85,845,200,790","87,390,876,218","95,594,948,823","111,594,402,291","96,337,352,682","91,557,878,196","100,552,142,912","116,788,900,629","98,612,406,282","107,691,521,189","107,100,420,659","89,765,586,620","97,641,504,447","149,573,647,973","110,228,428,818","74,996,579,777","110,294,319,794","111,428,500,609","126,086,728,198","121,289,309,194"
