a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.04869235306978226
1,1,gelu,mape,41.107688903808594
1,1,relu,mse,0.039695437997579575
1,1,relu,mape,49.864837646484375
1,2,gelu,mse,0.07743474096059799
1,2,gelu,mape,59.36652374267578
1,2,relu,mse,0.08284877240657806
1,2,relu,mape,56.10792541503906
1,3,gelu,mse,0.11465916037559509
1,3,gelu,mape,63.929500579833984
1,3,relu,mse,0.11032425612211227
1,3,relu,mape,62.89142608642578
2,1,gelu,mse,0.05583390220999718
2,1,gelu,mape,43.642364501953125
2,1,relu,mse,0.10474357008934021
2,1,relu,mape,42.32217788696289
2,2,gelu,mse,0.0911613255739212
2,2,gelu,mape,49.01021957397461
2,2,relu,mse,0.0944061279296875
2,2,relu,mape,49.938087463378906
2,3,gelu,mse,0.08885389566421509
2,3,gelu,mape,53.158180236816406
2,3,relu,mse,0.08863338083028793
2,3,relu,mape,55.384578704833984
3,1,gelu,mse,0.055253222584724426
3,1,gelu,mape,42.6560173034668
3,1,relu,mse,2.0030627250671387
3,1,relu,mape,48.07634353637695
3,2,gelu,mse,0.08060861378908157
3,2,gelu,mape,56.47568130493164
3,2,relu,mse,0.07467733323574066
3,2,relu,mape,45.57025909423828
3,3,gelu,mse,0.07793959975242615
3,3,gelu,mape,57.68634033203125
3,3,relu,mse,0.1052277684211731
3,3,relu,mape,61.6205940246582
