a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.05653588846325874
1,1,gelu,mape,36.98828125
1,1,relu,mse,0.05725019797682762
1,1,relu,mape,39.811100006103516
1,2,gelu,mse,0.06260425597429276
1,2,gelu,mape,51.672760009765625
1,2,relu,mse,0.07963793724775314
1,2,relu,mape,51.60444259643555
1,3,gelu,mse,0.12652039527893066
1,3,gelu,mape,46.23610305786133
1,3,relu,mse,0.097570039331913
1,3,relu,mape,60.44790267944336
2,1,gelu,mse,0.04736732691526413
2,1,gelu,mape,43.784942626953125
2,1,relu,mse,0.0560087151825428
2,1,relu,mape,62.390403747558594
2,2,gelu,mse,0.07837127149105072
2,2,gelu,mape,56.500083923339844
2,2,relu,mse,0.09552045166492462
2,2,relu,mape,68.28646850585938
2,3,gelu,mse,0.10835572332143784
2,3,gelu,mape,63.226165771484375
2,3,relu,mse,0.09462539106607437
2,3,relu,mape,59.72805404663086
3,1,gelu,mse,0.07135672122240067
3,1,gelu,mape,46.20685577392578
3,1,relu,mse,0.06469742208719254
3,1,relu,mape,36.13980484008789
3,2,gelu,mse,0.11081579327583313
3,2,gelu,mape,62.16989517211914
3,2,relu,mse,0.09508286416530609
3,2,relu,mape,60.555694580078125
3,3,gelu,mse,0.08010158687829971
3,3,gelu,mape,62.76652145385742
3,3,relu,mse,0.09539646655321121
3,3,relu,mape,56.251976013183594
