a,b,c,activation,loss_function,final_loss
2,1,1,gelu,mse,0.066336975
2,1,1,gelu,mape,45.93391418
2,1,1,relu,mse,0.064296305
2,1,1,relu,mape,47.15314865
2,1,2,gelu,mse,0.089192197
2,1,2,gelu,mape,69.78273773
2,1,2,relu,mse,0.090313613
2,1,2,relu,mape,70.54867554
2,1,3,gelu,mse,0.154239014
2,1,3,gelu,mape,60.46737289
2,1,3,relu,mse,0.103774831
2,1,3,relu,mape,106.0959702
2,2,1,gelu,mse,0.070108443
2,2,1,gelu,mape,57.00061798
2,2,1,relu,mse,0.054477364
2,2,1,relu,mape,50.72546387
2,2,2,gelu,mse,0.075045191
2,2,2,gelu,mape,51.18376923
2,2,2,relu,mse,0.080130965
2,2,2,relu,mape,105.9865112
2,2,3,gelu,mse,0.089714848
2,2,3,gelu,mape,77.8752594
2,2,3,relu,mse,0.094416857
2,2,3,relu,mape,60.95802689
2,3,1,gelu,mse,0.056070127
2,3,1,gelu,mape,56.25136566
2,3,1,relu,mse,0.0742587
2,3,1,relu,mape,59.47142029
2,3,2,gelu,mse,0.091609232
2,3,2,gelu,mape,59.6813736
2,3,2,relu,mse,0.086112775
2,3,2,relu,mape,50.80219269
2,3,3,gelu,mse,0.082978673
2,3,3,gelu,mape,89.98342896
2,3,3,relu,mse,0.105528429
2,3,3,relu,mape,68.95066071
3,1,1,gelu,mse,0.106588647
3,1,1,gelu,mape,74.15898132
3,1,1,relu,mse,0.136209875
3,1,1,relu,mape,64.48851776
3,1,2,gelu,mse,0.149062917
3,1,2,gelu,mape,64.39045715
3,1,2,relu,mse,0.124418348
3,1,2,relu,mape,71.38968658
3,1,3,gelu,mse,0.162091553
3,1,3,gelu,mape,70.34262848
3,1,3,relu,mse,0.12813966
3,1,3,relu,mape,73.18699646
3,2,1,gelu,mse,0.127591982
3,2,1,gelu,mape,81.63290405
3,2,1,relu,mse,0.08668568
3,2,1,relu,mape,85.73718262
3,2,2,gelu,mse,0.152119085
3,2,2,gelu,mape,60.51576233
3,2,2,relu,mse,0.103079312
3,2,2,relu,mape,71.24871063
3,2,3,gelu,mse,0.111617364
3,2,3,gelu,mape,73.6475296
3,2,3,relu,mse,0.121408604
3,2,3,relu,mape,66.34736633
3,3,1,gelu,mse,0.086795293
3,3,1,gelu,mape,56.42913818
3,3,1,relu,mse,0.071794093
3,3,1,relu,mape,90.83008575
3,3,2,gelu,mse,0.132175744
3,3,2,gelu,mape,83.8483963
3,3,2,relu,mse,0.124746889
3,3,2,relu,mape,114.2524109
3,3,3,gelu,mse,0.105187781
3,3,3,gelu,mape,67.18838501
3,3,3,relu,mse,0.07921838
3,3,3,relu,mape,72.846138
