company_id,quarter,P,EPS,D/E,P/E,SIZE,P_t_plus_1
STG,2024-07-01,12698.84284441736,991.0,0.3020031919082913,12.81417037781772,28.74764358409905,15581.99073267455
STK,2011-01-01,4.4121803314455095,1728.0,1.241492688309096,0.0025533450992161,27.497012330590827,4.394161966111925
STK,2015-04-01,6.887533838786776,693.0,1.3992118730408412,0.0099387212680905,28.110682851353165,6.250074684619904
STK,2016-01-01,6.405979445723236,62.0,1.4189865336578895,0.1033222491245683,28.14717483673951,6.674992740154266
STK,2016-04-01,6.674992740154266,622.0,1.7579613121965412,0.0107314995822415,28.286882297870044,7.299404382705688
STK,2016-07-01,7.299404382705688,135.0,1.7798968288392587,0.0540696620941162,28.30486013951954,7.6669971072484575
STK,2017-01-01,8.546874400108091,468.0,1.864461709507111,0.0182625521369831,28.355096166202635,9.679806557912675
STK,2017-04-01,9.679806557912675,440.0,1.8734737299715347,0.0219995603588924,28.39039662139081,9.93935751536536
STK,2017-07-01,9.93935751536536,297.0,1.781722057922063,0.0334658502200853,28.360564811691148,10.565691887386262
STK,2017-10-01,10.565691887386262,517.0,1.5429819103916562,0.0204365413682519,28.31156151937687,10.885550326988346
STK,2018-01-01,10.885550326988346,669.0,1.4045849116817066,0.0162713756756178,28.30813729060774,10.942629605531693
STK,2018-04-01,10.942629605531693,722.0,1.436489263260061,0.0151559966835619,28.37311264226181,10.91665974874345
STK,2018-07-01,10.91665974874345,780.0,1.6438717865706023,0.0139957176265941,28.454863378157324,9.809745455545093
STK,2018-10-01,9.809745455545093,805.0,1.313339271462028,0.0121860191994348,28.375188801785107,10.529239685809026
STK,2019-01-01,10.529239685809026,866.0,1.2198422346281508,0.0121584753877702,28.388616162921892,11.556333890036932
STK,2019-04-01,11.556333890036932,761.0,1.2944880426364416,0.0151857212746871,28.435625356276567,11.928427919745443
STK,2019-07-01,11.928427919745443,729.0,1.100003043387708,0.016362726913231,28.402377144512386,13.15761186182499
STK,2019-10-01,13.15761186182499,755.0,0.9099390855760298,0.0174273004792383,28.35805977093221,13.102572717974263
STK,2020-01-01,13.102572717974263,736.0,0.7621653614270489,0.0178024085842041,28.32433343645864,12.49077562301878
STK,2020-04-01,12.49077562301878,40.0,0.8692354389780197,0.3122693905754695,28.249852749687957,13.815019488334656
STK,2020-07-01,13.815019488334656,284.0,0.7467294289538391,0.0486444348180797,28.20212570114748,15.435151651501656
STK,2020-10-01,15.435151651501656,967.0,0.5744275114084273,0.01596189415874,28.163572735235697,18.97671114812132
STK,2021-01-01,18.97671114812132,991.0,0.5511340260552501,0.0191490526217167,28.21229523250439,21.992033428615997
STK,2021-04-01,21.992033428615997,1000.0,0.7782471589914043,0.0219920334286159,28.32119837112544,22.31794455647469
STK,2021-07-01,22.31794455647469,883.0,0.5978613824969714,0.025275135398046,28.26840650152592,24.35294872522354
STK,2021-10-01,24.35294872522354,1063.0,0.5662347265324598,0.0229096413219412,28.309982288869588,22.85579466050671
STK,2022-01-01,22.85579466050671,1079.0,0.5552810215538739,0.0211823861543157,28.361831182314884,20.05351681863108
STK,2022-04-01,20.05351681863108,981.0,0.6216931708880533,0.020441913168839,28.37864465252552,20.37706968188286
STK,2022-07-01,20.37706968188286,613.0,0.5181554997400742,0.0332415492363505,28.45163974425852,18.5666926247733
STK,2022-10-01,18.5666926247733,621.0,0.3794475326252595,0.0298980557564787,28.383958662194992,20.43849978908416
STK,2023-01-01,20.43849978908416,20.0,0.4096844980826875,1.021924989454208,28.407933443059964,22.559040623326457
STK,2023-04-01,22.559040623326457,458.0,0.4455129001772512,0.0492555472125031,28.457058058680357,13788.402297054638
STK,2023-07-01,13788.402297054638,191.0,0.519018762265515,72.19058794269444,28.51711196334778,13964.321731221957
STK,2023-10-01,13964.321731221957,363.0,0.8269684088786845,38.46920587113487,28.72129452574288,14159.768934647242
STK,2024-01-01,14159.768934647242,8.0,1.1149848494204686,1769.9711168309052,28.86839593013505,15009.567274001336
STK,2024-04-01,15009.567274001336,-575.0,1.1792007278818315,-26.10359525913276,28.90473147097094,13768.732216437033
STK,2024-07-01,13768.732216437033,855.0,1.149618691120294,16.10378037010179,28.93963337938067,12477.223128128053
SVD,2024-01-01,2526.4406779661017,-119.0,0.5950441178043415,-21.23059393248825,26.682624386705797,2797.2131147540986
TCD,2017-04-01,10858.320264629288,372.0,5.553933950988075,29.189032969433573,28.58837434065685,11985.563415046752
TCD,2017-07-01,11985.563415046752,509.0,5.591322733177992,23.54727586453193,28.635631968710182,12323.77993774414
TCD,2017-10-01,12323.77993774414,455.0,1.6612900986223762,27.085230632404706,27.773074550940063,12146.003211069916
TCD,2018-01-01,12146.003211069916,66.0,1.5657640073077532,184.03035168287752,27.716691115328963,11573.80808945953
TCD,2018-04-01,11573.80808945953,201.0,1.6329804886458594,57.5811347734305,27.77121368558177,10285.344020843506
TCD,2018-07-01,10285.344020843506,21.0,1.7368640399751312,489.7782867068336,27.81048026650131,10136.63741796875
TCD,2018-10-01,10136.63741796875,1427.0,2.4589610874295458,7.103459998576559,28.16383787531254,11000.357253643644
TCD,2019-01-01,11000.357253643644,93.0,2.364591170039905,118.28341132950156,28.13722010335808,11369.285503840045
TCD,2019-04-01,11369.285503840045,637.0,2.934990261466004,17.84817190555737,28.333726821580463,10268.42008984375
TCD,2019-07-01,10268.42008984375,86.0,2.695491403440214,119.4002336028343,28.28169435567161,8897.862797004133
TCD,2019-10-01,8897.862797004133,1024.0,2.5006191768149764,8.689319137699348,28.291241881300923,8326.940864213017
