a,b,activation,loss_function,final_loss
2,1,gelu,mse,0.0663369745016098
2,1,gelu,mape,45.93391418457031
2,1,relu,mse,0.06429630517959595
2,1,relu,mape,47.15314865112305
2,1,gelu,mse,0.08919219672679901
2,1,gelu,mape,69.7827377319336
2,1,relu,mse,0.0903136134147644
2,1,relu,mape,70.54867553710938
2,1,gelu,mse,0.1542390137910843
2,1,gelu,mape,60.46737289428711
2,1,relu,mse,0.10377483069896698
2,1,relu,mape,106.0959701538086
2,2,gelu,mse,0.07010844349861145
2,2,gelu,mape,57.00061798095703
2,2,relu,mse,0.05447736382484436
2,2,relu,mape,50.7254638671875
2,2,gelu,mse,0.07504519075155258
2,2,gelu,mape,51.18376922607422
2,2,relu,mse,0.08013096451759338
2,2,relu,mape,105.98651123046875
2,2,gelu,mse,0.08971484750509262
2,2,gelu,mape,77.87525939941406
2,2,relu,mse,0.09441685676574707
2,2,relu,mape,60.95802688598633
2,3,gelu,mse,0.056070126593112946
2,3,gelu,mape,56.251365661621094
2,3,relu,mse,0.0742587000131607
2,3,relu,mape,59.47142028808594
2,3,gelu,mse,0.09160923212766647
2,3,gelu,mape,59.681373596191406
2,3,relu,mse,0.08611277490854263
2,3,relu,mape,50.80219268798828
2,3,gelu,mse,0.08297867327928543
2,3,gelu,mape,89.98342895507812
2,3,relu,mse,0.10552842915058136
2,3,relu,mape,68.9506607055664
3,1,gelu,mse,0.10658864676952362
3,1,gelu,mape,74.15898132324219
3,1,relu,mse,0.1362098753452301
3,1,relu,mape,64.48851776123047
3,1,gelu,mse,0.14906291663646698
3,1,gelu,mape,64.39045715332031
3,1,relu,mse,0.12441834807395935
3,1,relu,mape,71.38968658447266
3,1,gelu,mse,0.16209155321121216
3,1,gelu,mape,70.3426284790039
3,1,relu,mse,0.1281396597623825
3,1,relu,mape,73.18699645996094
3,2,gelu,mse,0.12759198248386383
3,2,gelu,mape,81.63290405273438
3,2,relu,mse,0.0866856798529625
3,2,relu,mape,85.7371826171875
3,2,gelu,mse,0.15211908519268036
3,2,gelu,mape,60.51576232910156
3,2,relu,mse,0.10307931154966354
3,2,relu,mape,71.24871063232422
3,2,gelu,mse,0.11161736398935318
3,2,gelu,mape,73.64752960205078
3,2,relu,mse,0.1214086040854454
3,2,relu,mape,66.34736633300781
3,3,gelu,mse,0.08679529279470444
3,3,gelu,mape,56.42913818359375
3,3,relu,mse,0.07179409265518188
3,3,relu,mape,90.83008575439453
3,3,gelu,mse,0.1321757435798645
3,3,gelu,mape,83.84839630126953
3,3,relu,mse,0.1247468888759613
3,3,relu,mape,114.25241088867188
3,3,gelu,mse,0.1051877811551094
3,3,gelu,mape,67.18838500976562
3,3,relu,mse,0.07921838015317917
3,3,relu,mape,72.84613800048828
