a,b,c,activation,loss_function,final_loss
2,1,1,gelu,mse,0.072812326
2,1,1,gelu,mape,50.44433594
2,1,1,relu,mse,0.077268913
2,1,1,relu,mape,73.76122284
2,1,1,linear,mse,0.080435626
2,1,1,linear,mape,51.16551208
2,1,2,gelu,mse,0.089437075
2,1,2,gelu,mape,54.96852112
2,1,2,relu,mse,0.085304253
2,1,2,relu,mape,63.83944702
2,1,2,linear,mse,0.127187997
2,1,2,linear,mape,48.13070297
2,1,3,gelu,mse,0.144629806
2,1,3,gelu,mape,58.16551971
2,1,3,relu,mse,0.085471556
2,1,3,relu,mape,77.66730499
2,1,3,linear,mse,0.137505099
2,1,3,linear,mape,58.25753021
2,1,4,gelu,mse,0.117596075
2,1,4,gelu,mape,63.99370193
2,1,4,relu,mse,0.122356825
2,1,4,relu,mape,69.9858017
2,1,4,linear,mse,0.161468968
2,1,4,linear,mape,57.88596725
2,1,5,gelu,mse,0.125432521
2,1,5,gelu,mape,66.76946259
2,1,5,relu,mse,0.12616697
2,1,5,relu,mape,65.23631287
2,1,5,linear,mse,0.161385402
2,1,5,linear,mape,62.09482956
2,2,1,gelu,mse,0.074267775
2,2,1,gelu,mape,44.72844315
2,2,1,relu,mse,0.074270837
2,2,1,relu,mape,52.72974396
2,2,1,linear,mse,0.092254952
2,2,1,linear,mape,42.22249222
2,2,2,gelu,mse,0.071243703
2,2,2,gelu,mape,51.79121017
2,2,2,relu,mse,0.066005722
2,2,2,relu,mape,71.06658936
2,2,2,linear,mse,0.215933159
2,2,2,linear,mape,56.85682678
2,2,3,gelu,mse,0.155362621
2,2,3,gelu,mape,67.63769531
2,2,3,relu,mse,0.119826838
2,2,3,relu,mape,62.06246948
2,2,3,linear,mse,0.166116476
2,2,3,linear,mape,70.72673798
2,2,4,gelu,mse,0.132049724
2,2,4,gelu,mape,59.40534973
2,2,4,relu,mse,0.089463554
2,2,4,relu,mape,56.27111053
2,2,4,linear,mse,0.144360065
2,2,4,linear,mape,56.22315598
2,2,5,gelu,mse,0.123679027
2,2,5,gelu,mape,76.00257874
2,2,5,relu,mse,0.111064173
2,2,5,relu,mape,63.11446381
2,2,5,linear,mse,0.13473466
2,2,5,linear,mape,65.88565063
2,3,1,gelu,mse,0.073210925
2,3,1,gelu,mape,40.21668625
2,3,1,relu,mse,0.050213639
2,3,1,relu,mape,47.9973259
2,3,1,linear,mse,0.053025916
2,3,1,linear,mape,39.25137329
2,3,2,gelu,mse,0.060951382
2,3,2,gelu,mape,61.6700058
2,3,2,relu,mse,0.064865597
2,3,2,relu,mape,112.3256531
2,3,2,linear,mse,0.104247637
2,3,2,linear,mape,50.07658386
2,3,3,gelu,mse,0.085623465
2,3,3,gelu,mape,80.98675537
2,3,3,relu,mse,0.070754819
2,3,3,relu,mape,59.35503387
2,3,3,linear,mse,0.121902704
2,3,3,linear,mape,55.61038971
2,3,4,gelu,mse,0.098551266
2,3,4,gelu,mape,67.8136673
2,3,4,relu,mse,0.074376129
2,3,4,relu,mape,64.34209442
2,3,4,linear,mse,0.14505206
2,3,4,linear,mape,63.99839401
2,3,5,gelu,mse,0.120813459
2,3,5,gelu,mape,84.0960083
2,3,5,relu,mse,0.095525958
2,3,5,relu,mape,52.8537178
2,3,5,linear,mse,0.1529762
2,3,5,linear,mape,78.92808533
3,1,1,gelu,mse,0.133227974
3,1,1,gelu,mape,60.50757217
3,1,1,relu,mse,0.148263425
3,1,1,relu,mape,96.02760315
