a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.051540106534957886
1,1,gelu,mape,47.09797668457031
1,1,relu,mse,0.08609293401241302
1,1,relu,mape,39.283729553222656
1,1,linear,mse,0.05839936062693596
1,1,linear,mape,41.78697967529297
1,2,gelu,mse,0.11118388175964355
1,2,gelu,mape,63.58020782470703
1,2,relu,mse,0.07356403768062592
1,2,relu,mape,47.699485778808594
1,2,linear,mse,0.09524144977331161
1,2,linear,mape,62.87125778198242
1,3,gelu,mse,0.2123338282108307
1,3,gelu,mape,58.76662826538086
1,3,relu,mse,0.10192333906888962
1,3,relu,mape,57.1865234375
1,3,linear,mse,0.09226308763027191
1,3,linear,mape,57.7720947265625
1,4,gelu,mse,0.14669063687324524
1,4,gelu,mape,58.64663314819336
1,4,relu,mse,0.1013525053858757
1,4,relu,mape,65.97909545898438
1,4,linear,mse,0.12998005747795105
1,4,linear,mape,66.8336410522461
1,5,gelu,mse,0.12779304385185242
1,5,gelu,mape,68.37395477294922
1,5,relu,mse,0.13220323622226715
1,5,relu,mape,72.48435974121094
1,5,linear,mse,0.12920106947422028
1,5,linear,mape,71.20068359375
2,1,gelu,mse,0.04832495003938675
2,1,gelu,mape,40.825157165527344
2,1,relu,mse,0.12761780619621277
2,1,relu,mape,42.02649688720703
2,1,linear,mse,0.04480581358075142
2,1,linear,mape,36.75611114501953
2,2,gelu,mse,0.07376492768526077
2,2,gelu,mape,62.50238037109375
2,2,relu,mse,0.11510757356882095
2,2,relu,mape,58.668312072753906
2,2,linear,mse,0.363961786031723
2,2,linear,mape,55.59079360961914
2,3,gelu,mse,0.14513960480690002
2,3,gelu,mape,59.012603759765625
2,3,relu,mse,0.10073927044868469
2,3,relu,mape,61.47492980957031
2,3,linear,mse,0.08038074523210526
2,3,linear,mape,59.75679016113281
2,4,gelu,mse,0.11313378810882568
2,4,gelu,mape,65.65975189208984
2,4,relu,mse,0.08773892372846603
2,4,relu,mape,65.30525207519531
2,4,linear,mse,0.12088337540626526
2,4,linear,mape,59.97328186035156
2,5,gelu,mse,0.19485214352607727
2,5,gelu,mape,74.0271987915039
2,5,relu,mse,0.16948743164539337
2,5,relu,mape,62.46794891357422
2,5,linear,mse,0.16661220788955688
2,5,linear,mape,74.29998779296875
3,1,gelu,mse,0.03694553300738335
3,1,gelu,mape,45.062049865722656
3,1,relu,mse,0.05546170845627785
3,1,relu,mape,50.6092643737793
3,1,linear,mse,0.04803210124373436
3,1,linear,mape,50.21630096435547
3,2,gelu,mse,0.08741459995508194
3,2,gelu,mape,52.1034049987793
3,2,relu,mse,0.07458518445491791
3,2,relu,mape,69.17044830322266
3,2,linear,mse,0.09914522618055344
3,2,linear,mape,63.877925872802734
3,3,gelu,mse,0.12003445625305176
3,3,gelu,mape,53.1983642578125
3,3,relu,mse,0.09600885957479477
3,3,relu,mape,54.27688980102539
3,3,linear,mse,0.09752006828784943
3,3,linear,mape,54.065792083740234
3,4,gelu,mse,0.16064652800559998
3,4,gelu,mape,73.43989562988281
3,4,relu,mse,0.11280526965856552
3,4,relu,mape,58.772457122802734
3,4,linear,mse,0.12133696675300598
3,4,linear,mape,62.121971130371094
3,5,gelu,mse,0.10343978554010391
3,5,gelu,mape,73.26506042480469
3,5,relu,mse,0.09940571337938309
3,5,relu,mape,56.55928039550781
3,5,linear,mse,0.16164030134677887
3,5,linear,mape,60.83783721923828
4,1,gelu,mse,0.0560791939496994
4,1,gelu,mape,48.81294631958008
4,1,relu,mse,0.06979820132255554
4,1,relu,mape,33.21658706665039
4,1,linear,mse,0.05871699005365372
4,1,linear,mape,42.78287887573242
4,2,gelu,mse,0.0780695229768753
4,2,gelu,mape,48.16653823852539
4,2,relu,mse,0.09838927537202835
4,2,relu,mape,56.49243927001953
4,2,linear,mse,0.0745413601398468
4,2,linear,mape,74.26315307617188
4,3,gelu,mse,0.3120667636394501
4,3,gelu,mape,75.61296844482422
4,3,relu,mse,0.0890815332531929
4,3,relu,mape,59.755985260009766
4,3,linear,mse,0.14920485019683838
4,3,linear,mape,53.72201919555664
4,4,gelu,mse,0.1577639877796173
4,4,gelu,mape,52.85136413574219
4,4,relu,mse,0.11673387885093689
4,4,relu,mape,77.249267578125
4,4,linear,mse,0.1868753582239151
4,4,linear,mape,55.501251220703125
4,5,gelu,mse,0.10414138436317444
4,5,gelu,mape,62.2333869934082
4,5,relu,mse,0.13653913140296936
4,5,relu,mape,58.41739273071289
4,5,linear,mse,0.1704958975315094
4,5,linear,mape,64.95557403564453
5,1,gelu,mse,0.05409755930304527
5,1,gelu,mape,37.7457275390625
5,1,relu,mse,0.06343800574541092
5,1,relu,mape,52.06336975097656
5,1,linear,mse,0.04651335999369621
5,1,linear,mape,41.524627685546875
5,2,gelu,mse,0.09343331307172775
5,2,gelu,mape,62.67096710205078
5,2,relu,mse,0.0655130073428154
5,2,relu,mape,50.393558502197266
5,2,linear,mse,0.12424027174711227
5,2,linear,mape,50.14295959472656
5,3,gelu,mse,0.10003307461738586
5,3,gelu,mape,62.53925323486328
5,3,relu,mse,0.08727416396141052
5,3,relu,mape,56.62263488769531
5,3,linear,mse,0.11032681912183762
5,3,linear,mape,56.61856460571289
5,4,gelu,mse,0.1281520575284958
5,4,gelu,mape,51.84183120727539
5,4,relu,mse,0.07928143441677094
5,4,relu,mape,61.65273666381836
5,4,linear,mse,0.11323194950819016
5,4,linear,mape,63.73501205444336
5,5,gelu,mse,0.08403760194778442
5,5,gelu,mape,61.02729797363281
5,5,relu,mse,0.09021417796611786
5,5,relu,mape,85.37676239013672
5,5,linear,mse,0.13161975145339966
5,5,linear,mape,77.11064910888672
