a,b,activation,loss_function,final_loss
1,1,gelu,mse,0.06303870677947998
1,1,gelu,mape,47.935264587402344
1,1,relu,mse,0.046711940318346024
1,1,relu,mape,50.28386688232422
1,1,linear,mse,0.053032949566841125
1,1,linear,mape,41.28687286376953
1,2,gelu,mse,0.08739960938692093
1,2,gelu,mape,53.09912872314453
1,2,relu,mse,0.08867030590772629
1,2,relu,mape,53.621883392333984
1,2,linear,mse,0.0898909792304039
1,2,linear,mape,53.137718200683594
1,3,gelu,mse,0.07378685474395752
1,3,gelu,mape,53.62989807128906
1,3,relu,mse,0.12252039462327957
1,3,relu,mape,62.4490852355957
1,3,linear,mse,0.14262047410011292
1,3,linear,mape,60.52105712890625
1,4,gelu,mse,0.1585647165775299
1,4,gelu,mape,65.33405303955078
1,4,relu,mse,0.15125510096549988
1,4,relu,mape,69.38733673095703
1,4,linear,mse,0.1587393879890442
1,4,linear,mape,64.52283477783203
1,5,gelu,mse,0.15590694546699524
1,5,gelu,mape,71.81336975097656
1,5,relu,mse,0.14914903044700623
1,5,relu,mape,66.80986785888672
1,5,linear,mse,0.15203747153282166
1,5,linear,mape,75.05699157714844
2,1,gelu,mse,0.05191800370812416
2,1,gelu,mape,45.30579376220703
2,1,relu,mse,0.0681728646159172
2,1,relu,mape,50.10408401489258
2,1,linear,mse,0.038598500192165375
2,1,linear,mape,56.27368927001953
2,2,gelu,mse,0.11596820503473282
2,2,gelu,mape,53.08244323730469
2,2,relu,mse,0.08666284382343292
2,2,relu,mape,63.95066452026367
2,2,linear,mse,0.06316417455673218
2,2,linear,mape,57.368961334228516
2,3,gelu,mse,0.10417524725198746
2,3,gelu,mape,63.33551788330078
2,3,relu,mse,0.231912299990654
2,3,relu,mape,61.564388275146484
2,3,linear,mse,0.10084028542041779
2,3,linear,mape,60.626468658447266
2,4,gelu,mse,0.16064102947711945
2,4,gelu,mape,70.22816467285156
2,4,relu,mse,0.09796386957168579
2,4,relu,mape,73.34296417236328
2,4,linear,mse,0.15523532032966614
2,4,linear,mape,63.3151741027832
2,5,gelu,mse,0.1286572962999344
2,5,gelu,mape,68.86154174804688
2,5,relu,mse,0.11587695777416229
2,5,relu,mape,71.44558715820312
2,5,linear,mse,0.1281202882528305
2,5,linear,mape,70.01799011230469
3,1,gelu,mse,0.0658624991774559
3,1,gelu,mape,41.17867660522461
3,1,relu,mse,0.07243462651968002
3,1,relu,mape,92.18937683105469
3,1,linear,mse,0.03993617743253708
3,1,linear,mape,40.39148712158203
3,2,gelu,mse,0.08252710849046707
3,2,gelu,mape,52.357032775878906
3,2,relu,mse,0.0738915354013443
3,2,relu,mape,57.34770965576172
3,2,linear,mse,0.09454634040594101
3,2,linear,mape,46.05608367919922
3,3,gelu,mse,0.1101374700665474
3,3,gelu,mape,63.84349822998047
3,3,relu,mse,0.1141447052359581
3,3,relu,mape,59.189048767089844
3,3,linear,mse,0.1192762702703476
3,3,linear,mape,52.80526351928711
3,4,gelu,mse,0.1316867172718048
3,4,gelu,mape,82.87097930908203
3,4,relu,mse,0.11747533082962036
3,4,relu,mape,64.30069732666016
3,4,linear,mse,0.19155210256576538
3,4,linear,mape,62.7515869140625
3,5,gelu,mse,0.167891725897789
3,5,gelu,mape,73.08108520507812
3,5,relu,mse,0.13388167321681976
3,5,relu,mape,84.15879821777344
3,5,linear,mse,0.16992701590061188
3,5,linear,mape,77.0126953125
4,1,gelu,mse,0.07147501409053802
4,1,gelu,mape,55.53638458251953
4,1,relu,mse,0.060392025858163834
4,1,relu,mape,42.57411575317383
4,1,linear,mse,0.07101329416036606
4,1,linear,mape,54.19498825073242
4,2,gelu,mse,0.07703670114278793
4,2,gelu,mape,53.58570861816406
4,2,relu,mse,0.07804958522319794
4,2,relu,mape,90.73400115966797
4,2,linear,mse,0.10637984424829483
4,2,linear,mape,45.370567321777344
