,year,P,EPS,D/E,SIZE
0,2020,49500.15695654522,1066.5,1.0697367562189974,31.251647110424244
1,2021,85805.59476482183,1126.0,1.3692491568306029,31.50709207004584
2,2022,90758.33333333331,1268.5,1.2890515827301816,31.631785727266433
3,2023,8360.0,1258.0,1.0484294043279014,31.695775769909623
4,2024,153300.0,1280.0,0.9592314542271533,31.836927218239083
