TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Hàng tồn kho,"130,372,785,071","143,560,273,078","149,987,187,282","177,861,794,833","166,312,118,579","150,428,033,118","169,825,915,213","173,769,183,361","178,829,243,640","186,070,987,419","196,204,645,264","188,113,294,039","16,309,676,815,500","169,672,972,958","165,518,405,100","155,534,759,622","152,097,564,243","153,097,933,392","130,159,224,928","136,816,525,933","140,090,177,769","159,061,685,981","147,356,742,569","153,774,628,051"
2. Dự phòng giảm giá hàng tồn kho,"-2,957,834,078","-7,489,184,690","-12,140,008,477","-15,574,574,850","-16,772,179,141","-16,804,031,271","-19,854,031,271","-18,809,013,853","-17,209,013,853","-17,353,380,481","-16,293,380,481","-11,454,086,725","-1,344,955,369,300","-22,448,736,643","-36,602,552,506","-47,402,675,159","-47,402,675,159","-44,564,848,274","-45,314,848,274","-45,200,438,331","-45,200,438,331","-43,970,389,423","-43,970,389,423","-44,872,172,295"
V.Tài sản ngắn hạn khác,"5,406,648,629","4,444,796,941","4,229,199,879","1,646,652,778","1,157,908,831","859,142,046","1,190,859,344","1,579,195,407","1,437,971,258","1,836,400,169","1,181,182,864","1,577,327,734","187,060,090,800","1,943,356,566","3,081,656,032","6,523,042,102","3,739,648,794","3,484,437,755","2,056,629,860","1,409,701,207","4,468,593,705","4,884,642,928","6,204,599,809","1,845,740,592"
1. Chi phí trả trước ngắn hạn,"181,155,472","104,403,774","112,284,652","311,142,034","213,847,153","170,968,929","189,006,194","530,026,290","577,806,436","489,774,537","236,214,446","441,659,962","26,036,631,400","196,984,705","187,871,465","3,389,463,348","2,612,589,669","1,865,334,581","896,528,277","300,224,831","2,322,359,574","1,632,696,822","844,206,847","285,030,003"
2. Thuế GTGT được khấu trừ,"5,225,493,157","4,340,393,167","4,116,915,227","1,335,510,744","944,061,678","688,173,117","1,001,853,150","1,049,169,117","839,852,119","1,342,185,733","944,968,418","1,135,667,512","161,023,459,400","1,724,399,159","2,880,424,665","3,132,425,465","1,125,905,836","1,617,949,885","1,158,948,294","1,108,323,087","2,145,080,842","3,250,792,817","5,359,239,673","1,558,662,292"
3. Thuế và các khoản khác phải thu Nhà nước,,,,,,,,,"20,312,703","4,439,899",,260,,"21,972,702","13,359,902","1,153,289","1,153,289","1,153,289","1,153,289","1,153,289","1,153,289","1,153,289","1,153,289","2,048,297"
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"272,127,045,788","274,038,907,823","276,863,750,221","279,931,264,048","283,776,304,983","284,469,672,349","284,930,039,811","285,355,178,756","285,096,110,024","291,468,775,305","293,973,111,899","298,937,869,729","30,972,346,181,600","314,206,618,691","315,584,215,137","325,814,079,934","321,808,302,660","322,342,211,225","319,658,537,076","313,796,705,202","317,885,744,190","318,688,991,181","327,164,588,491","330,080,632,274"
I. Các khoản phải thu dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"53,682,283,221","53,599,962,062","54,453,860,237","54,286,309,051","61,055,670,776","60,599,120,626","59,005,446,234","64,001,069,640","62,003,549,012","66,549,604,819","64,425,732,322","62,639,843,711","6,183,635,961,400","86,996,242,143","88,953,809,887","92,005,334,727","93,294,434,181","93,611,432,127","91,929,460,040","90,275,997,911","88,464,008,514","92,652,486,724","90,303,580,825","116,981,393,057"
1. Tài sản cố định hữu hình,"41,546,848,997","41,570,435,908","42,530,242,153","42,468,599,037","49,343,868,832","48,993,226,752","47,505,460,430","52,606,991,906","50,715,379,348","55,367,343,225","53,349,378,798","51,669,398,257","5,097,182,223,000","76,237,612,829","78,301,088,643","81,458,521,553","82,853,529,077","83,276,435,093","81,700,371,076","80,152,817,017","78,446,735,690","82,741,121,970","80,498,124,141","107,281,844,443"
- Nguyên giá,"119,923,873,580","121,305,607,216","119,522,540,013","120,596,609,970","129,138,895,866","130,403,986,133","130,432,167,951","130,134,748,115","128,207,474,315","134,607,481,315","134,607,481,315","134,215,745,527","13,053,121,621,100","157,762,703,233","162,256,665,873","167,831,094,800","171,903,175,616","175,085,056,571","176,302,837,682","177,479,737,682","178,564,146,238","185,875,153,213","185,845,596,758","215,903,680,921"
- Giá trị hao mòn lũy kế,"-78,377,024,583","-79,735,171,308","-76,992,297,860","-78,128,010,933","-79,795,027,034","-81,410,759,381","-82,926,707,521","-77,527,756,209","-77,492,094,967","-79,240,138,090","-81,258,102,517","-82,546,347,270","-7,955,939,398,100","-81,525,090,404","-83,955,577,230","-86,372,573,247","-89,049,646,539","-91,808,621,478","-94,602,466,606","-97,326,920,665","-100,117,410,548","-103,134,031,243","-105,347,472,617","-108,621,836,478"
2. Tài sản cố định thuê tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"12,135,434,224","12,029,526,154","11,923,618,084","11,817,710,014","11,711,801,944","11,605,893,874","11,499,985,804","11,394,077,734","11,288,169,664","11,182,261,594","11,076,353,524","10,970,445,454","1,086,453,738,400","10,758,629,314","10,652,721,244","10,546,813,174","10,440,905,104","10,334,997,034","10,229,088,964","10,123,180,894","10,017,272,824","9,911,364,754","9,805,456,684","9,699,548,614"
- Nguyên giá,"16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","1,655,075,028,800","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288","16,550,750,288"
- Giá trị hao mòn lũy kế,"-4,415,316,064","-4,521,224,134","-4,627,132,204","-4,733,040,274","-4,838,948,344","-4,944,856,414","-5,050,764,484","-5,156,672,554","-5,262,580,624","-5,368,488,694","-5,474,396,764","-5,580,304,834","-568,621,290,400","-5,792,120,974","-5,898,029,044","-6,003,937,114","-6,109,845,184","-6,215,753,254","-6,321,661,324","-6,427,569,394","-6,533,477,464","-6,639,385,534","-6,745,293,604","-6,851,201,674"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"2,804,725,503","3,219,926,660","5,409,388,032","9,732,254,624","7,157,919,484","7,380,855,320","9,380,008,278","8,150,873,702","9,326,596,084","9,598,514,591","14,651,051,414","22,584,935,533","3,224,766,149,800","4,244,453,018","556,300,448","5,879,777,497","5,750,156,427","7,477,182,280","7,269,492,476","7,550,900,076","15,849,808,531","12,974,401,372","24,216,405,029","140,390,265"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"2,804,725,503","3,219,926,660","5,409,388,032","9,732,254,624","7,157,919,484","7,380,855,320","9,380,008,278","8,150,873,702","9,326,596,084","9,598,514,591","14,651,051,414","22,584,935,533","3,224,766,149,800","4,244,453,018","556,300,448","5,879,777,497","5,750,156,427","7,477,182,280","7,269,492,476","7,550,900,076","15,849,808,531","12,974,401,372","24,216,405,029","140,390,265"
V. Đầu tư tài chính dài hạn,"187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","18,720,238,300,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000"
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","187,202,383,000","187,202,383,000","187,202,383,000",,,,,,,,,,,,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,"187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000",,"187,202,383,000","187,202,383,000","18,720,238,300,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000","187,202,383,000"
4. Dự phòng đầu tư tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,"28,437,654,064","30,016,636,101","29,798,118,952","28,710,317,373","28,360,331,723","29,287,313,403","29,342,202,299","26,000,852,414","26,563,581,928","28,118,272,895","27,693,945,163","26,510,707,485","2,843,705,770,400","35,763,540,530","38,871,721,802","40,726,584,710","35,561,329,052","34,051,213,818","33,257,201,560","28,767,424,215","26,369,544,145","25,859,720,085","25,442,219,637","25,756,465,952"
1. Chi phí trả trước dài hạn,"26,780,469,535","27,802,974,569","27,533,700,242","24,484,763,067","24,134,777,417","24,928,834,933","24,983,723,829","22,535,825,149","23,141,288,377","24,682,017,619","24,243,159,493","23,893,544,432","2,559,505,288,900","32,208,303,868","34,049,846,094","33,469,805,981","28,421,491,134","27,323,287,800","26,374,337,340","21,894,886,966","19,497,006,896","18,830,004,187","18,412,503,739","16,830,781,732"
2. Tài sản thuế thu nhập hoãn lại,"1,657,184,529","2,213,661,532","2,264,418,710","4,225,554,306","4,225,554,306","4,358,478,470","4,358,478,470","3,465,027,265","3,422,293,551","3,436,255,276","3,450,785,670","2,617,163,053","284,200,481,500","3,555,236,662","4,821,875,708","7,256,778,729","7,139,837,918","6,727,926,018","6,882,864,220","6,872,537,249","6,872,537,249","7,029,715,898","7,029,715,898","8,925,684,220"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,"527,548,284,397","527,319,160,709","531,103,206,575","538,461,616,877","493,102,522,366","498,274,514,490","534,094,656,894","543,675,163,240","526,676,323,929","547,326,423,374","572,718,974,998","594,273,999,072","59,980,849,966,300","693,633,865,849","688,361,845,170","625,739,909,687","610,594,167,773","650,313,840,080","578,760,281,937","651,384,406,231","675,177,515,431","669,076,551,082","729,396,553,488","768,572,307,763"
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"119,646,520,348","109,220,628,865","117,694,335,945","125,319,959,302","90,746,997,512","88,564,658,930","122,168,851,342","132,991,764,108","110,646,134,368","130,752,105,774","155,067,060,824","164,181,048,146","17,353,668,887,300","244,064,217,451","226,815,052,322","151,648,445,347","154,060,018,582","179,908,887,496","100,285,152,394","160,564,993,618","196,741,305,318","163,075,501,405","204,900,504,121","225,710,376,167"
I. Nợ ngắn hạn,"114,492,376,773","104,066,485,290","112,540,192,370","120,179,021,802","85,606,060,012","83,423,721,430","117,027,913,842","128,440,632,608","106,432,146,868","126,538,118,274","150,853,073,324","160,010,717,146","16,936,635,787,300","240,326,918,951","223,077,753,822","148,066,249,347","150,477,822,582","176,658,308,996","97,286,798,894","157,455,382,618","193,651,644,318","160,099,420,405","201,942,948,121","222,538,461,167"
1. Phải trả người bán ngắn hạn,"11,506,662,342","8,945,610,239","12,356,906,135","9,072,258,007","8,718,933,772","15,062,610,009","13,577,840,737","15,890,577,956","19,069,885,064","18,806,400,101","14,629,616,516","20,475,190,523","2,521,950,873,600","36,994,613,660","35,738,667,471","34,503,997,225","22,231,571,301","15,070,486,695","9,669,837,400","15,993,997,018","21,844,529,355","16,696,061,516","20,213,940,211","13,085,410,361"
2. Người mua trả tiền trước ngắn hạn,"81,199,000","328,883,300","1,113,854,915","255,069,960","1,076,742,791","284,787,500","313,766,000","270,558,350","1,809,743,127","2,712,120,635","2,702,893,037","1,046,133,200","814,334,001,700","4,375,224,520","3,741,369,796","2,494,012,305","4,530,806,602","2,721,401,964","2,115,169,464","2,144,111,701","2,600,166,031","1,327,899,091","3,533,478,009","4,461,140,353"
3. Thuế và các khoản phải nộp nhà nước,"1,894,603,213","4,279,304,034","4,760,013,833","3,621,800,368","1,332,704,180","1,167,152,817","2,123,594,561","469,693,832","628,111,516","852,922,059","1,521,262,665","779,414,894","115,017,663,700","3,704,920,476","7,100,804,187","3,323,582,952","1,805,418,909","2,587,314,352","4,660,541,703","6,236,946,067","1,756,297,087","5,635,590,387","8,370,418,088","11,723,888,050"
4. Phải trả người lao động,"9,029,558,135","11,095,563,082","14,859,852,652","17,111,528,188","8,703,093,894","11,603,272,698","13,374,561,534","15,734,261,706","6,392,407,503","6,944,598,417","6,835,491,143","10,998,710,817","804,868,860,700","11,850,372,420","14,858,851,211","16,768,040,460","9,429,228,005","12,257,466,851","18,796,236,556","22,304,391,246","14,798,957,822","19,185,010,475","20,297,953,587","25,761,229,550"
5. Chi phí phải trả ngắn hạn,"577,186,032","1,121,335,084","1,655,776,049","6,677,973,042","6,611,107,576","5,892,239,065","6,127,036,164","1,113,805,898","793,672,167","845,580,841","578,662,472","1,452,632,560","101,466,791,100","1,082,128,009","2,225,798,071","1,906,439,116","3,515,749,080","5,958,011,539","3,884,528,011","5,758,742,263","9,564,766,634","14,807,222,983","19,771,994,261","17,237,254,008"
6. Phải trả nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Phải trả ngắn hạn khác,"545,196,494","304,720,428","499,692,028","244,914,528","270,752,028","276,900,564","257,083,698","178,963,168","230,682,638","54,412,498","383,810,418","304,685,364","33,215,125,000","11,916,180,206","419,491,286","471,829,230","798,537,540","6,895,561,449","1,042,095,941","1,110,809,022","24,852,319,156","124,767,423","623,445,975","17,990,570,427"
10. Vay và nợ thuê tài chính ngắn hạn,"90,856,638,140","77,227,382,150","76,530,409,785","82,432,790,736","58,891,392,354","48,335,493,804","80,452,766,175","94,271,506,725","77,020,879,880","95,835,318,750","123,714,572,100","124,489,184,815","12,545,649,129,800","169,780,951,648","158,651,108,788","88,430,659,612","108,165,177,728","125,282,898,775","52,790,247,948","99,881,388,430","116,688,976,338","95,734,330,877","124,393,744,536","131,135,245,460"
11. Dự phòng phải trả ngắn hạn,,,,,,,,,,,,,,,,,,,,,,,,
12. Quỹ khen thưởng phúc lợi,"1,333,417","763,686,973","763,686,973","762,686,973","1,333,417","801,264,973","801,264,973","511,264,973","486,764,973","486,764,973","486,764,973","464,764,973","133,341,700","622,528,012","341,663,012","167,688,447","1,333,417","5,885,167,371","4,328,141,871","4,024,996,871","1,545,631,895","6,588,537,653","4,737,973,454","1,143,722,958"
13. Quỹ bình ổn giá,,,,,,,,,,,,,,,,,,,,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
II. Nợ dài hạn,"5,154,143,575","5,154,143,575","5,154,143,575","5,140,937,500","5,140,937,500","5,140,937,500","5,140,937,500","4,551,131,500","4,213,987,500","4,213,987,500","4,213,987,500","4,170,331,000","417,033,100,000","3,737,298,500","3,737,298,500","3,582,196,000","3,582,196,000","3,250,578,500","2,998,353,500","3,109,611,000","3,089,661,000","2,976,081,000","2,957,556,000","3,171,915,000"
1. Phải trả người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Chi phí phải trả dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải trả nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
7. Phải trả dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
8. Vay và nợ thuê tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
9. Trái phiếu chuyển đổi,,,,,,,,,,,,,,,,,,,,,,,,
10. Cổ phiếu ưu đãi,,,,,,,,,,,,,,,,,,,,,,,,
11. Thuế thu nhập hoãn lại phải trả,,,,,,,,,,,,,,,,,,,,,,,,
12. Dự phòng phải trả dài hạn,"5,154,143,575","5,154,143,575","5,154,143,575","5,140,937,500","5,140,937,500","5,140,937,500","5,140,937,500","4,551,131,500","4,213,987,500","4,213,987,500","4,213,987,500","4,170,331,000","417,033,100,000","3,737,298,500","3,737,298,500","3,582,196,000","3,582,196,000","3,250,578,500","2,998,353,500","3,109,611,000","3,089,661,000","2,976,081,000","2,957,556,000","3,171,915,000"
13. Quỹ phát triển khoa học và công nghệ,,,,,,,,,,,,,,,,,,,,,,,,
