TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Hàng tồn kho,"330,169,690,259","234,410,269,443","443,471,140,782","253,960,210,990","270,483,731,779","295,017,422,636","677,257,213,242","504,289,693,222","448,366,410,966","561,736,382,289","1,025,044,859,024","647,350,614,951","522,328,290,809","784,675,704,351","1,071,816,520,931","733,513,580,741","420,828,401,709","647,870,255,162","1,494,404,800,860","1,107,228,284,844","928,036,209,764","1,386,363,691,246","1,975,105,302,856",
2. Dự phòng giảm giá hàng tồn kho,"-3,256,313,753","-563,572,504","-563,572,504","-563,572,504","-3,279,619,142","-3,279,619,142","-3,279,619,142","-4,024,423,376","-4,903,590,732","-13,277,553,953","-14,267,536,936","-5,830,601,162","-5,830,601,162","-4,030,238,881","-4,938,451,164","-4,008,257,511","-5,270,947,365","-9,647,909,868","-11,600,215,111","-26,860,418,522","-26,860,418,522","-18,619,271,172","-14,247,138,330",
V.Tài sản ngắn hạn khác,"35,189,248,128","35,405,911,352","6,659,470,624","9,033,087,672","21,942,700,259","97,468,651,195","21,050,941,671","21,331,977,348","50,940,810,102","61,241,830,385","12,986,267,983","12,808,062,050","31,980,801,571","24,810,000,993","22,620,334,975","8,273,610,485","48,531,357,632","61,476,882,786","15,485,822,568","6,035,009,161","31,396,931,538","42,087,642,509","17,214,961,930",
1. Chi phí trả trước ngắn hạn,"34,202,760,339","34,619,449,323","5,910,246,976","8,245,134,100","21,153,011,034","96,627,711,698","20,538,822,232","19,769,393,474","49,816,614,165","60,802,539,625","10,027,896,737","7,540,052,239","27,418,743,270","22,295,403,606","22,161,213,883","5,705,330,624","46,882,443,913","60,240,501,992","14,708,880,753","5,193,990,646","30,884,467,820","40,447,051,615","9,624,836,761",
2. Thuế GTGT được khấu trừ,"973,434,687","773,408,927","736,170,546","778,325,941","780,061,594","831,580,992","502,760,934","1,553,287,094","1,109,044,440","430,044,959","2,949,169,903","5,256,549,235","4,550,115,677","996,443,426","450,430,216","2,048,178,401","1,333,892,788","921,397,213","452,450,514","418,453,997","418,453,997","1,551,710,576","7,498,244,851",
3. Thuế và các khoản khác phải thu Nhà nước,"13,053,102","13,053,102","13,053,102","9,627,631","9,627,631","9,358,505","9,358,505","9,296,780","15,151,497","9,245,801","9,201,343","11,460,576","11,942,624","1,518,153,961","8,690,876","520,101,460","315,020,931","314,983,581","324,491,301","422,564,518","94,009,721","88,880,318","91,880,318",
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"1,431,563,434,763","1,537,165,578,912","1,532,125,747,201","1,564,984,351,829","1,570,020,156,692","1,586,515,140,946","1,602,434,060,764","1,628,714,360,014","1,623,339,962,875","1,596,128,226,307","1,538,536,125,852","1,579,007,805,240","1,547,418,639,596","1,500,004,784,100","1,435,269,483,194","1,429,984,662,084","1,441,713,043,102","1,421,343,306,317","1,388,450,187,214","1,371,311,824,285","1,361,801,952,527","1,348,035,462,330","1,299,520,106,101",
I. Các khoản phải thu dài hạn,"14,351,646,803",,,,"735,000,000","735,000,000","735,000,000",,,"2,000,000,000",,"22,952,943,201",,,"5,700,047,720","5,372,348,330",,,"32,909,102,375","27,218,453,047","32,909,102,375","32,909,102,375","32,909,102,375",
