TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Hàng tồn kho,"5,726,383,178,272","4,561,252,796,463","4,953,640,125,081","4,466,309,863,626","4,322,659,439,643","5,066,422,541,044","4,670,116,269,671","5,571,524,476,380","4,827,010,015,422","9,067,694,439,353","11,712,490,657,896","12,563,140,893,555","10,419,213,153,701","11,798,886,547,117","12,503,354,043,632","8,089,441,899,272","6,632,566,173,056","7,192,839,925,546","7,735,523,382,180",,"8,142,784,177,635",,"10,369,920,206,200","10,036,466,420,585"
2. Dự phòng giảm giá hàng tồn kho,"-40,691,706,865","-33,068,735,025","-30,703,158,386","-51,851,107,911","-51,851,107,911","-72,238,064,668","-72,238,064,668","-45,033,969,069","-51,583,166,742","-66,025,387,147","-66,025,387,147","-206,895,014,407","-206,895,014,407","-174,313,695,014","-158,797,063,455","-715,679,159,748","-652,019,290,961","-185,847,809,755","-122,648,040,324",,"-117,438,503,082",,"-212,159,494,216","-334,240,447,912"
V.Tài sản ngắn hạn khác,"1,387,832,493,690","1,418,746,836,929","1,341,154,123,765","1,103,902,343,598","1,001,722,648,237","961,699,848,951","906,060,212,615","898,914,764,198","811,071,150,828","1,019,789,355,244","1,244,823,276,547","1,250,361,403,675","1,192,863,688,153","681,547,914,690","960,315,931,468","655,175,046,753","728,063,391,061","844,702,983,437","701,050,351,529",,"806,861,488,276",,"1,138,313,177,700","843,833,092,822"
1. Chi phí trả trước ngắn hạn,"99,154,934,842","109,025,487,695","99,789,826,745","99,299,504,104","110,823,138,860","126,205,030,242","133,386,390,513","141,636,982,795","133,721,586,618","142,840,624,905","147,564,699,408","136,435,025,777","138,929,240,813","152,200,449,004","165,925,617,914","139,831,025,949","143,880,532,025","149,473,451,046","135,385,630,493",,"119,122,822,801",,"147,977,250,998","154,842,917,113"
2. Thuế GTGT được khấu trừ,"1,262,377,829,408","1,289,960,284,384","1,239,428,765,061","994,110,810,248","887,512,099,475","834,790,871,817","772,318,117,907","757,274,781,403","677,346,564,210","875,885,901,844","1,097,172,080,854","1,108,616,194,136","1,053,922,245,288","528,338,057,194","794,124,359,992","372,873,721,207","448,176,054,713","555,349,082,477","437,009,675,890",,"559,241,894,829",,"861,387,314,714","560,536,071,430"
3. Thuế và các khoản khác phải thu Nhà nước,"26,299,729,440","19,761,064,850","1,935,531,959","10,492,029,246","3,387,409,902","703,946,892","355,704,195","3,000,000","3,000,000","1,062,828,495","86,496,285","5,310,183,762","12,202,052","1,009,408,492","265,953,562","142,470,299,597","136,006,804,323","139,880,449,914","128,655,045,146",,"128,496,770,646",,"128,948,611,988","128,454,104,279"
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"10,398,732,359,611","10,284,671,279,575","10,046,225,983,778","9,894,348,968,909","9,626,207,738,848","9,329,515,377,054","9,044,061,577,950","8,736,983,766,425","8,473,226,087,844","8,236,030,063,234","7,975,078,191,490","7,962,525,814,652","7,818,038,890,632","7,620,389,984,954","7,424,015,831,646","7,196,370,091,747","6,926,995,715,786","6,630,311,069,737","6,082,833,084,311",,"5,841,415,931,067",,"5,501,352,915,544","5,396,904,390,911"
I. Các khoản phải thu dài hạn,"202,370,220,436","160,328,954,728","169,411,647,249","226,761,293,160","232,087,391,747","218,861,054,000","209,928,208,200","184,949,529,000","175,592,029,000","168,320,229,000","174,529,883,200","179,887,837,400","177,771,837,400","176,754,502,012","172,580,791,600","162,495,291,600","166,958,781,600","153,404,291,600","143,083,524,246",,"133,657,245,800",,"220,718,684,200","214,837,184,200"
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,"202,370,220,436","160,328,954,728","169,411,647,249","226,761,293,160","232,087,391,747","218,861,054,000","209,928,208,200","184,949,529,000","175,592,029,000","168,320,229,000","174,529,883,200","179,887,837,400","177,771,837,400","176,754,502,012","172,580,791,600","162,495,291,600","166,958,781,600","153,404,291,600","143,083,524,246",,"133,657,245,800",,"220,718,684,200","214,837,184,200"
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"8,038,989,872,036","7,822,929,605,338","8,932,846,162,791","8,642,006,807,601","8,333,656,083,297","8,040,704,977,587","7,886,945,898,283","7,594,742,677,985","7,380,037,455,004","7,150,474,226,096","6,905,426,880,283","6,662,061,653,393","6,407,576,068,202","6,215,003,260,137","5,997,578,706,698","5,958,828,374,791","5,716,158,120,271","5,473,505,825,124","5,019,581,505,116",,"4,763,846,202,278",,"4,282,816,438,720","4,110,740,000,399"
1. Tài sản cố định hữu hình,"7,664,901,156,781","7,465,745,232,002","8,480,240,709,295","8,186,719,713,839","7,926,017,317,572","7,658,496,063,876","7,509,718,075,994","7,262,428,277,688","7,054,557,411,255","6,936,287,020,467","6,692,305,788,301","6,442,809,695,940","6,191,988,254,552","6,002,999,934,988","5,789,623,476,525","5,754,616,934,906","5,515,595,166,718","5,268,409,652,575","4,832,642,501,649",,"4,574,840,316,521",,"4,096,856,987,188","3,914,578,436,382"
- Nguyên giá,"11,843,651,539,076","11,902,940,857,597","13,135,764,030,922","13,122,376,874,545","13,181,361,345,192","13,189,451,059,554","13,316,000,556,671","13,329,437,933,511","13,408,202,284,290","13,597,784,530,795","13,637,272,440,308","13,671,862,519,864","13,707,903,334,172","13,796,305,771,804","13,856,354,716,828","14,086,733,048,716","14,124,021,743,885","14,146,378,763,145","14,227,893,527,743",,"14,207,241,052,201",,"14,147,155,462,593","14,184,242,725,156"
- Giá trị hao mòn lũy kế,"-4,178,750,382,295","-4,437,195,625,595","-4,655,523,321,627","-4,935,657,160,706","-5,255,344,027,620","-5,530,954,995,678","-5,806,282,480,677","-6,067,009,655,823","-6,353,644,873,035","-6,661,497,510,328","-6,944,966,652,007","-7,229,052,823,924","-7,515,915,079,620","-7,793,305,836,816","-8,066,731,240,303","-8,332,116,113,810","-8,608,426,577,167","-8,877,969,110,570","-9,395,251,026,094",,"-9,632,400,735,680",,"-10,050,298,475,405","-10,269,664,288,774"
2. Tài sản cố định thuê tài chính,"122,010,008,613","110,372,724,878","208,562,286,093","214,042,830,281","181,870,758,884","159,201,823,767","154,053,644,506","112,152,264,648","108,338,202,397",,,,,,,,,,,,,,,
- Nguyên giá,"172,740,506,151","164,081,312,205","246,747,430,706","237,020,532,992","202,429,841,245","176,595,110,773","176,595,110,773","130,467,379,881","130,467,379,881",,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,"-50,730,497,538","-53,708,587,327","-38,185,144,613","-22,977,702,711","-20,559,082,361","-17,393,287,006","-22,541,466,267","-18,315,115,233","-22,129,177,484",,,,,,,,,,,,,,,
3. Tài sản cố định vô hình,"252,078,706,642","246,811,648,458","244,043,167,403","241,244,263,481","225,768,006,841","223,007,089,944","223,174,177,783","220,162,135,649","217,141,841,352","214,187,205,629","213,121,091,982","219,251,957,453","215,587,813,650","212,003,325,149","207,955,230,173","204,211,439,885","200,562,953,553","205,096,172,549","186,939,003,467",,"189,005,885,757",,"185,959,451,532","196,161,564,017"
- Nguyên giá,"297,130,902,380","294,601,902,380","294,601,902,380","294,601,902,380","280,098,677,599","280,098,677,599","283,098,677,599","283,098,677,599","283,098,677,599","283,098,677,599","285,209,967,599","294,517,358,918","294,517,358,918","294,517,358,918","294,092,390,500","293,960,791,261","293,960,791,261","302,333,873,079","289,088,144,510",,"293,322,607,210",,"293,322,607,210","305,035,244,710"
- Giá trị hao mòn lũy kế,"-45,052,195,738","-47,790,253,922","-50,558,734,977","-53,357,638,899","-54,330,670,758","-57,091,587,655","-59,924,499,816","-62,936,541,950","-65,956,836,247","-68,911,471,970","-72,088,875,617","-75,265,401,465","-78,929,545,268","-82,514,033,769","-86,137,160,327","-89,749,351,376","-93,397,837,708","-97,237,700,530","-102,149,141,043",,"-104,316,721,453",,"-107,363,155,678","-108,873,680,693"
III. Bất động sản đầu tư,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"1,588,504,349,297","1,799,870,283,504","471,251,260,809","583,614,024,223","649,399,927,491","662,059,762,690","543,101,744,449","575,955,787,725","564,162,506,919","552,621,542,376","536,337,337,180","660,329,384,725","742,462,309,376","739,385,289,750","759,309,552,076","603,535,433,172","598,507,215,370","596,731,085,552","530,451,510,027",,"537,394,057,754",,"582,561,728,884","663,598,828,419"
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"1,588,504,349,297","1,799,870,283,504","471,251,260,809","583,614,024,223","649,399,927,491","662,059,762,690","543,101,744,449","575,955,787,725","564,162,506,919","552,621,542,376","536,337,337,180","660,329,384,725","742,462,309,376","739,385,289,750","759,309,552,076","603,535,433,172","598,507,215,370","596,731,085,552","530,451,510,027",,"537,394,057,754",,"582,561,728,884","663,598,828,419"
V. Đầu tư tài chính dài hạn,"62,600,000,000","16,000,000,000","16,000,000,000","17,000,000,000","22,000,000,000","22,000,000,000","22,000,000,000","26,472,160,000","21,472,160,000","21,472,160,000","21,472,160,000","21,472,160,000","17,000,000,000","17,000,000,000","17,000,000,000","17,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",,"1,000,000,000",,"1,000,000,000","1,000,000,000"
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh",,,,,,,,,,,,,,,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác,,,,,,,,,,,,,,,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,"62,600,000,000","16,000,000,000","16,000,000,000","17,000,000,000","22,000,000,000","22,000,000,000","22,000,000,000","26,472,160,000","21,472,160,000","21,472,160,000","21,472,160,000","21,472,160,000","17,000,000,000","17,000,000,000","17,000,000,000","17,000,000,000","1,000,000,000","1,000,000,000","1,000,000,000",,"1,000,000,000",,"1,000,000,000","1,000,000,000"
VI. Tài sản dài hạn khác,"506,267,917,842","485,542,436,005","456,716,912,929","424,966,843,925","389,064,336,313","385,889,582,777","382,085,727,018","354,863,611,715","331,961,936,921","343,141,905,762","337,311,930,827","438,774,779,134","473,228,675,654","472,246,933,055","477,546,781,272","454,510,992,184","444,371,598,545","405,669,867,461","388,716,544,922",,"405,518,425,235",,"414,256,063,740","406,728,377,893"
1. Chi phí trả trước dài hạn,"463,979,556,183","431,089,482,050","402,262,799,182","365,534,127,666","339,468,857,444","311,762,800,655","297,921,854,713","272,734,770,282","249,696,119,992","233,939,601,111","222,931,844,776","263,776,212,655","269,556,817,806","281,076,743,353","287,452,797,029","295,431,936,752","305,434,182,437","302,200,405,681","303,516,349,039",,"303,132,469,593",,"273,177,626,004","261,145,045,760"
2. Tài sản thuế thu nhập hoãn lại,"33,540,777,723","45,705,115,956","54,454,113,747","44,167,840,369","49,595,478,869","74,126,782,122","84,163,872,305","82,128,841,433","82,265,816,929","109,202,304,651","114,380,086,051","174,998,566,479","203,671,857,848","191,170,189,702","190,093,984,243","159,079,055,432","138,937,416,108","103,469,461,780","85,200,195,883",,"102,385,955,642",,"141,078,437,736","145,583,332,133"
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,"15,264,875,890",,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,"8,747,583,936","8,747,837,999",,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,"19,834,171,906,492","18,364,063,136,474","18,187,082,025,309","17,105,354,759,047","16,725,095,518,485","16,982,515,814,542","16,436,398,034,001","17,761,945,161,937","17,350,835,612,806","21,969,347,829,577","25,161,003,568,764","26,620,363,935,363","22,932,260,319,759","22,212,361,118,357","23,078,967,118,184","17,023,870,191,097","15,963,736,750,739","17,004,912,230,477","17,347,412,557,113",,"18,798,431,744,582",,"19,722,949,936,805","19,561,506,555,705"
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"14,651,981,013,272","13,139,449,652,865","12,801,290,912,216","11,637,084,309,183","11,082,191,190,844","11,142,513,530,769","10,285,568,150,305","11,172,972,350,629","10,266,256,860,317","13,888,142,839,826","15,305,000,806,887","15,788,261,700,919","11,643,197,241,720","10,707,862,784,331","11,323,766,345,784","6,140,566,328,978","5,793,274,330,371","6,612,058,508,284","6,568,936,371,928",,"7,927,852,855,266",,"8,614,667,658,925","8,649,122,652,244"
I. Nợ ngắn hạn,"10,947,774,413,367","9,877,362,955,725","9,514,552,955,163","8,647,346,701,718","8,324,672,102,344","8,580,896,327,777","7,931,122,739,841","8,998,791,992,280","8,273,277,515,152","12,084,004,707,670","13,666,262,674,731","14,374,272,128,252","10,617,051,295,410","10,342,982,572,011","11,014,886,133,464","6,007,912,504,508","5,777,146,080,962","6,594,550,440,500","6,552,691,448,932",,"7,911,607,932,270",,"8,598,498,885,070","8,632,852,739,819"
1. Phải trả người bán ngắn hạn,"1,693,021,629,273","1,340,963,570,524","932,014,580,541","1,260,772,396,002","822,104,974,137","1,175,398,281,224","1,041,505,140,876","1,462,254,425,906","1,038,326,580,169","4,964,312,226,185","3,461,131,093,861","4,293,909,993,884","3,260,155,161,285","2,297,698,623,273","1,443,204,098,529","1,040,069,140,003","1,759,086,000,252","2,178,783,952,727","2,886,893,480,736",,"2,225,285,263,037",,"1,777,007,409,868","2,328,452,217,312"
