company_id,quarter,P,EPS,D/E,P/E,SIZE
AAT,2021-01-01,25.205072309150072,255.0,0.5124728846050509,0.0988434208201963,27.20962316880486
AAT,2021-04-01,29.262597523038348,458.0,0.40486454500572,0.063892134329778,27.17192011687856
AAT,2021-07-01,31.41579845547676,71.0,0.5887264683362147,0.4424760345841797,27.300396486775195
AAT,2022-01-01,30.81768638856949,341.0,0.8508832419891909,0.0903744468873005,27.844351383535024
AAT,2022-04-01,28.399587785044023,1384.0,0.4529105147385503,0.0205199333706965,27.726306686851892
AAT,2022-07-01,24.54609191417694,10.0,0.432789650276137,2.454609191417694,27.68885412550312
AAT,2022-10-01,23.473480739290757,21.0,0.4284698904063783,1.1177847971090835,27.68637781777055
AAT,2023-01-01,21.38066348721904,23.0,0.4275955086989117,0.9295940646616976,27.67507018145242
AAT,2023-04-01,16.707717710925685,26.0,0.3933699167759385,0.6426045273432955,27.656253249807715
AAT,2023-07-01,2696.634071991361,9.0,0.3787280581084537,299.62600799904016,27.642186913946684
AAT,2023-10-01,2500.784183712456,138.0,0.4067966048550944,18.12162451965548,27.68281209901098
AAT,2024-01-01,2622.074334462484,72.0,0.3891172725407681,36.41769908975672,27.67696574260305
AAT,2024-04-01,2286.9921665653105,56.0,0.5702813725430985,40.8391458315234,27.74488829859304
AAT,2024-07-01,1893.5864898201048,34.0,0.6009110158342738,55.69372028882661,27.768213059352377
AAT,2024-10-01,1705.437736831665,-171.0,0.8057528229445271,-9.97332009843079,27.90989451580973
ABR,2019-10-01,8.052531562745571,715.0,0.2206855075706319,0.0112622819059378,26.277904277297388
ABR,2020-04-01,4.507149514697847,266.0,0.2207832298584779,0.0169441711078866,26.35079454344677
ABR,2021-01-01,9.91735008114674,201.0,0.2436533572750817,0.0493400501549589,26.42384204790824
ABR,2021-04-01,11.539511862255278,229.0,0.2108928094701969,0.0503908814945645,26.41602203427581
ABR,2021-07-01,12.096951991319656,229.0,0.2594582668914206,0.0528251178660247,26.474054186960824
ABR,2021-10-01,12.782439455389977,291.0,0.2342064780772637,0.0439259087814088,26.47683784040907
ABR,2022-01-01,12.160662512625418,289.0,0.2629190099017852,0.0420784169987038,26.523307772303284
ABR,2022-04-01,11.385374330705211,285.0,0.2899201334879391,0.0399486818621235,26.56605550467833
ABR,2022-07-01,10.713646903634071,429.0,0.3344168007904488,0.0249735359059069,26.631140662178737
ABR,2022-10-01,10.141957131643144,456.0,0.3112407334141606,0.0222411340606209,26.64616267021619
ABR,2023-01-01,10.567413253168906,452.0,0.2177236298564494,0.0233792328609931,26.604493457214694
ABR,2023-04-01,9.8195248880694,768.0,0.2817171093300271,0.012785839698007,26.70657722964083
ABR,2023-07-01,12.9243680106269,288.0,0.2050256388860285,0.0448762778146767,26.66329289317629
ABR,2023-10-01,11.552603888133216,1.0,0.2209455600666101,11.552603888133216,26.6764529311047
ABR,2024-01-01,11.561061780960834,238.0,0.2326407790799948,0.0485758898359698,26.703577074611218
ABR,2024-04-01,11.961935558016338,190.0,0.2029457164424463,0.062957555568507,26.55949445375748
