quarter,P,EPS,D/E,PE
2019Q1,,,1.1006445674126109,
2019Q2,,,1.0983639523295388,
2019Q3,,,1.1092979828733995,
2019Q4,,,1.107898076125851,
2020Q1,,,1.1164613402605248,
2020Q2,,,1.1415252417461943,
2020Q3,,,1.135983709045541,
2020Q4,,,1.1289137844245587,
2021Q1,9917.615091463415,,1.1301759461584109,
2021Q2,11891.75626890121,,1.1323600954355404,
2021Q3,13045.572937011719,,1.138784970790378,
2021Q4,14842.307662259615,,1.1340312378877855,
2022Q1,14806.967988612289,,1.1359668084093821,
2022Q2,11429.659494707661,,1.1396830722052715,
2022Q3,9607.142857142857,,1.1410879648705372,
2022Q4,8097.435899939904,,1.1497864676236407,
2023Q1,9476.930233712923,,1.1505419067304061,
2023Q2,9565.412219632057,,1.14820349313978,
2023Q3,10802.028242807539,,1.1504642073966522,
2023Q4,11097.435907451923,,1.1400230605514055,
2024Q1,12407.638834635416,,1.1421581567238466,
2024Q2,12034.153016137296,,,
2024Q3,11992.187469482422,,,
2024Q4,11219.354838709678,,,
