quarter,P,EPS,D/E,PE
2019Q1,36.50508671119565,,,
2019Q2,45.98588095770942,,,
2019Q3,36.36978182196617,,1.0838554189483047,
2019Q4,23.9730703830719,,,
2020Q1,22.42850142140542,,,
2020Q2,22.077283707876052,,,
2020Q3,28.318269848823547,,,
2020Q4,36.4504331946373,,,
2021Q1,48.14896480372695,,,
2021Q2,44.711731017582004,,,
2021Q3,46.4080011844635,,1.105103769188835,
2021Q4,39.33803063631058,,1.0973919537735506,
2022Q1,32.92939539878599,,,
2022Q2,28.519996304665842,,,
2022Q3,24.170417696237564,,,
2022Q4,20.773575949290443,,,
2023Q1,21.577369689941406,,,
2023Q2,22.120637770622007,,,
2023Q3,24.041234727889773,,1.10378847749196,
2023Q4,22.627072107224237,,1.1010907860608081,
2024Q1,25.27076036421979,,1.106286321099421,
2024Q2,30.70568332974873,,,
2024Q3,38.04112058877945,,1.1040309467000764,
2024Q4,53.15638163733104,,1.098825579805357,
