quarter,P,EPS,D/E,PE
2019Q1,26587.70491803279,,1.19789741948337,
2019Q2,23069.04761904762,,1.1852325330955784,
2019Q3,21380.46875,,1.1909953170460525,
2019Q4,23719.67213114754,,1.1929963157846593,
2020Q1,21391.935483870966,,1.197394244284106,
2020Q2,19203.968253968254,,1.2053065298344636,
2020Q3,20598.4375,,1.2134128230869254,
2020Q4,24254.6875,,1.2044307099101494,
2021Q1,37249.18032786885,,1.2061157075513462,
2021Q2,46997.457627118645,,1.199572676988327,
2021Q3,50917.1875,,1.1950011571296455,
2021Q4,51194.53125,,1.19559588450707,
2022Q1,51026.38888888889,,1.1908050675226776,
2022Q2,,,1.2011905424140925,
2022Q3,,,1.195740124030559,
2022Q4,,,1.1936876677507748,
2023Q1,,,1.1948062944130033,
2023Q2,,,1.2007605348294745,
2023Q3,,,1.1943438105404995,
2023Q4,,,1.1676580023240697,
2024Q1,,,1.1843758745925677,
2024Q2,,,,
2024Q3,,,,
2024Q4,,,,
