,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"136,648,130,314","42,853,729,200","17,259,800,681","13,628,296,431",,,,,"1,131,480,255,291",,"2,709,296,031,801","2,193,926,471,729","5,501,256,696,224","189,452,462,862","1,676,404,387,987","1,848,623,478,441","176,566,520,887","1,312,787,417,097","169,043,316,241","268,367,573,759","163,200,171,412"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,493,530,004",,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,538,637,905","136,648,130,314","42,853,729,200","17,259,800,681","13,628,296,431","1,679,900,992,055","342,740,248,089","260,405,376,471","84,232,414,370","1,120,986,725,287","562,618,093,011","2,709,296,031,801","2,193,926,471,729","5,501,256,696,224","189,452,462,862","1,676,404,387,987","1,848,623,478,441","176,566,520,887","1,312,787,417,097","169,043,316,241","268,367,573,759","163,200,171,412"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,710,007,633","29,847,015,982","19,948,522,048","18,848,726,316","12,175,097,751","1,430,841,482,746","215,474,756,385","221,349,280,134","40,682,584,453","932,092,918,147","441,322,866,981","2,178,598,753,145","1,892,508,461,357","4,663,834,110,749","145,261,113,934","1,287,160,799,851","1,363,487,630,011","118,251,216,435","871,805,635,408","141,231,018,785","215,873,118,623","91,015,137,390"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,828,630,272","106,801,114,332","22,905,207,152","-1,588,925,635","1,453,198,680","249,059,509,309","127,265,491,704","39,056,096,337","43,549,829,917","188,893,807,140","121,295,226,030","530,697,278,656","301,418,010,372","837,422,585,475","44,191,348,928","389,243,588,136","485,135,848,430","58,315,304,452","440,981,781,689","27,812,297,456","52,494,455,136","72,185,034,022"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,115,316,948","157,614,967,703","5,170,165,133","201,997,363,118","54,352,203,467","183,716,487,972","31,724,261,870","200,697,335,648","60,464,581,577","317,256,884,781","73,078,099,136","79,493,714,228","83,306,147,462","30,311,161,737","98,138,388,597","81,363,648,705","92,729,340,978","104,180,634,894","108,209,829,466","108,705,453,350","115,674,001,263","72,603,840,203"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,239,962,855","9,524,358,687","9,100,830,740","1,335,556,259","25,163,961,992","28,944,480,553","57,792,651,957","77,155,239,415","76,478,077,902","51,344,890,383","86,295,034,836","103,061,248,044","85,973,143,997","111,397,597,155","57,800,270,901","40,925,169,195","74,190,839,713","36,685,653,511","76,134,438,894","79,613,196,618","40,129,204,900","158,631,548,306"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,239,889,908","9,746,667,745","3,397,337,351","5,297,370,433","17,614,386,290","24,059,197,403","36,023,276,207","33,752,353,541","27,555,610,857","26,498,299,713","43,701,350,468","58,641,504,062","42,729,289,075","62,240,158,096","30,820,806,617","28,508,694,134","30,190,248,023","29,291,338,605","33,615,651,082","30,707,856,975","25,521,907,334","38,425,929,050"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-833,872,769","54,339,395,659","2,965,814,020","-14,010,146,677","692,313,762","-3,680,496,400","-647,802,760","74,970,552,754","15,659,320,180","-22,700,067,778","-3,580,587,629","-30,231,136,853","-14,095,863,100","-158,304,179,348","-23,176,940,523","-21,992,276,271","-19,708,554,637","-6,729,924,551",,,,
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,874,898","4,402,504,840","2,479,800,536","400,445,378","4,854,768,235","122,061,403,265","52,469,117,569","26,732,978,403","10,485,537,838","118,263,206,259","55,275,124,587","253,120,324,520","194,407,173,018","577,116,241,183","21,884,598,126","255,215,522,446","181,698,068,532","51,165,946,594","142,510,243,629","26,167,394,396","47,560,106,048","29,938,073,005"
