,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,953,041,285","52,506,369,352","138,377,027,334","121,815,949,506","178,643,456,312","106,556,321,918","141,300,222,183","132,921,873,883","145,751,501,936","80,985,860,627","126,257,949,150","82,352,633,896","115,359,668,321","70,956,344,602","81,649,300,061","35,682,362,776","121,437,184,118","96,538,161,734","88,030,312,450","108,047,311,566","151,199,469,844","38,019,850,179","106,884,567,222","29,170,667,802","76,736,348,374","104,319,961,649","116,566,331,840","70,297,509,141","103,068,453,331"
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,379,622,912",,,,"394,669,856",,,,,,,"661,767,990",
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"110,953,041,285","52,506,369,352","138,377,027,334","121,815,949,506","178,643,456,312","106,556,321,918","141,300,222,183","132,921,873,883","145,751,501,936","80,985,860,627","126,257,949,150","82,352,633,896","115,359,668,321","70,956,344,602","81,649,300,061","35,682,362,776","120,057,561,206","96,538,161,734","88,030,312,450","108,047,311,566","150,804,799,988","38,019,850,179","106,884,567,222","29,170,667,802","76,736,348,374","104,319,961,649","116,566,331,840","69,635,741,151","103,068,453,331"
4. Giá vốn hàng bán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,619,425,429","41,231,151,597","114,362,632,591","102,256,221,537","151,776,865,915","89,947,369,774","116,083,056,238","103,436,520,890","127,414,648,960","67,177,531,437","96,083,080,260","69,857,087,203","105,315,253,256","55,760,274,781","61,700,117,251","30,026,053,433","110,653,869,338","81,971,717,709","72,771,812,737","85,518,308,432","122,852,028,320","30,197,118,342","88,741,924,484","22,249,449,936","66,087,761,242","87,069,244,740","97,091,036,144","59,762,725,698","84,910,005,306"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,333,615,856","11,275,217,755","24,014,394,743","19,559,727,969","26,866,590,397","16,608,952,144","25,217,165,945","29,485,352,993","18,336,852,976","13,808,329,190","30,174,868,890","12,495,546,693","10,044,415,065","15,196,069,821","19,949,182,810","5,656,309,343","9,403,691,868","14,566,444,025","15,258,499,713","22,529,003,134","27,952,771,668","7,822,731,837","18,142,642,738","6,921,217,866","10,648,587,132","17,250,716,909","19,475,295,696","9,873,015,453","18,158,448,025"
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"579,183,840","251,961,375","930,485,234","8,230,037,619","527,081,758","369,702,233","1,867,275,414","1,035,629,172","1,051,850,040","356,119,591","1,899,796,463","144,626,499","58,910,500","496,333,615","-191,319,357","612,771,524","515,730,590","208,485,708","375,066,233","193,994,619","996,020,030","782,898,057","1,002,287,785","809,194,180","683,865,315","337,221,628","475,075,452","485,166,023","355,158,921"
7. Chi phí tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,164,384",,,,"43,988",,"2,227,455",,,,"1,495,344,068","19,949,933","800,319,554","1,081,379,554","338,582,479","97,401,401","173,480,135","275,971,350","315,246,622","348,459,158","234,874,232","426,877,864","243,437,369","151,559,417","74,933,076","97,818,138","8,157,567","172,877,662","392,967,941"
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,227,455",,,,"64,866,570","19,949,933","799,726,535","1,081,379,554","296,538,922","97,401,401","173,480,135","265,574,511","315,246,622","255,597,050","234,874,232","426,877,864","243,437,369","138,143,046","74,933,076","67,045,806",,"172,877,662","390,996,423"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,332,638","-11,332,638",,,,"-34,612,363","-2,695,123","-21,592,560","-6,884,666","-6,595,514"
9. Chi phí bán hàng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,027,692,969","1,806,571,595","1,677,305,424","939,997,217","278,609,760","388,527,477","721,220,221","713,210,707","740,669,076","374,941,032","5,429,149,601","1,662,920,072","-877,524,037","1,684,520,702","1,720,681,319","560,404,400","2,190,001,032","613,118,133","433,176,758","383,387,270","6,526,458,425","279,557,287","738,903,671","160,821,101","504,233,319","45,136,710","2,194,549,282","-1,326,080,302","-400,004,500"
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,804,640,955","4,879,354,727","6,178,369,335","5,696,105,796","5,834,474,268","6,884,883,123","5,946,953,577","6,795,885,165","9,335,308,350","7,812,620,522","8,103,720,148","7,943,975,086","7,701,449,444","7,887,115,541","7,553,762,464","3,530,648,604","8,325,109,297","6,014,495,430","8,662,645,301","8,244,399,482","11,843,887,038","6,450,705,653","9,154,485,739","6,991,047,961","8,283,694,790","5,808,980,666","5,322,031,705","6,153,235,073","9,255,054,469"
