,Quý 1 năm 2005,Quý 2 năm 2005,Quý 3 năm 2005,Quý 4 năm 2005,Quý 1 năm 2006,Quý 2 năm 2006,Quý 3 năm 2006,Quý 4 năm 2006,Quý 1 năm 2007,Quý 2 năm 2007,Quý 3 năm 2007,Quý 4 năm 2007,Quý 1 năm 2008,Quý 2 năm 2008,Quý 3 năm 2008,Quý 4 năm 2008,Quý 1 năm 2009,Quý 2 năm 2009,Quý 3 năm 2009,Quý 4 năm 2009,Quý 1 năm 2010,Quý 2 năm 2010,Quý 3 năm 2010,Quý 4 năm 2010,Quý 1 năm 2011,Quý 2 năm 2011,Quý 3 năm 2011,Quý 4 năm 2011,Quý 1 năm 2012,Quý 2 năm 2012,Quý 3 năm 2012,Quý 4 năm 2012,Quý 1 năm 2013,Quý 2 năm 2013,Quý 3 năm 2013,Quý 4 năm 2013,Quý 1 năm 2014,Quý 2 năm 2014,Quý 3 năm 2014,Quý 4 năm 2014,Quý 1 năm 2015,Quý 2 năm 2015,Quý 3 năm 2015,Quý 4 năm 2015,Quý 1 năm 2016,Quý 2 năm 2016,Quý 3 năm 2016,Quý 4 năm 2016,Quý 1 năm 2017,Quý 2 năm 2017,Quý 3 năm 2017,Quý 4 năm 2017,Quý 1 năm 2018,Quý 2 năm 2018,Quý 3 năm 2018,Quý 4 năm 2018,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,465,072,687","992,877,805","1,366,509,059","3,600,996,563","5,959,088,085","4,315,158,371","8,398,084,331","3,902,653,538","5,264,468,561","5,043,528,267","8,552,429,530","7,022,027,626","7,525,484,529","8,287,299,094","8,798,735,675","9,574,112,198","8,256,677,050","6,566,805,129","6,783,370,864","11,130,586,309","19,081,017,077"
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,062,736,923","20,094,137,838","32,653,857,786","33,694,429,889","31,331,148,460","15,850,201,271","35,346,931,505","61,835,935,781","33,597,530,564","16,466,211,386","39,411,990,747","45,775,421,228","43,961,799,059","26,536,699,110","40,934,953,751","52,730,722,271","39,590,648,475","16,251,539,117","42,293,235,173","10,449,592,575","-9,471,205,485"
12. Thu nhập khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,600,000","50,001,139",,"5,051,237","4,999,999","17,000,000",,,"183,886,377",,"35,000,000","231,442,588","6,846,315","287,839,980","8,466,602","210,660,020","56,696,044","268,813,903","395,615,322","502,337,006","15,139,082"
13. Chi phí khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,900,000",,,"104,948,008","23,264,331","51,235",,,,,"69,246,000","581,209,000",,,"445,756,061",,"812,974,236","49,339,223","909,143,670","405,613,367","3,553,671,866"
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-1,300,000","50,001,139",,"-99,896,771","-18,264,332","16,948,765",,,"183,886,377",,"-34,246,000","-349,766,412","6,846,315","287,839,980","-437,289,459","210,660,020","-756,278,192","219,474,680","-513,528,348","96,723,639","-3,538,532,784"
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,061,436,923","20,144,138,977","32,653,857,786","33,594,533,118","31,312,884,128","15,867,150,036","35,346,931,505","61,835,935,781","33,781,416,941","16,466,211,386","39,377,744,747","45,425,654,816","43,968,645,374","26,824,539,090","40,497,664,292","52,941,382,291","38,834,370,283","16,471,013,797","41,779,706,825","10,546,316,214","-13,009,738,269"
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,156,521,645","236,541,335","489,807,867","318,578,406","1,885,368,121","625,900,604","811,990,766","1,795,125,156","1,717,693,917","338,815,348","1,152,815,315","1,250,296,232","1,319,583,566","2,364,801,907","4,350,829,569","4,153,097,933","2,903,912,239","1,566,903,241","3,088,701,467","1,354,411,448","542,995,664"
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,746,729,996",,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,904,915,278","19,907,597,642","32,164,049,919","33,275,954,712","29,427,516,007","15,241,249,432","34,534,940,739","60,040,810,625","32,063,723,024","16,127,396,038","38,224,929,432","44,175,358,584","42,649,061,808","24,459,737,183","36,146,834,723","48,788,284,358","34,183,728,048","14,904,110,556","38,691,005,358","9,191,904,766","-13,552,733,933"
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,904,915,278",,"32,164,049,919","33,275,954,712","29,427,516,007","15,241,249,432","34,534,940,739","60,040,810,625","32,063,723,024","16,127,396,038","38,224,929,432","44,175,358,584","42,649,061,808","24,459,737,183","36,146,834,723","48,788,284,358","34,183,728,048","14,976,216,777","38,711,756,352","9,248,558,768","-13,554,284,270"
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,907,597,642",,,,,,,,,,,,,,,,"-72,106,221","-20,750,994","-56,654,002","1,550,337"
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06,802,709,367,832,"1,447",773,389,737,852,822,472,377,509,490,135,351,84,-94
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
