,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,215,536,662,804","1,360,346,824,677","1,306,034,839,208","1,669,690,530,092","1,213,705,452,059","1,349,139,832,312","1,448,366,434,500","1,594,174,468,676","1,404,495,550,372","1,404,495,550,372",,"1,760,996,657,469","1,722,470,551,289","1,900,373,233,331","1,544,386,739,701","1,724,949,784,014","1,409,467,756,287","1,474,408,434,151","1,186,925,606,539","1,548,010,433,625","1,437,093,123,988","1,608,063,275,955","1,484,985,171,236","1,936,670,303,716"
2. Các khoản giảm trừ doanh thu,,"9,594,000","23,373,894",,"73,872,000","313,533,293","582,125,000","42,322,312","1,091,174,290","1,091,174,290",,"1,405,646,306","3,493,014,405","1,080,142,175","-2,399,859,943","2,112,200,327","13,549,989","97,704,037","75,454,545","55,631,792","118,125,000",,"6,482,990","217,232,630"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"1,215,536,662,804","1,360,337,230,677","1,306,011,465,314","1,669,690,530,092","1,213,631,580,059","1,348,826,299,019","1,447,784,309,500","1,594,132,146,364","1,403,404,376,082","1,403,404,376,082",,"1,759,591,011,163","1,718,977,536,884","1,899,293,091,156","1,546,786,599,644","1,722,837,583,687","1,409,454,206,298","1,474,310,730,114","1,186,850,151,994","1,547,954,801,833","1,436,974,998,988","1,608,063,275,955","1,484,978,688,246","1,936,453,071,086"
4. Giá vốn hàng bán,"1,008,284,156,001","1,110,295,466,238","1,051,288,276,287","1,351,308,706,220","979,067,625,442","1,061,340,626,850","1,138,779,667,438","1,275,049,214,743","1,081,895,730,162","1,081,895,730,162",,"1,384,958,918,234","1,319,960,011,796","1,430,717,794,837","1,207,533,123,211","1,388,788,834,599","1,124,871,563,172","1,147,217,638,127","924,582,811,829","1,257,290,230,449","1,133,939,145,404","1,283,604,105,826","1,198,205,723,183","1,626,394,775,314"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"207,252,506,803","250,041,764,439","254,723,189,027","318,381,823,872","234,563,954,617","287,485,672,169","309,004,642,062","319,082,931,621","321,508,645,920","321,508,645,920",,"374,632,092,929","399,017,525,088","468,575,296,319","339,253,476,433","334,048,749,088","284,582,643,126","327,093,091,987","262,267,340,165","290,664,571,384","303,035,853,584","324,459,170,129","286,772,965,063","310,058,295,772"
6. Doanh thu hoạt động tài chính,"5,241,303,991","4,270,145,405","3,628,845,092","3,618,121,427","9,631,451,905","10,953,341,705","2,181,405,853","7,970,937,424","8,720,256,794","8,720,256,794",,"12,180,174,280","11,064,399,087","10,597,500,485","11,125,486,711","11,905,586,659","4,313,671,393","5,341,164,653","12,094,705,108","8,266,593,408","13,169,236,338","24,392,065,513","10,301,733,590","29,118,380,623"
7. Chi phí tài chính,"18,837,900,844","25,372,549,690","23,813,760,750","29,489,358,591","38,841,102,205","32,284,236,283","21,315,372,549","21,018,536,908","23,657,191,831","23,657,191,831",,"39,867,621,222","32,715,560,502","38,729,170,566","42,204,304,336","56,981,341,393","36,064,510,450","32,752,113,126","43,096,490,982","31,529,160,623","24,529,138,842","22,877,617,349","28,224,292,059","20,802,707,648"
- Trong đó: Chi phí lãi vay,"17,784,235,573","23,658,440,737","23,010,563,911","28,927,180,647","30,654,560,141","27,066,374,115","20,718,937,475","20,202,851,580","22,017,680,847","22,017,680,847",,"29,747,201,221","29,752,835,358","26,086,533,791","34,022,470,819","23,812,077,946","32,531,981,048","29,679,347,281","27,703,334,559","26,889,541,901","22,521,900,123","19,525,312,641","18,471,707,363","17,679,353,394"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,"140,888,660","39,429,822","-6,850,697,169","1,225,745,537","-54,474,344","-266,251,675","91,551,129"
9. Chi phí bán hàng,"45,203,681,432","52,040,390,913","55,370,070,361","70,709,847,062","80,618,635,781","104,077,254,820","117,076,837,779","119,933,559,053","113,068,697,153","113,068,697,153",,"143,163,234,971","150,662,273,746","154,707,782,044","122,447,771,508","134,460,137,948","116,479,491,843","110,541,735,813","85,004,729,385","127,007,993,520","120,390,822,908","122,123,675,791","106,427,298,505","147,997,668,154"
