,year,P,EPS,D/E,SIZE
0,2020,4184.624195948541,-382.75,1.8371209952047836,31.306284574265767
1,2021,5971.176943682272,52.25,2.745381856811325,30.537063026355682
2,2022,12577.777777777776,310.75,2.9518641403402603,30.59353070411275
3,2023,9418.853058510638,460.75,2.725843460795876,30.686579437217564
4,2024,12273.848798565397,235.25,1.6270682999629826,30.71690353640936
