TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"14,545,663,416","15,676,749,093","1,593,018,383","2,225,773,141",,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"67,831,379,352","68,070,614,865","218,655,412,866","368,743,742,917",,,,,,,,,,,,,,,,,,,,
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","65,831,379,352","66,070,614,865","66,655,412,866","66,743,742,917",,,,,,,,,,,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác,"4,000,000,000","4,000,000,000","4,000,000,000","4,000,000,000",,,,,,,,,,,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn,"-2,000,000,000","-2,000,000,000","-2,000,000,000","-2,000,000,000",,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,"150,000,000,000","300,000,000,000",,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,"63,729,238,773","63,363,763,925","314,606,013,770","311,292,532,008",,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,"6,094,239,743","4,337,052,656","265,286,697,396","263,745,627,665",,,,,,,,,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,"15,475,310,392","15,248,437,026","14,788,377,014","17,881,620,363",,,,,,,,,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn","42,159,688,638","43,778,274,243","34,530,939,360","29,665,283,980",,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,"2,799,752,790,187","2,752,881,681,259","2,839,261,600,853","2,849,907,148,354",,,,,,,,,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"254,544,301,185","332,652,061,024","300,817,146,591","380,623,366,485",,,,,,,,,,,,,,,,,,,,
I. Nợ ngắn hạn,"254,544,301,185","332,652,061,024","300,817,146,591","357,538,288,646",,,,,,,,,,,,,,,,,,,,
