TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
7. Dự phòng phải thu ngắn hạn khó đòi,"-4,482,393,140","-4,482,393,140","-4,482,393,140","-4,482,393,140","-5,438,050,934","-11,444,648,261","-10,488,326,114","-10,488,326,114","-8,448,890,919","-8,448,890,919","-8,448,890,919","-9,485,611,911","-9,485,611,911","-9,485,611,911","-9,485,611,911","-17,037,421,491","-17,037,469,767","-14,366,443,433","-14,366,443,433","-5,206,465,935","-14,416,403,554","-14,330,758,726","-14,330,758,726","-15,088,322,904"
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,"101,698,995",,"62,962,117",,
IV. Hàng tồn kho,"110,335,746,545","118,885,850,870","151,197,310,214","117,897,980,874","126,915,005,093","124,306,434,526","120,504,526,654","128,745,607,378","66,520,428,655","66,699,974,907","74,040,469,183","161,765,953,323","101,280,798,544","112,439,115,160","150,121,893,292","106,507,817,366","133,920,717,110","118,518,720,633","166,725,482,816","125,290,074,122","110,838,441,447","115,699,782,237","158,270,545,389","125,915,299,251"
1. Hàng tồn kho,"113,148,904,075","121,434,666,130","153,746,125,474","120,840,080,985","129,857,105,204","127,248,534,637","123,446,626,765","132,684,296,859","71,167,887,265","71,347,433,517","78,687,927,793","169,499,893,723","109,014,738,944","118,361,705,607","153,303,612,411","112,460,919,518","139,873,819,262","124,471,822,785","174,948,737,929","129,627,635,434","115,176,002,759","118,442,966,667","161,013,729,819","130,511,821,343"
2. Dự phòng giảm giá hàng tồn kho,"-2,813,157,530","-2,548,815,260","-2,548,815,260","-2,942,100,111","-2,942,100,111","-2,942,100,111","-2,942,100,111","-3,938,689,481","-4,647,458,610","-4,647,458,610","-4,647,458,610","-7,733,940,400","-7,733,940,400","-5,922,590,447","-3,181,719,119","-5,953,102,152","-5,953,102,152","-5,953,102,152","-8,223,255,113","-4,337,561,312","-4,337,561,312","-2,743,184,430","-2,743,184,430","-4,596,522,092"
V.Tài sản ngắn hạn khác,"21,679,017,799","29,582,777,411","41,146,489,890","30,551,015,819","44,070,544,854","36,422,875,335","34,706,661,895","30,925,112,422","39,906,611,581","58,709,492,897","71,229,655,523","72,599,682,951","66,357,782,798","67,079,883,608","74,744,079,788","65,371,953,358","63,000,931,791","50,621,272,457","37,330,267,716","54,903,549,844","52,645,468,391","64,362,402,594","49,284,936,993","49,275,663,185"
1. Chi phí trả trước ngắn hạn,"4,138,172,397","6,131,333,711","5,569,060,882","5,599,768,455","5,893,414,358","7,659,990,124","6,563,917,069","4,718,036,999","6,123,332,795","2,906,094,793","2,106,601,971","2,632,058,171","2,497,089,860","3,111,351,137","4,899,417,635","5,823,767,287","7,754,464,002","7,061,422,370","5,187,227,659","3,831,757,803","6,571,992,827","6,039,768,235","4,706,092,335","4,847,762,353"
2. Thuế GTGT được khấu trừ,"17,050,796,682","22,858,523,758","35,019,583,658","24,567,847,827","26,124,122,845","27,531,447,782","27,313,004,159","25,614,910,051","33,015,734,626","54,956,504,859","67,328,111,708","69,875,368,838","62,742,984,826","63,049,708,087","69,495,884,245","59,469,671,913","54,183,649,275","37,762,565,662","30,007,052,743","49,046,043,888","43,027,583,651","49,583,422,957","40,608,661,488","41,798,595,523"
3. Thuế và các khoản khác phải thu Nhà nước,,,,,"12,053,007,651","1,231,437,429","829,740,667","592,165,372","767,544,160","846,893,245","1,794,941,844","92,255,942","1,117,708,112","918,824,384","348,777,908","78,514,158","1,062,818,514","5,797,284,425","2,135,987,314","2,025,748,153","3,045,891,913","8,739,211,402","3,970,183,170","2,629,305,309"
4. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,,,,,,,,,,,,,,,,,,
5. Tài sản ngắn hạn khác,"490,048,720","592,919,942","557,845,350","383,399,537",,,,,,,,,,,,,,,,,,,,
B. TÀI SẢN DÀI HẠN,"508,123,545,237","532,382,212,102","653,368,784,269","727,863,056,533","704,418,425,578","868,550,726,358","847,370,112,322","826,229,316,115","806,867,165,541","632,076,402,211","755,606,638,944","1,059,161,700,579","993,025,311,856","977,471,373,579","1,163,550,552,529","953,474,234,092","1,136,730,700,618","1,117,678,886,863","1,101,366,225,171","1,083,520,365,164","1,066,225,142,464","1,048,086,115,149","1,035,166,421,768","1,017,198,384,144"
I. Các khoản phải thu dài hạn,,,,,,,,,"23,000,000","23,000,000","23,000,000","28,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000"
1. Phải thu dài hạn của khách hàng,,,,,,,,,,,,,,,,,,,,,,,,
2. Trả trước cho người bán dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
3. Vốn kinh doanh ở đơn vị trực thuộc,,,,,,,,,,,,,,,,,,,,,,,,
4. Phải thu nội bộ dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay dài hạn,,,,,,,,,,,,,,,,,,,,,,,,
6. Phải thu dài hạn khác,,,,,,,,,"23,000,000","23,000,000","23,000,000","28,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000","23,000,000"
7. Dự phòng phải thu dài hạn khó đòi,,,,,,,,,,,,,,,,,,,,,,,,
II.Tài sản cố định,"210,598,803,704","203,276,571,841","201,954,230,464","192,505,155,285","183,544,227,786","504,167,671,857","487,141,222,739","474,719,197,057","458,331,628,890","441,936,242,697","424,833,574,361","607,031,824,348","549,321,630,683","533,747,453,142","674,137,936,568","658,268,378,794","641,457,263,642","628,204,596,291","612,337,463,551","596,763,486,328","579,826,478,270","568,018,703,794","551,791,684,981","539,984,134,558"
1. Tài sản cố định hữu hình,"207,877,940,619","200,322,769,536","199,127,468,679","189,932,474,522","181,162,107,803","500,586,713,486","483,826,004,896","471,669,719,726","455,547,892,087","439,418,246,422","422,576,351,945","604,261,893,337","546,607,104,119","531,383,766,663","672,125,090,176","656,459,988,385","639,837,635,873","626,768,391,500","611,082,011,901","595,577,324,489","578,794,512,296","567,082,199,140","550,950,641,647","538,221,789,553"
- Nguyên giá,"680,400,176,623","681,853,485,600","689,407,588,082","689,526,553,879","689,891,430,387","1,038,568,953,769","1,039,816,213,969","1,044,515,642,993","1,044,634,812,993","1,043,868,995,062","1,043,918,995,062","1,262,515,170,634","980,421,903,520","980,032,696,719","1,141,381,983,063","1,144,870,467,938","1,142,772,211,688","1,147,304,356,023","1,148,507,180,641","1,145,995,777,681","1,145,909,672,888","1,152,235,383,608","1,156,420,966,537","1,161,737,457,233"
- Giá trị hao mòn lũy kế,"-472,522,236,004","-481,530,716,064","-490,280,119,403","-499,594,079,357","-508,729,322,584","-537,982,240,283","-555,990,209,073","-572,845,923,267","-589,086,920,906","-604,450,748,640","-621,342,643,117","-658,253,277,297","-433,814,799,401","-448,648,930,056","-469,256,892,887","-488,410,479,553","-502,934,575,815","-520,535,964,523","-537,425,168,740","-550,418,453,192","-567,115,160,592","-585,153,184,468","-605,470,324,890","-623,515,667,680"
2. Tài sản cố định thuê tài chính,,,,,,,,,,,,,,,,,,,,,,,,
- Nguyên giá,,,,,,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,,,,,,,,,,,,,,,,,,,,,,,,
