Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,4890.0,4910.0,4780.0,4780.0,1741470,0.0,0.0
2019-01-03 00:00:00-05:00,4780.0,4800.0,4600.0,4680.0,2617730,0.0,0.0
2019-01-04 00:00:00-05:00,4610.0,4690.0,4570.0,4660.0,1512050,0.0,0.0
2019-01-07 00:00:00-05:00,4700.0,4800.0,4660.0,4660.0,1098030,0.0,0.0
2019-01-08 00:00:00-05:00,4660.0,4750.0,4650.0,4750.0,1421580,0.0,0.0
2019-01-09 00:00:00-05:00,4720.0,4810.0,4710.0,4710.0,1488490,0.0,0.0
2019-01-10 00:00:00-05:00,4710.0,4880.0,4680.0,4860.0,3041210,0.0,0.0
2019-01-11 00:00:00-05:00,5000.0,5160.0,5000.0,5080.0,4895270,0.0,0.0
2019-01-14 00:00:00-05:00,5140.0,5250.0,5070.0,5070.0,2763840,0.0,0.0
2019-01-15 00:00:00-05:00,5070.0,5140.0,5050.0,5070.0,2004640,0.0,0.0
2019-01-16 00:00:00-05:00,5130.0,5130.0,5020.0,5110.0,2730810,0.0,0.0
2019-01-17 00:00:00-05:00,5100.0,5110.0,5020.0,5030.0,1620310,0.0,0.0
2019-01-18 00:00:00-05:00,5030.0,5080.0,4990.0,4990.0,1414810,0.0,0.0
2019-01-22 00:00:00-05:00,4970.0,5040.0,4970.0,4980.0,2419110,0.0,0.0
2019-01-23 00:00:00-05:00,4960.0,5080.0,4960.0,5000.0,1648200,0.0,0.0
2019-01-24 00:00:00-05:00,5010.0,5030.0,4980.0,4990.0,1793650,0.0,0.0
2019-01-25 00:00:00-05:00,5000.0,5040.0,4980.0,5000.0,1871660,0.0,0.0
2019-01-28 00:00:00-05:00,5000.0,5020.0,4980.0,5000.0,1002970,0.0,0.0
2019-01-29 00:00:00-05:00,5000.0,5020.0,4920.0,4930.0,1758180,0.0,0.0
2019-01-30 00:00:00-05:00,4970.0,5010.0,4930.0,5000.0,1410060,0.0,0.0
2019-01-31 00:00:00-05:00,4950.0,5100.0,4950.0,5000.0,2181820,0.0,0.0
2019-02-01 00:00:00-05:00,5000.0,5020.0,4890.0,5000.0,1740010,0.0,0.0
2019-02-04 00:00:00-05:00,5000.0,5000.0,5000.0,5000.0,0,0.0,0.0
2019-02-05 00:00:00-05:00,5000.0,5000.0,5000.0,5000.0,0,0.0,0.0
2019-02-06 00:00:00-05:00,5000.0,5000.0,5000.0,5000.0,0,0.0,0.0
2019-02-07 00:00:00-05:00,5000.0,5000.0,5000.0,5000.0,0,0.0,0.0
2019-02-08 00:00:00-05:00,5000.0,5000.0,5000.0,5000.0,0,0.0,0.0
2019-02-11 00:00:00-05:00,5000.0,5040.0,4960.0,4960.0,974380,0.0,0.0
2019-02-12 00:00:00-05:00,5000.0,5300.0,4970.0,5300.0,11270510,0.0,0.0
2019-02-13 00:00:00-05:00,5400.0,5430.0,5300.0,5320.0,5219350,0.0,0.0
2019-02-14 00:00:00-05:00,5320.0,5340.0,5180.0,5200.0,4073580,0.0,0.0
2019-02-15 00:00:00-05:00,5200.0,5290.0,5160.0,5170.0,3977720,0.0,0.0
2019-02-19 00:00:00-05:00,5490.0,5660.0,5400.0,5440.0,10551790,0.0,0.0
2019-02-20 00:00:00-05:00,5410.0,5480.0,5320.0,5330.0,5260250,0.0,0.0
2019-02-21 00:00:00-05:00,5400.0,5520.0,5350.0,5410.0,5103410,0.0,0.0
2019-02-22 00:00:00-05:00,5400.0,5620.0,5380.0,5490.0,5540080,0.0,0.0
2019-02-25 00:00:00-05:00,5590.0,5590.0,5490.0,5500.0,4723320,0.0,0.0
2019-02-26 00:00:00-05:00,5500.0,5840.0,5500.0,5660.0,12856190,0.0,0.0
2019-02-27 00:00:00-05:00,5760.0,5790.0,5670.0,5690.0,3651830,0.0,0.0
2019-02-28 00:00:00-05:00,5700.0,5740.0,5500.0,5520.0,6876750,0.0,0.0
2019-03-01 00:00:00-05:00,5520.0,5650.0,5520.0,5650.0,5420770,0.0,0.0
2019-03-04 00:00:00-05:00,5700.0,6040.0,5680.0,6040.0,13532770,0.0,0.0
2019-03-05 00:00:00-05:00,6110.0,6290.0,6030.0,6080.0,11449820,0.0,0.0
2019-03-06 00:00:00-05:00,6080.0,6200.0,6000.0,6150.0,6984040,0.0,0.0
2019-03-07 00:00:00-05:00,6150.0,6160.0,6060.0,6070.0,5139970,0.0,0.0
2019-03-08 00:00:00-05:00,6070.0,6070.0,6070.0,6070.0,0,0.0,0.0
2019-03-11 00:00:00-04:00,5890.0,5920.0,5720.0,5760.0,4311870,0.0,0.0
2019-03-12 00:00:00-04:00,5850.0,5900.0,5730.0,5800.0,4853620,0.0,0.0
2019-03-13 00:00:00-04:00,5840.0,5920.0,5800.0,5800.0,4060990,0.0,0.0
2019-03-14 00:00:00-04:00,5810.0,6000.0,5760.0,5840.0,4409410,0.0,0.0
2019-03-15 00:00:00-04:00,5850.0,5850.0,5770.0,5770.0,3600930,0.0,0.0
2019-03-18 00:00:00-04:00,5760.0,5800.0,5510.0,5540.0,7585550,0.0,0.0
2019-03-19 00:00:00-04:00,5550.0,5640.0,5540.0,5550.0,5454450,0.0,0.0
2019-03-20 00:00:00-04:00,5580.0,5600.0,5480.0,5520.0,2511430,0.0,0.0
