TÀI SẢN,Quý 1 năm 2019,Quý 2 năm 2019,Quý 3 năm 2019,Quý 4 năm 2019,Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
- Nguyên giá,"476,210,291,788","476,898,233,370","745,122,190,598","1,297,664,982,735",,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,"-162,119,932,994","-166,303,417,170","-174,820,741,944","-148,034,384,633",,,,,,,,,,,,,,,,,,,,
III. Bất động sản đầu tư,"88,651,305,268","63,129,101,716","62,573,609,227","62,018,116,736",,,,,,,,,,,,,,,,,,,,
- Nguyên giá,"147,320,450,623","81,481,271,444","81,481,271,444","81,481,271,444",,,,,,,,,,,,,,,,,,,,
- Giá trị hao mòn lũy kế,"-58,669,145,355","-18,352,169,728","-18,907,662,217","-19,463,154,708",,,,,,,,,,,,,,,,,,,,
IV. Tài sản dở dang dài hạn,"1,097,167,668,592","1,396,947,475,014","1,310,466,712,771","943,845,551,903",,,,,,,,,,,,,,,,,,,,
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","202,518,172,439","253,470,890,161","245,049,020,873","249,633,893,396",,,,,,,,,,,,,,,,,,,,
2. Chi phí xây dựng cơ bản dở dang,"894,649,496,153","1,143,476,584,853","1,065,417,691,898","694,211,658,507",,,,,,,,,,,,,,,,,,,,
V. Đầu tư tài chính dài hạn,"631,612,251,272","1,953,808,430,503","2,026,569,686,717","986,676,290,429",,,,,,,,,,,,,,,,,,,,
1. Đầu tư vào công ty con,,,,,,,,,,,,,,,,,,,,,,,,
"2. Đầu tư vào công ty liên kết, liên doanh","484,891,039,701","1,882,643,775,001","1,955,776,022,297","688,112,587,059",,,,,,,,,,,,,,,,,,,,
3. Đầu tư góp vốn vào đơn vị khác,"147,642,783,223","72,086,227,154","72,083,707,154","104,537,010,212",,,,,,,,,,,,,,,,,,,,
4. Dự phòng đầu tư tài chính dài hạn,"-921,571,652","-921,571,652","-1,290,042,734","-5,973,306,842",,,,,,,,,,,,,,,,,,,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,"200,000,000,000",,,,,,,,,,,,,,,,,,,,
VI. Tài sản dài hạn khác,"1,269,271,797,391","1,405,327,897,065","1,128,857,956,467","3,071,057,864,716",,,,,,,,,,,,,,,,,,,,
1. Chi phí trả trước dài hạn,"732,120,606,558","883,586,446,472","624,567,844,983","678,630,479,869",,,,,,,,,,,,,,,,,,,,
2. Tài sản thuế thu nhập hoãn lại,"15,799,068,109","17,377,307,464","16,913,947,950","26,367,280,852",,,,,,,,,,,,,,,,,,,,
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,,,,,,,,,,,,,,,,,,,,
4. Tài sản dài hạn khác,,,,,,,,,,,,,,,,,,,,,,,,
5. Lợi thế thương mại,"521,352,122,724","504,364,143,129","487,376,163,534","2,366,060,103,995",,,,,,,,,,,,,,,,,,,,
TỔNG CỘNG TÀI SẢN,"38,305,261,792,855","40,186,475,665,451","40,101,852,847,756","44,699,873,386,034",,,,,,,,,,,,,,,,,,,,
NGUỒN VỐN,,,,,,,,,,,,,,,,,,,,,,,,
C. NỢ PHẢI TRẢ,"9,382,030,969,362","11,252,755,465,246","12,261,224,601,874","14,968,618,181,670",,,,,,,,,,,,,,,,,,,,
I. Nợ ngắn hạn,"8,816,669,411,270","10,816,139,387,760","11,924,062,277,981","14,442,851,833,360",,,,,,,,,,,,,,,,,,,,
1. Phải trả người bán ngắn hạn,"3,177,761,240,544","3,506,021,209,689","3,690,036,928,929","3,648,445,576,699",,,,,,,,,,,,,,,,,,,,
2. Người mua trả tiền trước ngắn hạn,"382,030,552,891","257,406,204,511","289,188,450,552","245,247,666,160",,,,,,,,,,,,,,,,,,,,
3. Thuế và các khoản phải nộp nhà nước,"663,908,183,628","979,900,107,744","1,038,009,393,860","619,393,665,850",,,,,,,,,,,,,,,,,,,,
