1. Doanh thu bán hàng và cung cấp dịch vụ,"15,179,972,721,712","15,330,983,908,774","15,349,518,976,186","18,282,088,440,464",Quý 1 năm 2020,Quý 2 năm 2020,Quý 3 năm 2020,Quý 4 năm 2020,Quý 1 năm 2021,Quý 2 năm 2021,Quý 3 năm 2021,Quý 4 năm 2021,Quý 1 năm 2022,Quý 2 năm 2022,Quý 3 năm 2022,Quý 4 năm 2022,Quý 1 năm 2023,Quý 2 năm 2023,Quý 3 năm 2023,Quý 4 năm 2023,Quý 1 năm 2024,Quý 2 năm 2024,Quý 3 năm 2024,Quý 4 năm 2024
2. Các khoản giảm trừ doanh thu,"216,722,214,264","233,718,346,934","262,487,576,044","306,785,764,611","218,353,026,228","272,033,734,890","283,050,075,571","387,101,508,420","282,137,468,282","321,417,002,616","244,621,297,616","337,394,219,341","346,532,197,261","291,704,455,646","337,385,691,779","385,913,871,540","276,697,371,823","303,114,703,307","281,628,655,637","540,762,991,718","240,210,036,506","380,758,333,336","344,091,771,518","741,215,175,825"
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),"14,963,250,507,448","15,097,265,561,840","15,087,031,400,142","17,975,302,675,853","19,232,707,946,043","20,422,201,946,373","24,685,562,425,834","25,778,071,108,467","31,176,874,687,620","35,118,355,099,565","38,673,828,690,685","44,710,731,501,475","44,058,146,671,026","37,422,054,617,017","34,103,341,328,754","25,825,731,843,835","26,588,751,786,987","29,496,383,378,315","28,484,087,800,597","34,383,804,927,755","30,852,359,591,717","39,555,509,827,454","33,956,260,285,527","34,490,982,426,689"
4. Giá vốn hàng bán,"12,342,336,489,604","12,070,461,588,036","12,385,057,811,865","15,139,622,033,638","15,469,649,574,389","16,716,699,660,689","19,516,497,107,892","19,510,833,657,232","22,993,832,748,581","23,641,296,035,968","26,812,929,844,272","35,123,321,817,532","33,949,820,289,803","30,882,432,369,940","33,102,613,774,299","26,710,981,787,039","24,912,314,686,658","26,301,396,413,465","24,889,281,213,593","29,912,194,884,366","26,698,376,631,120","34,308,029,337,809","29,225,083,561,286","30,126,073,473,488"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),"2,620,914,017,844","3,026,803,973,804","2,701,973,588,277","2,835,680,642,215","3,763,058,371,654","3,705,502,285,684","5,169,065,317,942","6,267,237,451,235","8,183,041,939,039","11,477,059,063,597","11,860,898,846,413","9,587,409,683,943","10,108,326,381,223","6,539,622,247,077","1,000,727,554,455","-885,249,943,204","1,676,437,100,329","3,194,986,964,850","3,594,806,587,004","4,471,610,043,389","4,153,982,960,597","5,247,480,489,645","4,731,176,724,241","4,364,908,953,201"
6. Doanh thu hoạt động tài chính,"91,858,567,531","123,100,591,056","138,550,988,697","122,443,551,198","108,979,890,041","395,036,836,210","247,689,080,794","355,499,934,411","898,307,295,649","446,309,785,935","879,414,139,300","856,740,188,535","768,925,488,108","661,960,999,623","886,166,660,043","1,540,966,414,075","903,451,916,285","740,212,965,360","850,624,544,181","732,316,277,875","751,955,374,195","645,060,096,530","528,453,174,917","700,557,465,070"
7. Chi phí tài chính,"240,829,520,527","305,054,468,608","328,517,389,602","312,174,332,179","823,113,673,484","621,297,893,776","708,511,948,435","786,899,253,782","767,768,026,036","821,220,734,774","968,278,197,988","1,183,606,068,306","1,111,142,568,904","2,032,730,784,240","2,309,009,013,940","1,688,209,772,675","1,330,510,709,605","1,348,755,733,077","1,438,378,265,232","1,127,386,435,227","1,060,613,282,413","1,065,091,915,406","832,902,574,260","1,015,139,809,937"
- Trong đó: Chi phí lãi vay,"185,199,221,610","215,389,146,860","265,895,204,863","270,226,645,026","481,082,874,292","523,373,576,010","540,809,441,828","662,031,175,138","621,546,963,567","599,661,392,906","675,107,905,208","629,506,996,556","596,932,887,294","717,352,725,484","836,700,531,276","932,651,987,764","989,588,839,615","1,028,566,971,432","855,978,191,830","710,943,681,004","635,618,987,620","564,134,360,513","525,114,798,901","562,492,663,846"
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,"-1,431,313,615","-2,157,276,978","16,345,909,889","-5,495,008,340","-6,728,992,807","-9,691,518,945","6,426,058,619","7,748,388,045","-17,624,854","-1,144,987,057","72,319,473",,,,,,,,,,
9. Chi phí bán hàng,"192,602,494,567","269,462,575,465","226,510,475,946","184,758,038,710","257,877,328,351","259,293,030,237","294,052,388,783","283,146,891,052","414,275,498,764","411,553,847,487","582,851,131,543","711,387,745,434","576,981,269,053","737,356,533,537","635,242,109,016","716,226,175,696","476,983,465,069","539,813,064,291","577,844,331,409","366,721,269,183","640,378,790,675","746,509,647,378","720,208,188,679","230,212,058,532"
10. Chi phí quản lý doanh nghiệp,"121,634,447,535","105,833,495,534","150,483,484,286","191,052,158,467","153,206,137,477","155,261,261,079","167,706,846,097","214,239,003,023","206,277,440,053","373,276,114,859","235,856,196,047","508,851,797,720","263,579,264,674","118,971,733,588","294,163,545,703","342,729,735,482","280,501,386,549","331,614,130,813","301,003,551,619","394,171,267,892","317,278,495,246","389,417,899,107","321,501,544,741","517,318,083,678"
